,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-hud_valley,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-millwd
502,249.18,0.51,0.51,177.97,37.03,23.16,178.11,30.9,111.4,222.73,174.89,30.44,178.16,32.18,179.28
503,358.72,-10.17,-10.23,252.96,43.48,23.44,253.16,34.73,154.53,312.5,248.43,34.65,252.94,37.07,254.91
504,305.09,-7.52,-7.57,215.47,37.99,20.97,215.65,30.54,132.03,253.71,211.63,30.43,215.48,32.49,217.13
505,187.03,-1.95,-1.96,132.89,25.69,15.29,132.99,21.1,82.36,155.97,130.55,20.88,132.96,22.17,133.88
506,305.06,-7.44,-7.5,215.47,38.05,21.0,215.65,30.58,132.03,253.69,211.62,30.43,215.47,32.49,217.12
507,240.51,-10.18,-10.25,168.59,26.11,12.56,168.74,20.26,101.77,202.95,165.52,20.29,168.47,21.91,169.92
508,187.33,-2.71,-2.72,132.88,25.06,14.63,132.98,20.47,82.1,159.75,130.54,20.29,132.93,21.58,133.88
509,187.33,-2.71,-2.72,132.88,25.06,14.63,132.98,20.47,82.1,159.75,130.54,20.29,132.93,21.58,133.88
510,180.15,-2.25,-2.26,127.89,24.41,14.38,127.99,19.99,79.13,150.17,125.64,19.79,127.96,21.03,128.85
511,182.83,-2.15,-2.16,129.89,24.85,14.72,129.99,20.27,80.42,152.49,127.66,20.21,129.96,21.48,130.87
512,193.84,-1.7,-1.7,137.89,26.87,16.16,137.99,22.02,85.58,161.77,135.53,21.95,137.97,23.3,138.91
513,182.79,-2.06,-2.07,129.89,24.92,14.81,129.99,20.35,80.45,152.48,127.66,20.29,129.96,21.57,130.86
514,182.79,-2.07,-2.07,129.89,24.92,14.81,129.99,20.35,80.45,152.48,127.66,20.29,129.96,21.57,130.86
515,177.7,10.6,10.61,130.02,35.55,25.99,130.09,31.06,85.0,150.3,127.97,30.43,130.4,31.77,130.87
516,295.99,-0.26,-0.26,211.25,43.13,26.83,211.4,35.71,131.94,252.33,207.67,35.5,211.44,37.59,212.8
517,248.66,0.5,0.5,177.68,36.88,23.2,177.81,30.65,111.23,212.89,174.68,30.43,177.86,32.19,178.98
518,207.39,6.32,6.33,149.93,36.07,24.8,150.01,30.85,95.95,179.32,147.48,30.43,150.24,31.93,150.97
519,207.36,6.37,6.37,149.93,36.1,24.82,150.02,30.87,88.11,174.39,147.48,30.44,150.24,31.95,150.97
520,237.73,2.06,2.06,170.34,36.68,23.63,170.45,30.71,99.34,199.08,167.48,30.43,170.55,32.12,171.57
521,156.35,19.83,19.87,117.52,40.65,32.41,117.56,36.62,72.5,133.95,115.79,35.5,118.13,36.73,118.2
522,160.83,30.24,30.3,123.78,50.58,42.04,123.84,46.29,87.76,143.76,122.09,44.3,124.7,45.66,124.44
523,338.15,9.49,9.52,211.55,53.24,33.4,211.68,41.33,133.81,354.11,207.85,40.58,212.01,42.56,213.22
524,164.12,22.56,22.65,123.79,44.1,35.63,123.83,40.0,85.2,145.19,122.0,38.74,124.55,40.05,124.52
525,797.91,28.86,29.04,206.28,92.23,29.63,206.36,29.66,119.81,1421.96,200.69,28.62,207.28,28.98,209.69
526,329.93,29.39,29.57,135.01,59.82,36.61,135.05,38.98,88.96,500.95,132.38,37.53,135.96,38.44,136.37
527,163.51,23.93,24.05,123.81,45.24,36.9,123.88,41.15,85.71,140.52,122.02,39.96,124.58,41.25,124.53
528,153.91,25.99,26.09,117.57,45.73,37.97,117.61,41.87,76.52,132.83,115.92,40.6,118.47,41.86,118.23
529,162.96,24.64,24.77,123.66,45.88,37.58,123.7,41.79,79.85,140.18,121.88,40.59,124.51,41.91,124.37
530,162.54,25.71,25.84,123.66,46.79,38.5,123.7,42.72,80.21,140.0,121.89,41.38,124.57,42.7,124.36
531,171.38,26.26,26.39,130.12,48.59,39.72,130.17,44.28,90.47,147.45,128.26,42.71,131.05,44.18,130.87
532,163.31,24.03,24.18,123.73,45.43,36.95,123.8,41.31,85.69,140.37,121.94,39.82,124.59,41.21,124.45
533,141.66,-3.82,-3.85,99.91,17.09,9.45,99.98,13.77,61.12,117.72,98.15,13.92,99.9,14.89,100.68
534,145.63,22.17,22.33,110.63,41.22,33.48,110.72,37.54,76.8,125.3,109.02,35.78,111.38,37.09,111.25
535,145.69,21.92,22.1,110.6,40.76,33.29,110.68,37.27,76.67,125.29,109.02,35.66,111.38,36.96,111.2
536,155.5,21.67,21.85,117.52,41.94,33.98,117.58,38.26,80.93,133.46,115.83,36.71,118.28,38.08,118.18
537,155.47,21.65,21.83,117.5,41.96,34.07,117.56,38.26,80.94,143.41,115.83,36.89,118.28,38.21,118.18
538,155.03,22.63,22.81,117.51,42.79,34.94,117.59,39.12,81.31,143.21,115.82,37.67,118.32,39.05,118.18
539,154.99,22.84,23.03,117.53,42.97,34.96,117.59,39.25,81.48,143.2,115.85,37.52,118.37,38.82,118.2
540,163.96,22.04,22.19,123.66,43.49,35.06,123.73,39.62,85.08,149.57,121.87,37.97,124.48,39.34,124.38
541,163.88,22.51,22.68,123.75,43.94,35.46,123.81,40.06,85.27,149.58,121.96,38.32,124.58,39.61,124.46
542,179.4,23.18,23.32,135.0,46.74,37.48,135.07,42.48,92.54,162.63,133.03,40.75,135.91,42.18,135.76
543,185.77,24.8,24.93,140.0,49.12,39.49,140.05,44.74,96.24,178.97,137.97,42.79,140.95,44.3,140.82
544,251.38,18.69,18.79,184.97,52.95,39.84,185.05,47.19,122.31,232.78,182.1,45.54,185.73,47.37,186.15
545,261.31,11.74,11.78,189.94,48.01,34.29,190.04,42.11,122.99,239.94,186.92,40.79,190.51,42.52,191.22
546,131.77,97.38,97.38,123.12,106.46,94.36,123.13,101.5,98.24,131.58,122.24,58.41,126.5,58.84,123.24
547,185.15,27.42,27.37,140.15,50.57,41.11,140.26,46.34,96.84,164.77,138.14,43.72,141.18,45.22,140.93
548,161.58,28.57,28.51,123.71,48.29,40.13,123.83,44.51,86.96,145.29,121.98,42.1,124.72,43.44,124.35
549,136.12,37.07,37.0,108.18,52.35,45.24,108.35,48.8,79.9,119.48,106.79,45.57,111.63,46.88,108.64
550,131.54,96.62,96.42,123.03,105.38,93.95,123.23,100.41,97.73,125.18,122.06,58.3,126.28,58.85,123.06
551,126.2,120.09,122.49,123.03,116.34,88.38,123.15,100.78,98.87,122.75,122.14,61.37,127.15,63.25,122.92
552,161.96,155.79,159.62,157.76,148.14,105.33,157.93,124.49,120.36,157.53,156.76,60.59,163.12,62.73,157.61
553,132.76,126.28,128.72,129.67,122.21,92.01,129.93,105.17,103.15,129.25,128.86,62.03,133.99,63.95,129.55
554,125.69,119.59,121.97,123.03,115.88,87.68,123.16,100.04,98.86,122.38,122.15,61.19,127.13,63.22,122.93
555,125.82,119.5,121.99,123.16,116.14,88.16,123.28,100.75,104.8,119.34,122.27,61.4,127.14,63.41,122.92
556,126.08,119.47,121.98,123.16,116.11,88.24,123.41,100.46,93.86,151.1,122.4,61.45,127.14,63.46,123.04
557,126.08,119.47,121.98,123.16,116.11,88.24,123.41,100.46,93.86,151.1,122.4,61.45,127.14,63.46,123.04
558,161.55,51.29,52.69,129.15,63.83,45.65,129.25,53.76,87.12,170.52,127.47,45.94,130.94,47.87,129.61
559,224.99,20.73,21.26,165.99,47.88,33.31,166.08,41.18,103.64,219.03,163.39,37.88,166.82,39.64,167.03
560,227.33,13.22,13.21,165.97,43.32,32.47,166.06,38.94,103.33,220.09,163.32,37.73,166.53,39.3,167.06
561,253.89,14.84,15.25,184.93,46.97,31.92,185.04,40.41,119.07,213.93,181.96,37.8,185.58,39.67,186.16
562,176.0,49.85,51.14,139.22,64.92,46.85,139.33,55.63,97.36,154.15,137.36,43.75,141.02,45.74,139.82
563,188.21,19.17,19.17,139.94,43.34,34.23,140.03,39.55,93.95,160.11,137.8,37.6,140.71,39.05,140.79
564,190.57,9.83,9.83,138.77,35.22,26.11,138.87,31.59,90.19,160.55,136.55,30.56,139.22,31.87,139.7
565,186.21,19.67,19.65,138.72,43.49,34.45,138.84,39.71,93.29,158.54,136.61,37.61,139.47,39.04,139.54
