,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil,electricity-load-nyiso-centrl,electricity-load-nyiso-north,electricity-load-nyiso-millwd,electricity-load-nyiso-dunwod,electricity-load-nyiso-capitl,electricity-load-nyiso-genese,electricity-load-nyiso-nyc,electricity-load-nyiso-west,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-overall
0,1625.6207,3786.3992,2320.7866,654.7885,471.2494,965.953,1782.842,1689.3938,7832.712,2282.1873,1081.5577,24493.4902
1,1634.9565,3811.9536,2327.0579,647.4877,472.5,962.2159,1789.905,1685.3833,7812.707,2256.913,1092.915,24493.9949
2,1648.4583,3777.526,2312.6309,655.7363,464.017,977.6723,1802.456,1690.3143,7744.6084,2269.4167,1079.7603,24422.596500000003
3,1629.7338,3791.1992,2327.9417,660.0756,477.8156,971.3322,1780.1877,1686.2269,7768.1777,2246.2617,1087.5513,24426.503399999994
4,1657.7626,3801.832,2330.8318,651.811,468.1045,966.0514,1787.622,1678.1838,7734.509,2244.6135,1090.5663,24411.8879
5,1622.3682,3777.4429,2356.5771,648.837,470.5635,955.6652,1782.7913,1678.1604,7787.3877,2236.5833,1081.4602,24397.836799999997
6,1639.4736,3794.6873,2369.5142,651.0355,467.6989,959.4334,1765.7224,1673.4121,7753.37,2209.1504,1083.6412,24367.138999999996
7,1603.3185,3800.4248,2341.8958,655.0216,462.5768,978.4509,1773.8052,1668.208,7750.329,2202.8767,1089.8982,24326.8055
8,1630.9281,3800.396,2315.5752,701.2847,461.8542,943.5532,1773.1438,1662.4802,7742.727,2218.6655,1062.7021,24313.31
9,1615.0685,3786.0322,2345.9092,701.4222,470.6588,939.8756,1766.7871,1657.1381,7741.009,2212.9526,1059.1675,24296.020800000002
10,1634.7622,3762.0146,2358.8865,667.4174,463.1223,954.8169,1748.1873,1653.7903,7661.416,2205.6638,1070.6978,24180.7751
11,1609.7402,3743.604,2346.4392,653.4805,458.9074,934.7647,1741.842,1641.2383,7637.146,2195.4812,1096.1296,24058.7731
12,1596.6743,3731.6572,2339.8462,643.5446,462.6859,942.46,1741.09,1642.4764,7593.5884,2196.6528,1094.676,23985.3518
13,1627.6865,3718.3582,2277.1934,653.7865,454.3219,931.5225,1728.3945,1638.286,7605.1475,2182.2551,1085.6763,23902.6284
14,1591.1454,3726.3784,2277.3994,654.3124,458.4173,919.7075,1726.3076,1627.686,7571.022,2177.1052,1092.0532,23821.534399999997
15,1586.7867,3694.0872,2267.8843,647.1664,465.3378,924.7975,1723.3683,1622.9666,7548.514,2144.802,1087.2244,23712.9352
16,1580.3772,3660.097,2292.5806,651.0573,447.4659,936.7157,1730.1428,1619.3723,7521.72,2165.4153,1095.471,23700.4151
17,1552.2017,3658.9302,2295.5957,644.5092,457.9573,941.2201,1718.0566,1606.6472,7505.7573,2142.9883,1086.3518,23610.2154
18,1546.6588,3637.4258,2309.102,638.2036,454.7808,917.0183,1721.5984,1601.2463,7472.246,2132.8025,1084.2275,23515.309999999998
19,1555.9559,3612.021,2287.9316,647.0164,451.1125,926.3628,1717.4341,1595.1987,7462.723,2113.4463,1083.4417,23452.643999999997
20,1566.7593,3604.9668,2285.5532,643.9013,450.5696,909.0727,1719.7949,1596.0034,7460.968,2117.8777,1076.7539,23432.220800000003
21,1562.086,3605.4053,2295.495,655.3391,447.7594,915.8116,1727.4767,1583.6891,7431.75,2135.5762,1074.9154,23435.3038
22,1557.3759,3584.1106,2288.6853,642.6517,448.118,918.4309,1719.4999,1586.3276,7427.8193,2119.024,1070.676,23362.7192
23,1546.6251,3566.8809,2272.6646,644.1552,438.6416,920.7018,1703.7876,1570.3242,7361.748,2128.619,1074.6113,23228.7593
24,1531.25,3541.7483,2284.2927,627.4706,450.5109,921.3322,1706.3159,1566.6248,7365.1772,2103.4531,1097.945,23196.1207
25,1518.9263,3535.101,2222.631,629.929,460.529,903.7358,1705.76,1572.6904,7343.689,2084.2705,1092.324,23069.586
26,1517.7515,3538.3928,2221.7788,627.6458,442.9073,918.121,1693.9878,1560.8032,7340.823,2086.7573,1097.2596,23046.2281
27,1523.7231,3526.2031,2224.2695,633.6898,442.1839,913.9641,1697.2863,1564.7703,7362.7744,2091.4219,1098.3594,23078.645800000002
28,1521.386,3518.226,2217.467,632.2772,460.5287,906.7723,1691.6002,1559.801,7357.7095,2097.529,1096.8174,23060.1143
29,1508.0902,3515.2366,2212.9712,643.6749,444.2291,919.9284,1692.3104,1550.805,7334.948,2107.8286,1093.3325,23023.3549
30,1524.1201,3513.8894,2218.883,641.0634,444.8147,913.6127,1693.2,1547.1777,7346.3506,2095.5413,1100.4414,23039.0943
31,1501.7909,3511.5496,2226.9727,631.687,444.5922,896.1945,1697.373,1551.9797,7376.095,2090.6287,1093.1174,23021.980700000004
32,1538.7719,3502.8945,2216.4277,646.9285,436.827,912.9812,1678.9944,1555.8683,7322.654,2092.6885,1092.658,22997.694
33,1529.8394,3499.995,2256.0542,641.8839,441.2738,899.1275,1684.6113,1557.5093,7307.365,2093.1528,1085.7611,22996.5733
34,1492.674,3483.639,2205.3828,651.2982,433.1051,898.3228,1673.2195,1537.1877,7317.011,2129.6184,1090.3434,22911.801900000002
35,1486.5089,3461.8794,2246.8218,644.6959,435.7459,895.5549,1671.9373,1541.0859,7279.0117,2087.164,1068.2024,22818.608099999998
36,1474.4203,3442.1978,2253.0867,644.4708,436.8573,903.9763,1669.983,1535.4048,7268.3965,2091.649,1059.593,22780.0355
37,1462.5656,3450.313,2216.1155,631.8036,432.6786,900.2101,1664.1993,1530.404,7223.9565,2063.456,1072.5627,22648.264900000002
38,1461.0099,3420.9941,2222.5957,638.8126,443.4794,886.4707,1650.5715,1524.4751,7263.749,2081.229,1063.7405,22657.1275
39,1459.2112,3391.5857,2206.0679,632.2722,430.8195,896.3863,1642.8547,1517.9414,7219.3643,2067.4814,1064.5945,22528.5791
40,1457.1505,3386.476,2215.5547,631.3879,416.9634,885.5908,1631.2395,1510.0303,7245.132,2064.9045,1049.6284,22494.058
41,1448.3469,3373.1423,2194.6348,636.0776,424.4445,878.4196,1621.7361,1509.1798,7182.4307,2032.4181,1049.4602,22350.290599999997
42,1415.9214,3342.9255,2143.1426,631.6478,414.1809,871.0238,1610.868,1490.4006,7201.964,2045.7927,1043.3112,22211.178499999995
43,1409.496,3313.688,2121.7197,632.6929,412.1175,872.3642,1613.5713,1486.9742,7187.2656,2082.639,1034.166,22166.694399999997
44,1395.5352,3298.9077,2132.4258,631.9352,409.8486,864.0837,1591.3507,1480.029,7151.4336,2066.9165,1028.9102,22051.3762
45,1387.5896,3267.2153,2139.2153,635.9932,412.04,857.6713,1594.3647,1472.3531,7158.1,2046.2169,1017.9689,21988.7283
46,1364.1046,3246.4958,2122.1123,628.0492,410.3356,858.2653,1574.0934,1456.9899,7121.3955,2049.0046,1016.5841,21847.4303
47,1358.0587,3213.6538,2116.989,628.6906,401.9878,841.3561,1560.9578,1440.2363,7046.1016,2029.651,1014.8566,21652.5393
48,1375.2664,3186.3801,2075.3604,626.989,406.5677,842.8829,1549.6797,1430.6929,7039.9717,2030.6375,994.661,21559.089300000003
49,1315.4023,3175.6433,2088.4016,635.4374,402.4628,842.4856,1535.9143,1409.4352,6991.6177,2001.1044,987.2094,21385.113999999998
50,1350.8,3158.2646,2066.1963,619.333,397.456,831.9074,1530.7722,1414.2639,7024.157,1995.2369,985.7147,21374.102
51,1329.0717,3122.0361,2075.781,630.0933,398.9186,817.818,1517.21,1404.8286,6991.6265,1990.9739,975.496,21253.853700000003
52,1314.4456,3098.4722,2054.6477,625.5073,377.3593,820.0009,1500.6501,1387.2865,6991.6904,1984.535,970.9769,21125.571900000003
53,1282.3969,3082.0151,2043.5638,620.8782,390.1646,804.2037,1500.9421,1382.4021,6931.7153,1960.3903,956.0586,20954.7307
54,1274.5493,3042.5776,1974.8171,614.4667,386.3446,819.0629,1500.7372,1374.2964,6902.1904,1955.0392,954.2321,20798.3135
55,1280.4368,3021.582,1999.9664,612.6111,369.178,815.4954,1492.6304,1356.1208,6881.7256,1957.5732,951.7545,20739.0742
56,1270.2109,3013.6213,1998.4867,608.0976,359.3685,795.8452,1469.1461,1357.0133,6853.168,1944.5403,938.5732,20608.0711
57,1249.2334,2994.4646,1984.0713,608.3687,361.515,798.4923,1462.9573,1342.5695,6838.021,1936.0282,929.4747,20505.196
58,1235.6033,2959.3103,1956.127,611.3485,364.738,786.468,1452.1439,1330.5054,6802.633,1945.4489,921.874,20366.2003
59,1237.4539,2937.389,1943.9255,604.7168,353.9043,785.832,1448.89,1321.7603,6747.673,1927.277,903.2772,20212.099000000002
60,1237.0096,2898.8865,1924.8662,603.7074,357.077,793.2828,1446.1443,1322.665,6716.3413,1895.4062,892.313,20087.6993
61,1195.493,2876.8376,1920.2954,607.785,356.0378,785.6271,1419.5995,1319.8712,6734.877,1876.9598,893.6191,19987.002500000002
62,1188.763,2871.1191,1913.509,608.5555,354.8664,771.0164,1414.8026,1304.1921,6649.495,1873.7919,888.2744,19838.3854
63,1184.0604,2832.8206,1903.9456,603.4435,354.8173,770.4113,1404.729,1286.5188,6619.9087,1906.0768,877.776,19744.508
64,1188.3624,2821.0132,1847.5659,601.5535,340.902,746.4855,1404.9016,1282.033,6623.1787,1845.6646,874.5937,19576.254100000002
65,1164.8464,2808.7046,1842.6711,597.4652,352.706,758.3597,1398.8416,1266.8134,6566.8467,1853.5657,866.4571,19477.277499999997
66,1189.5923,2767.2122,1859.7222,596.884,330.8646,740.5346,1377.1453,1259.1086,6552.789,1842.0259,862.6062,19378.484900000003
67,1157.349,2743.7363,1864.1313,585.0212,332.5866,740.5824,1378.5253,1247.6289,6517.8115,1825.0139,866.806,19259.1924
68,1139.0471,2697.7354,1858.6257,576.0665,330.7445,749.5096,1359.1366,1234.1335,6471.3076,1798.8892,858.516,19073.711700000003
69,1126.6465,2690.9216,1825.2144,580.8314,332.2653,732.2415,1348.4012,1219.6494,6453.3457,1796.5193,854.0352,18960.071500000002
70,1125.4058,2662.585,1808.7542,578.874,330.1619,729.5885,1327.9609,1211.3955,6407.5596,1781.5054,853.9829,18817.773699999998
71,1109.1594,2644.0732,1811.5266,572.9034,326.3759,722.6149,1334.9918,1207.9851,6395.1914,1777.5673,845.8167,18748.205699999995
72,1086.2284,2637.2412,1811.2253,576.8347,332.0604,716.755,1335.8745,1207.7638,6352.1025,1784.1162,847.2001,18687.4021
73,1097.0632,2616.3042,1793.9163,570.5835,329.6364,718.4757,1321.8788,1196.0192,6339.617,1765.007,840.1346,18588.6359
74,1106.0724,2590.5518,1784.1165,579.4825,317.3039,715.7976,1316.9827,1184.6846,6306.385,1776.738,833.5861,18511.701100000002
75,1076.7263,2579.064,1743.9404,577.2729,318.945,720.7076,1307.8506,1178.4032,6281.9956,1761.0679,844.4487,18390.4222
