,emojitracker-twitter-kissing_face_with_closed_eyes,emojitracker-twitter-kissing_face_with_smiling_eyes
314,33.0,12.0
315,36.0,9.0
316,27.0,16.0
317,41.0,11.0
318,25.0,10.0
319,25.0,10.0
320,27.0,10.0
321,23.0,10.0
322,28.0,8.0
323,26.0,9.0
324,21.0,19.0
325,28.0,15.0
326,28.0,12.0
327,28.0,12.0
328,29.0,10.0
329,20.0,6.0
330,25.0,18.0
331,28.0,15.0
332,23.0,12.0
333,18.0,11.0
334,28.0,11.0
335,23.0,11.0
336,31.0,14.0
337,25.0,8.0
338,28.0,13.0
339,25.0,6.0
340,25.0,9.0
341,16.0,13.0
342,28.0,18.0
343,23.0,18.0
344,22.0,16.0
345,33.0,11.0
346,23.0,14.0
347,22.0,14.0
348,24.0,13.0
349,27.0,8.0
350,17.0,13.0
351,27.0,17.0
352,31.0,19.0
353,14.0,13.0
354,30.0,14.0
355,23.0,18.0
356,30.0,11.0
357,33.0,13.0
358,30.0,10.0
359,24.0,8.0
360,27.0,12.0
361,21.0,12.0
362,25.0,8.0
363,42.0,8.0
364,15.0,10.0
365,24.0,19.0
366,29.0,10.0
367,27.0,9.0
368,33.0,6.0
369,23.0,12.0
370,19.0,15.0
371,18.0,15.0
372,21.0,9.0
373,24.0,17.0
374,19.0,11.0
375,18.0,14.0
376,41.0,10.0
377,31.0,10.0
378,22.0,14.0
379,27.0,7.0
380,26.0,13.0
381,26.0,13.0
382,31.0,7.0
383,27.0,13.0
384,20.0,12.0
385,13.0,13.0
386,18.0,10.0
387,24.0,3.0
388,23.0,11.0
389,15.0,8.0
390,14.0,11.0
391,25.0,16.0
392,23.0,15.0
393,19.0,12.0
394,20.0,12.0
395,18.0,13.0
396,34.0,7.0
397,23.0,17.0
398,25.0,9.0
399,18.0,15.0
400,25.0,9.0
401,29.0,11.0
402,31.0,8.0
403,21.0,8.0
404,29.0,19.0
405,27.0,5.0
406,20.0,9.0
407,16.0,6.0
408,21.0,7.0
409,27.0,10.0
410,23.0,9.0
411,29.0,15.0
412,20.0,8.0
413,25.0,8.0
414,23.0,12.0
415,24.0,14.0
416,25.0,12.0
417,9.0,16.0
418,19.0,8.0
419,24.0,13.0
420,12.0,11.0
421,23.0,8.0
422,35.0,14.0
423,25.0,13.0
424,18.0,8.0
425,21.0,11.0
426,31.0,8.0
427,18.0,10.0
428,27.0,13.0
429,19.0,8.0
430,20.0,10.0
431,28.0,8.0
432,16.0,17.0
433,32.0,13.0
434,17.0,7.0
435,18.0,14.0
436,21.0,9.0
437,22.0,8.0
438,25.0,6.0
439,21.0,9.0
440,19.0,8.0
441,14.0,10.0
442,23.0,12.0
443,32.0,5.0
444,19.0,6.0
445,17.0,10.0
446,12.0,11.0
447,21.0,9.0
448,21.0,9.0
449,23.0,13.0
450,14.0,17.0
451,31.0,11.0
452,21.0,4.0
453,21.0,8.0
454,15.0,7.0
455,14.0,6.0
456,20.0,5.0
457,28.0,10.0
458,18.0,15.0
459,19.0,10.0
460,16.0,8.0
461,20.0,11.0
462,17.0,9.0
463,22.0,10.0
464,23.0,10.0
465,17.0,12.0
466,14.0,6.0
467,22.0,13.0
468,22.0,10.0
469,20.0,11.0
470,23.0,10.0
471,17.0,13.0
472,18.0,10.0
473,14.0,8.0
474,14.0,10.0
475,19.0,4.0
476,15.0,9.0
477,17.0,10.0
478,21.0,6.0
479,25.0,10.0
480,12.0,10.0
481,21.0,11.0
482,17.0,6.0
483,24.0,9.0
484,19.0,10.0
485,24.0,12.0
486,24.0,13.0
487,18.0,9.0
488,21.0,8.0
489,23.0,11.0
490,22.0,4.0
491,29.0,12.0
492,28.0,6.0
493,23.0,10.0
494,25.0,9.0
495,27.0,12.0
496,29.0,7.0
497,29.0,8.0
498,15.0,7.0
499,24.0,11.0
500,28.0,10.0
501,31.0,10.0
502,25.0,14.0
503,26.0,4.0
504,30.0,12.0
505,31.0,7.0
506,29.0,11.0
507,28.0,5.0
508,19.0,10.0
509,12.0,8.0
510,21.0,14.0
511,20.0,14.0
512,23.0,14.0
513,18.0,10.0
514,16.0,5.0
515,28.0,11.0
516,25.0,13.0
517,15.0,6.0
518,17.0,17.0
519,17.0,12.0
520,20.0,15.0
521,24.0,16.0
522,26.0,15.0
523,19.0,10.0
524,17.0,14.0
525,19.0,11.0
526,20.0,13.0
527,12.0,8.0
528,23.0,10.0
529,25.0,14.0
530,17.0,11.0
531,23.0,13.0
532,16.0,15.0
533,21.0,6.0
534,15.0,8.0
535,22.0,12.0
536,21.0,13.0
537,19.0,7.0
538,20.0,7.0
539,14.0,8.0
540,14.0,11.0
541,16.0,7.0
542,19.0,10.0
543,26.0,15.0
544,20.0,4.0
545,21.0,4.0
546,26.0,13.0
547,18.0,7.0
548,15.0,3.0
549,22.0,11.0
550,16.0,6.0
551,14.0,6.0
552,11.0,7.0
553,16.0,8.0
554,17.0,6.0
555,14.0,10.0
556,12.0,7.0
557,21.0,10.0
558,10.0,13.0
559,15.0,5.0
560,16.0,6.0
561,14.0,5.0
562,14.0,8.0
563,14.0,7.0
564,15.0,6.0
565,11.0,10.0
566,11.0,3.0
567,14.0,4.0
568,10.0,12.0
569,17.0,8.0
570,14.0,5.0
571,13.0,9.0
572,16.0,11.0
573,15.0,7.0
574,11.0,3.0
575,11.0,7.0
576,10.0,12.0
577,15.0,9.0
578,12.0,8.0
579,21.0,13.0
580,12.0,11.0
581,17.0,6.0
582,15.0,10.0
583,12.0,7.0
584,10.0,4.0
585,17.0,6.0
586,12.0,7.0
587,9.0,8.0
588,13.0,9.0
589,18.0,12.0
590,13.0,4.0
591,12.0,7.0
592,12.0,7.0
593,12.0,9.0
594,12.0,13.0
595,11.0,3.0
596,15.0,9.0
597,10.0,9.0
598,23.0,7.0
599,15.0,9.0
600,12.0,11.0
601,11.0,5.0
602,13.0,11.0
603,10.0,4.0
604,11.0,4.0
605,8.0,7.0
606,9.0,6.0
607,13.0,5.0
608,19.0,6.0
609,11.0,4.0
610,11.0,6.0
611,12.0,9.0
612,9.0,7.0
613,11.0,6.0
614,10.0,8.0
615,13.0,5.0
616,21.0,5.0
617,6.0,12.0
618,14.0,9.0
619,7.0,5.0
620,14.0,9.0
621,14.0,7.0
622,8.0,9.0
623,16.0,5.0
624,8.0,9.0
625,8.0,5.0
626,10.0,3.0
627,9.0,6.0
628,8.0,5.0
629,13.0,13.0
630,11.0,7.0
631,12.0,2.0
632,4.0,3.0
633,12.0,4.0
634,12.0,7.0
635,16.0,4.0
636,7.0,2.0
637,14.0,5.0
638,15.0,6.0
639,6.0,5.0
640,14.0,4.0
641,10.0,5.0
642,12.0,8.0
643,10.0,9.0
644,15.0,6.0
645,13.0,9.0
646,10.0,5.0
647,16.0,8.0
648,12.0,6.0
649,10.0,7.0
650,9.0,10.0
651,8.0,7.0
652,11.0,5.0
653,12.0,7.0
654,11.0,5.0
655,10.0,3.0
656,12.0,12.0
657,7.0,8.0
658,16.0,9.0
659,17.0,6.0
660,12.0,6.0
661,14.0,8.0
662,11.0,9.0
663,17.0,8.0
664,12.0,8.0
665,10.0,9.0
666,13.0,6.0
667,12.0,13.0
668,11.0,7.0
669,11.0,12.0
670,16.0,8.0
671,16.0,3.0
672,12.0,9.0
673,11.0,7.0
674,7.0,7.0
675,18.0,6.0
676,14.0,3.0
677,13.0,6.0
678,11.0,6.0
679,11.0,4.0
680,9.0,10.0
681,15.0,5.0
682,3.0,9.0
683,16.0,8.0
684,7.0,6.0
685,16.0,7.0
686,14.0,6.0
687,13.0,10.0
688,7.0,6.0
689,10.0,7.0
690,16.0,7.0
691,15.0,5.0
692,15.0,3.0
693,14.0,3.0
694,10.0,3.0
695,7.0,6.0
696,6.0,6.0
697,13.0,6.0
698,13.0,3.0
699,15.0,2.0
700,6.0,2.0
701,8.0,6.0
702,12.0,9.0
703,10.0,6.0
704,11.0,7.0
705,10.0,7.0
706,8.0,4.0
707,12.0,10.0
708,16.0,6.0
709,17.0,2.0
710,13.0,7.0
711,8.0,6.0
712,12.0,8.0
713,7.0,6.0
714,16.0,7.0
715,10.0,7.0
716,9.0,13.0
717,14.0,11.0
718,12.0,7.0
719,16.0,4.0
720,14.0,8.0
721,10.0,5.0
722,7.0,6.0
723,16.0,6.0
724,9.0,4.0
725,10.0,8.0
726,11.0,11.0
727,10.0,8.0
728,10.0,5.0
729,4.0,8.0
730,7.0,4.0
731,7.0,9.0
732,7.0,3.0
733,18.0,6.0
734,6.0,7.0
735,12.0,8.0
736,16.0,7.0
737,8.0,2.0
738,12.0,9.0
739,3.0,3.0
740,13.0,7.0
741,13.0,5.0
742,9.0,8.0
743,11.0,8.0
744,14.0,9.0
745,11.0,4.0
746,9.0,4.0
747,13.0,5.0
748,13.0,4.0
749,10.0,9.0
750,8.0,8.0
751,13.0,5.0
752,10.0,1.0
753,15.0,8.0
754,13.0,8.0
755,16.0,6.0
756,11.0,5.0
757,6.0,2.0
758,16.0,3.0
759,13.0,1.0
760,8.0,3.0
761,7.0,4.0
762,17.0,7.0
763,7.0,4.0
764,12.0,6.0
765,14.0,7.0
766,13.0,8.0
767,11.0,10.0
768,11.0,3.0
769,7.0,4.0
770,6.0,8.0
771,10.0,5.0
772,16.0,3.0
773,14.0,6.0
774,9.0,6.0
775,13.0,10.0
776,12.0,6.0
777,13.0,4.0
778,12.0,6.0
779,14.0,4.0
780,11.0,10.0
781,12.0,9.0
782,14.0,9.0
783,9.0,4.0
784,14.0,4.0
785,17.0,7.0
786,17.0,3.0
787,20.0,7.0
788,21.0,9.0
789,17.0,8.0
790,18.0,8.0
791,19.0,9.0
792,19.0,12.0
793,19.0,6.0
794,22.0,7.0
795,21.0,3.0
796,20.0,8.0
797,13.0,3.0
798,19.0,6.0
799,11.0,5.0
800,22.0,6.0
801,15.0,5.0
802,10.0,9.0
803,21.0,1.0
804,22.0,7.0
805,18.0,7.0
806,17.0,8.0
807,12.0,5.0
808,12.0,11.0
809,12.0,4.0
810,12.0,5.0
811,13.0,5.0
812,14.0,10.0
813,6.0,5.0
814,10.0,6.0
815,12.0,5.0
816,10.0,9.0
817,14.0,10.0
818,25.0,4.0
819,17.0,6.0
820,5.0,8.0
821,14.0,7.0
822,11.0,6.0
823,9.0,2.0
824,7.0,7.0
825,14.0,6.0
826,15.0,9.0
827,6.0,5.0
828,14.0,8.0
829,17.0,5.0
830,14.0,6.0
831,12.0,5.0
832,13.0,3.0
833,19.0,5.0
834,6.0,4.0
835,9.0,7.0
836,9.0,4.0
837,11.0,6.0
