,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-other_fossil_fuels
803,2178.0,2935.0,3735.0,2704.0,232.0,219.0,3.0
804,2160.0,2969.0,3787.0,2706.0,236.0,221.0,3.0
805,2139.0,3003.0,3837.0,2707.0,236.0,222.0,3.0
806,2147.0,3053.0,3816.0,2706.0,235.0,220.0,3.0
807,2230.0,3084.0,3786.0,2708.0,235.0,220.0,3.0
808,2296.0,3090.0,3806.0,2707.0,234.0,221.0,3.0
809,2386.0,3116.0,3848.0,2708.0,226.0,222.0,3.0
810,2505.0,3190.0,3844.0,2704.0,219.0,223.0,3.0
811,2636.0,3304.0,3848.0,2707.0,210.0,224.0,3.0
812,2617.0,3349.0,3890.0,2700.0,203.0,226.0,3.0
813,2625.0,3433.0,3944.0,2707.0,200.0,227.0,3.0
814,2628.0,3520.0,3965.0,2703.0,197.0,227.0,3.0
815,2636.0,3570.0,3984.0,2707.0,194.0,225.0,3.0
816,2673.0,3629.0,4016.0,2703.0,188.0,225.0,3.0
817,2657.0,3673.0,4036.0,2707.0,187.0,225.0,3.0
818,2666.0,3695.0,4025.0,2702.0,187.0,225.0,3.0
819,2668.0,3699.0,4006.0,2707.0,193.0,225.0,3.0
820,2708.0,3725.0,4004.0,2700.0,201.0,224.0,3.0
821,2783.0,3777.0,3964.0,2708.0,204.0,224.0,3.0
822,2856.0,3795.0,4027.0,2705.0,203.0,225.0,3.0
823,2943.0,3781.0,4110.0,2707.0,197.0,223.0,3.0
824,2930.0,3781.0,4124.0,2700.0,193.0,226.0,3.0
825,2929.0,3814.0,4139.0,2706.0,181.0,225.0,3.0
826,2913.0,3829.0,4177.0,2708.0,165.0,224.0,3.0
827,2914.0,3861.0,4225.0,2706.0,158.0,224.0,3.0
828,2965.0,3878.0,4243.0,2710.0,155.0,222.0,3.0
829,2968.0,3907.0,4246.0,2705.0,153.0,220.0,3.0
830,2944.0,3901.0,4236.0,2709.0,150.0,222.0,3.0
831,2890.0,3914.0,4223.0,2707.0,146.0,225.0,3.0
832,2872.0,3932.0,4235.0,2710.0,143.0,225.0,3.0
833,2972.0,3988.0,4254.0,2706.0,141.0,223.0,3.0
834,3094.0,4039.0,4263.0,2710.0,137.0,222.0,3.0
835,3101.0,4101.0,4268.0,2707.0,132.0,217.0,3.0
836,3116.0,4141.0,4287.0,2711.0,125.0,220.0,3.0
837,3200.0,4148.0,4304.0,2706.0,117.0,226.0,3.0
838,3229.0,4150.0,4316.0,2712.0,112.0,227.0,3.0
839,3220.0,4165.0,4324.0,2706.0,109.0,230.0,3.0
840,3200.0,4180.0,4328.0,2711.0,109.0,227.0,3.0
841,3194.0,4195.0,4328.0,2705.0,105.0,228.0,3.0
842,3200.0,4195.0,4326.0,2695.0,101.0,226.0,3.0
843,3190.0,4228.0,4328.0,2702.0,91.0,233.0,52.0
844,3198.0,4243.0,4317.0,2712.0,89.0,239.0,53.0
845,3130.0,4252.0,4304.0,2709.0,81.0,232.0,53.0
846,3138.0,4253.0,4303.0,2711.0,69.0,232.0,53.0
847,3129.0,4251.0,4305.0,2710.0,62.0,230.0,52.0
848,3142.0,4246.0,4306.0,2707.0,59.0,232.0,52.0
849,3127.0,4246.0,4315.0,2712.0,61.0,234.0,52.0
850,3115.0,4242.0,4320.0,2705.0,59.0,234.0,52.0
851,3130.0,4246.0,4299.0,2709.0,55.0,238.0,52.0
852,3127.0,4255.0,4300.0,2705.0,52.0,240.0,52.0
853,3143.0,4260.0,4298.0,2708.0,56.0,240.0,52.0
854,3135.0,4255.0,4302.0,2703.0,60.0,243.0,52.0
855,3103.0,4257.0,4331.0,2708.0,63.0,242.0,24.0
856,3094.0,4251.0,4340.0,2707.0,63.0,240.0,3.0
857,3172.0,4231.0,4342.0,2710.0,62.0,241.0,3.0
858,3202.0,4211.0,4351.0,2704.0,58.0,242.0,3.0
859,3170.0,4246.0,4345.0,2709.0,62.0,242.0,3.0
860,3139.0,4234.0,4312.0,2705.0,64.0,243.0,3.0
861,3191.0,4218.0,4292.0,2708.0,56.0,244.0,3.0
862,3210.0,4226.0,4296.0,2705.0,51.0,242.0,3.0
863,3244.0,4182.0,4300.0,2708.0,53.0,242.0,3.0
864,3380.0,4158.0,4301.0,2704.0,55.0,242.0,3.0
865,3338.0,4170.0,4318.0,2710.0,55.0,243.0,3.0
866,3384.0,4186.0,4342.0,2705.0,45.0,245.0,7.0
867,3377.0,4205.0,4359.0,2706.0,38.0,246.0,11.0
868,3348.0,4237.0,4337.0,2711.0,37.0,248.0,12.0
869,3422.0,4233.0,4304.0,2703.0,37.0,248.0,12.0
870,3508.0,4215.0,4298.0,2708.0,35.0,249.0,12.0
871,3508.0,4218.0,4294.0,2703.0,36.0,248.0,12.0
872,3500.0,4218.0,4282.0,2709.0,36.0,246.0,12.0
873,3509.0,4164.0,4266.0,2704.0,39.0,244.0,12.0
874,3531.0,4135.0,4239.0,2710.0,43.0,244.0,12.0
875,3600.0,4178.0,4181.0,2703.0,42.0,244.0,12.0
876,3535.0,4234.0,4211.0,2710.0,47.0,246.0,12.0
877,3518.0,4280.0,4230.0,2698.0,52.0,250.0,12.0
878,3524.0,4294.0,4219.0,2710.0,53.0,249.0,12.0
879,3515.0,4289.0,4218.0,2704.0,53.0,248.0,12.0
880,3505.0,4333.0,4181.0,2711.0,56.0,252.0,12.0
881,3498.0,4332.0,4132.0,2706.0,72.0,248.0,12.0
882,3511.0,4331.0,4133.0,2699.0,56.0,245.0,12.0
883,3279.0,4399.0,4190.0,2703.0,62.0,244.0,11.0
884,3244.0,4411.0,4205.0,2699.0,63.0,247.0,10.0
885,3029.0,4514.0,4301.0,2708.0,66.0,254.0,10.0
886,2951.0,4612.0,4327.0,2708.0,64.0,248.0,10.0
887,2931.0,4703.0,4347.0,2708.0,59.0,250.0,10.0
888,2974.0,4765.0,4363.0,2705.0,51.0,249.0,10.0
889,3020.0,5085.0,4336.0,2709.0,46.0,247.0,10.0
890,3092.0,5064.0,4247.0,2701.0,44.0,253.0,10.0
891,3189.0,4896.0,4152.0,2705.0,43.0,251.0,10.0
892,3208.0,4741.0,4195.0,2698.0,44.0,251.0,10.0
893,3225.0,4660.0,4272.0,2708.0,41.0,249.0,10.0
894,3190.0,4710.0,4347.0,2701.0,38.0,250.0,10.0
895,3175.0,4801.0,4385.0,2708.0,33.0,247.0,10.0
896,3220.0,4901.0,4424.0,2701.0,29.0,246.0,10.0
897,3269.0,5005.0,4464.0,2706.0,28.0,245.0,10.0
898,3283.0,5043.0,4466.0,2701.0,22.0,245.0,10.0
899,3297.0,4976.0,4439.0,2706.0,19.0,247.0,10.0
900,3300.0,4918.0,4432.0,2701.0,12.0,244.0,10.0
901,3247.0,4921.0,4446.0,2705.0,10.0,243.0,10.0
902,3163.0,5029.0,4437.0,2702.0,9.0,242.0,10.0
903,3099.0,5129.0,4410.0,2703.0,9.0,239.0,6.0
904,3001.0,5180.0,4481.0,2703.0,8.0,234.0,3.0
905,2975.0,5132.0,4521.0,2699.0,6.0,232.0,3.0
906,2850.0,5131.0,4545.0,2705.0,6.0,229.0,3.0
907,2920.0,5118.0,4559.0,2703.0,6.0,232.0,3.0
908,2830.0,5112.0,4565.0,2704.0,8.0,227.0,3.0
909,2880.0,5081.0,4563.0,2702.0,12.0,223.0,3.0
910,2936.0,5029.0,4625.0,2708.0,11.0,222.0,3.0
