,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level
112,18.0,23.0,20.0,12.0,12.0,21.0
113,18.0,22.0,20.0,13.0,12.0,21.0
114,19.0,23.0,20.0,13.0,11.0,22.0
115,19.0,26.0,19.0,17.0,13.0,25.0
116,19.0,25.0,19.0,15.0,12.0,24.0
117,19.0,24.0,19.0,15.0,12.0,24.0
118,18.0,25.0,19.0,16.0,13.0,24.0
119,19.0,25.0,19.0,16.0,12.0,25.0
120,19.0,25.0,18.0,18.0,13.0,26.0
121,19.0,23.0,17.0,15.0,11.0,25.0
122,18.0,24.0,17.0,16.0,12.0,25.0
123,17.0,25.0,15.0,16.0,11.0,27.0
124,20.0,27.0,18.0,17.0,11.0,30.0
125,21.0,29.0,19.0,17.0,11.0,31.0
126,21.0,23.0,19.0,12.0,11.0,25.0
127,20.0,23.0,19.0,12.0,11.0,24.0
128,20.0,23.0,18.0,12.0,11.0,25.0
129,21.0,20.0,18.0,11.0,11.0,24.0
130,22.0,24.0,18.0,15.0,12.0,28.0
131,20.0,23.0,17.0,15.0,12.0,27.0
132,20.0,23.0,16.0,15.0,12.0,27.0
133,19.0,21.0,16.0,15.0,13.0,24.0
134,18.0,21.0,16.0,14.0,12.0,24.0
135,19.0,21.0,16.0,13.0,12.0,24.0
136,19.0,21.0,15.0,11.0,11.0,24.0
137,19.0,20.0,16.0,11.0,11.0,24.0
138,17.0,22.0,15.0,12.0,11.0,24.0
139,17.0,21.0,15.0,13.0,11.0,23.0
140,16.0,24.0,15.0,22.0,17.0,25.0
141,19.0,25.0,15.0,16.0,11.0,29.0
142,18.0,25.0,15.0,26.0,19.0,29.0
143,19.0,25.0,15.0,24.0,18.0,29.0
144,19.0,29.0,15.0,23.0,14.0,32.0
145,15.0,28.0,15.0,21.0,11.0,28.0
146,15.0,28.0,15.0,20.0,11.0,28.0
147,15.0,28.0,16.0,20.0,11.0,27.0
148,14.0,21.0,13.0,16.0,11.0,22.0
149,14.0,22.0,13.0,17.0,11.0,23.0
150,13.0,18.0,12.0,14.0,11.0,19.0
151,13.0,18.0,12.0,14.0,11.0,19.0
