,emojitracker-twitter-disappointed_face,emojitracker-twitter-disappointed_but_relieved_face
315,41.0,27.0
316,41.0,22.0
317,46.0,29.0
318,43.0,39.0
319,50.0,31.0
320,51.0,32.0
321,43.0,27.0
322,36.0,28.0
323,49.0,27.0
324,44.0,29.0
325,54.0,32.0
326,53.0,35.0
327,44.0,28.0
328,46.0,29.0
329,56.0,25.0
330,50.0,29.0
331,49.0,33.0
332,67.0,22.0
333,46.0,29.0
334,45.0,18.0
335,52.0,28.0
336,52.0,19.0
337,51.0,30.0
338,46.0,25.0
339,37.0,19.0
340,47.0,32.0
341,47.0,28.0
342,47.0,31.0
343,66.0,34.0
344,35.0,23.0
345,40.0,37.0
346,63.0,17.0
347,38.0,32.0
348,46.0,35.0
349,51.0,28.0
350,47.0,22.0
351,51.0,24.0
352,53.0,28.0
353,55.0,24.0
354,45.0,27.0
355,38.0,31.0
356,48.0,24.0
357,41.0,19.0
358,32.0,25.0
359,61.0,22.0
360,67.0,32.0
361,53.0,23.0
362,58.0,29.0
363,52.0,25.0
364,54.0,26.0
365,58.0,28.0
366,34.0,26.0
367,45.0,23.0
368,82.0,31.0
369,63.0,26.0
370,61.0,31.0
371,67.0,28.0
372,54.0,31.0
373,41.0,23.0
374,53.0,26.0
375,52.0,33.0
376,54.0,26.0
377,49.0,21.0
378,42.0,22.0
379,52.0,30.0
380,50.0,18.0
381,42.0,31.0
382,52.0,21.0
383,41.0,17.0
384,60.0,30.0
385,48.0,30.0
386,50.0,32.0
387,49.0,24.0
388,46.0,30.0
389,60.0,34.0
390,60.0,27.0
391,47.0,19.0
392,52.0,20.0
393,50.0,26.0
394,48.0,26.0
395,52.0,28.0
396,45.0,23.0
397,42.0,27.0
398,62.0,24.0
399,48.0,21.0
400,53.0,22.0
401,43.0,25.0
402,64.0,29.0
403,62.0,29.0
404,66.0,19.0
405,63.0,26.0
406,54.0,24.0
407,57.0,33.0
408,64.0,37.0
409,63.0,28.0
410,53.0,33.0
411,68.0,32.0
412,61.0,31.0
413,47.0,23.0
414,57.0,24.0
415,62.0,30.0
416,58.0,41.0
417,66.0,27.0
418,53.0,28.0
419,63.0,34.0
420,52.0,33.0
421,50.0,32.0
422,52.0,32.0
423,52.0,35.0
424,58.0,24.0
425,61.0,40.0
426,52.0,32.0
427,64.0,26.0
428,62.0,19.0
429,41.0,26.0
430,62.0,29.0
431,60.0,39.0
432,56.0,23.0
433,56.0,31.0
434,65.0,30.0
435,61.0,26.0
436,49.0,23.0
437,55.0,27.0
438,53.0,24.0
439,66.0,28.0
440,57.0,31.0
441,67.0,31.0
442,67.0,37.0
443,60.0,37.0
444,61.0,28.0
445,53.0,28.0
446,60.0,33.0
447,51.0,29.0
448,42.0,32.0
449,60.0,21.0
450,68.0,35.0
451,59.0,29.0
452,37.0,31.0
453,56.0,26.0
454,38.0,40.0
455,54.0,24.0
456,79.0,18.0
457,50.0,31.0
458,48.0,24.0
459,58.0,26.0
460,52.0,19.0
461,47.0,21.0
462,56.0,21.0
463,56.0,36.0
464,49.0,15.0
465,65.0,32.0
466,52.0,23.0
467,50.0,26.0
468,37.0,23.0
469,61.0,34.0
470,57.0,23.0
471,49.0,36.0
472,56.0,24.0
473,41.0,21.0
474,65.0,31.0
475,53.0,36.0
476,66.0,24.0
477,63.0,24.0
478,61.0,30.0
479,51.0,26.0
480,50.0,29.0
481,50.0,17.0
482,54.0,21.0
483,61.0,31.0
484,59.0,27.0
485,50.0,30.0
486,58.0,27.0
487,53.0,28.0
488,56.0,23.0
489,51.0,26.0
490,67.0,25.0
491,56.0,21.0
492,58.0,23.0
493,59.0,19.0
494,59.0,24.0
495,46.0,25.0
496,46.0,26.0
497,42.0,33.0
498,36.0,25.0
499,52.0,20.0
500,60.0,18.0
501,45.0,24.0
502,47.0,23.0
503,56.0,23.0
504,48.0,18.0
505,46.0,23.0
506,45.0,22.0
507,52.0,21.0
508,46.0,24.0
509,50.0,16.0
510,62.0,19.0
511,42.0,29.0
512,46.0,21.0
513,50.0,22.0
514,47.0,27.0
515,62.0,24.0
516,52.0,20.0
517,51.0,21.0
518,53.0,17.0
519,51.0,23.0
520,50.0,25.0
521,43.0,27.0
522,48.0,26.0
523,63.0,20.0
524,60.0,25.0
525,57.0,19.0
526,45.0,23.0
527,59.0,25.0
528,56.0,14.0
529,49.0,19.0
530,49.0,24.0
531,61.0,27.0
532,49.0,34.0
533,49.0,28.0
534,54.0,35.0
535,58.0,19.0
536,53.0,25.0
537,44.0,16.0
538,62.0,17.0
539,59.0,31.0
540,68.0,27.0
541,56.0,29.0
542,61.0,30.0
543,45.0,28.0
544,48.0,30.0
545,56.0,24.0
546,51.0,29.0
547,39.0,26.0
548,63.0,33.0
549,55.0,13.0
550,54.0,28.0
551,52.0,20.0
552,44.0,18.0
553,44.0,26.0
554,54.0,25.0
555,55.0,26.0
556,42.0,23.0
557,50.0,18.0
558,57.0,17.0
559,53.0,15.0
560,51.0,25.0
561,51.0,30.0
562,57.0,19.0
563,52.0,20.0
564,39.0,27.0
565,58.0,21.0
566,50.0,18.0
567,43.0,27.0
568,50.0,19.0
569,46.0,18.0
570,56.0,24.0
571,46.0,19.0
572,52.0,32.0
573,62.0,26.0
574,40.0,23.0
575,43.0,19.0
576,41.0,16.0
577,53.0,26.0
578,50.0,16.0
579,51.0,18.0
580,44.0,24.0
581,54.0,25.0
582,59.0,21.0
583,52.0,19.0
584,45.0,26.0
585,56.0,18.0
586,48.0,23.0
587,53.0,14.0
588,43.0,20.0
589,49.0,18.0
590,43.0,19.0
591,63.0,21.0
592,44.0,19.0
593,56.0,22.0
594,56.0,16.0
595,44.0,28.0
596,47.0,20.0
597,45.0,20.0
598,48.0,23.0
599,48.0,14.0
600,44.0,21.0
601,41.0,19.0
602,44.0,22.0
603,42.0,20.0
604,43.0,26.0
605,56.0,24.0
606,43.0,20.0
607,43.0,28.0
608,41.0,19.0
609,48.0,20.0
610,53.0,22.0
611,51.0,18.0
612,59.0,13.0
613,43.0,16.0
614,48.0,22.0
615,50.0,25.0
616,37.0,22.0
617,56.0,28.0
618,46.0,21.0
619,47.0,15.0
620,58.0,19.0
621,55.0,9.0
622,51.0,22.0
623,49.0,24.0
624,62.0,22.0
625,40.0,13.0
626,48.0,20.0
627,58.0,15.0
628,42.0,14.0
629,46.0,27.0
630,42.0,20.0
631,46.0,24.0
632,45.0,16.0
633,33.0,13.0
634,45.0,20.0
635,45.0,26.0
636,47.0,24.0
637,39.0,16.0
638,56.0,21.0
639,43.0,21.0
640,48.0,18.0
641,40.0,14.0
642,46.0,24.0
643,54.0,23.0
644,45.0,19.0
645,41.0,30.0
646,47.0,25.0
647,54.0,26.0
648,49.0,21.0
649,44.0,21.0
650,48.0,20.0
651,48.0,14.0
652,35.0,16.0
653,50.0,14.0
654,49.0,15.0
655,45.0,17.0
656,49.0,13.0
657,45.0,22.0
658,44.0,17.0
659,49.0,23.0
660,49.0,18.0
661,39.0,20.0
662,41.0,15.0
663,51.0,25.0
664,41.0,14.0
665,41.0,15.0
666,45.0,19.0
667,47.0,16.0
668,43.0,24.0
669,45.0,25.0
670,54.0,21.0
671,41.0,18.0
672,48.0,19.0
673,37.0,27.0
674,40.0,19.0
675,42.0,21.0
676,43.0,21.0
677,56.0,21.0
678,56.0,26.0
679,46.0,18.0
680,37.0,18.0
681,39.0,19.0
682,43.0,19.0
683,44.0,11.0
684,59.0,18.0
685,53.0,24.0
686,48.0,17.0
687,33.0,8.0
688,46.0,15.0
689,53.0,17.0
690,51.0,13.0
691,44.0,18.0
692,67.0,20.0
693,53.0,17.0
694,44.0,17.0
695,47.0,20.0
696,56.0,17.0
697,51.0,18.0
698,40.0,22.0
699,44.0,19.0
700,45.0,13.0
701,54.0,18.0
702,48.0,17.0
703,50.0,18.0
704,49.0,29.0
705,52.0,24.0
706,43.0,26.0
707,49.0,18.0
708,47.0,28.0
709,43.0,20.0
710,52.0,24.0
711,46.0,25.0
712,60.0,18.0
713,53.0,23.0
714,49.0,19.0
715,50.0,12.0
716,41.0,16.0
717,47.0,19.0
718,41.0,18.0
719,46.0,22.0
720,52.0,20.0
721,40.0,23.0
722,47.0,16.0
723,52.0,12.0
724,51.0,17.0
725,50.0,18.0
726,41.0,16.0
727,47.0,19.0
728,64.0,19.0
729,49.0,23.0
730,61.0,21.0
731,43.0,21.0
732,45.0,21.0
733,51.0,21.0
734,54.0,25.0
735,44.0,20.0
736,40.0,20.0
737,39.0,13.0
738,45.0,25.0
739,62.0,20.0
740,36.0,18.0
741,55.0,22.0
742,37.0,10.0
743,48.0,18.0
744,44.0,20.0
745,51.0,13.0
746,45.0,20.0
747,40.0,23.0
748,31.0,25.0
749,44.0,15.0
750,55.0,19.0
751,36.0,16.0
752,46.0,18.0
753,61.0,21.0
754,41.0,14.0
755,45.0,17.0
756,44.0,16.0
757,44.0,19.0
758,53.0,14.0
759,43.0,18.0
760,49.0,19.0
761,48.0,21.0
762,54.0,13.0
763,48.0,22.0
764,55.0,15.0
765,42.0,26.0
766,46.0,24.0
767,40.0,15.0
768,53.0,14.0
769,40.0,19.0
770,37.0,22.0
771,46.0,16.0
772,47.0,20.0
773,56.0,23.0
774,58.0,14.0
775,43.0,16.0
776,59.0,19.0
777,58.0,20.0
778,61.0,34.0
779,52.0,19.0
780,50.0,22.0
781,46.0,21.0
782,63.0,10.0
783,52.0,21.0
784,54.0,24.0
785,59.0,20.0
786,46.0,22.0
787,52.0,20.0
788,52.0,24.0
789,49.0,17.0
790,57.0,17.0
791,49.0,23.0
792,53.0,23.0
793,45.0,27.0
794,48.0,10.0
795,51.0,16.0
796,38.0,17.0
797,39.0,17.0
798,40.0,18.0
799,45.0,17.0
800,56.0,20.0
801,49.0,22.0
802,45.0,18.0
803,47.0,15.0
804,51.0,15.0
805,49.0,21.0
806,42.0,22.0
807,51.0,19.0
808,41.0,20.0
809,48.0,10.0
810,48.0,19.0
811,48.0,20.0
812,47.0,15.0
813,44.0,11.0
814,35.0,17.0
815,42.0,15.0
816,43.0,22.0
817,51.0,23.0
818,58.0,11.0
819,40.0,13.0
820,43.0,18.0
821,49.0,21.0
822,48.0,23.0
823,48.0,18.0
824,49.0,27.0
825,50.0,20.0
826,48.0,10.0
827,49.0,14.0
828,45.0,11.0
829,53.0,22.0
830,42.0,22.0
831,32.0,18.0
832,33.0,12.0
833,47.0,28.0
834,40.0,16.0
835,42.0,21.0
836,44.0,17.0
837,54.0,15.0
838,43.0,18.0
839,49.0,23.0
840,45.0,24.0
841,37.0,20.0
842,45.0,20.0
843,46.0,13.0
844,50.0,13.0
845,36.0,23.0
846,39.0,17.0
847,45.0,24.0
848,39.0,18.0
849,49.0,17.0
850,46.0,19.0
851,41.0,12.0
852,41.0,24.0
853,47.0,16.0
854,44.0,17.0
855,41.0,22.0
856,31.0,13.0
857,43.0,14.0
858,45.0,18.0
859,46.0,15.0
860,41.0,10.0
861,39.0,19.0
862,35.0,19.0
863,35.0,16.0
864,51.0,16.0
865,36.0,15.0
866,43.0,11.0
867,32.0,26.0
868,48.0,19.0
869,42.0,13.0
870,39.0,17.0
871,41.0,20.0
872,37.0,17.0
873,45.0,20.0
874,41.0,18.0
875,26.0,12.0
876,45.0,11.0
877,41.0,16.0
878,45.0,27.0
879,49.0,14.0
880,41.0,16.0
881,41.0,10.0
882,44.0,19.0
883,51.0,16.0
884,44.0,13.0
885,46.0,14.0
886,34.0,17.0
887,48.0,14.0
888,35.0,13.0
889,35.0,16.0
890,41.0,11.0
891,36.0,19.0
892,38.0,10.0
893,43.0,16.0
894,36.0,7.0
895,44.0,13.0
896,29.0,15.0
897,53.0,13.0
898,50.0,19.0
899,36.0,16.0
900,39.0,9.0
901,52.0,17.0
902,38.0,21.0
903,42.0,18.0
904,43.0,13.0
905,39.0,17.0
906,55.0,14.0
907,48.0,21.0
908,52.0,12.0
909,37.0,17.0
910,51.0,16.0
911,40.0,12.0
912,34.0,12.0
913,38.0,18.0
914,44.0,10.0
915,29.0,23.0
916,32.0,15.0
917,37.0,27.0
918,46.0,11.0
919,49.0,16.0
920,41.0,17.0
921,40.0,17.0
922,49.0,13.0
923,34.0,16.0
924,38.0,21.0
925,43.0,15.0
926,36.0,17.0
927,49.0,17.0
928,33.0,13.0
929,47.0,12.0
930,41.0,20.0
931,46.0,12.0
932,35.0,13.0
933,32.0,18.0
934,35.0,17.0
935,37.0,11.0
936,47.0,9.0
937,41.0,18.0
938,43.0,13.0
939,42.0,20.0
940,36.0,13.0
941,39.0,14.0
942,46.0,17.0
943,48.0,17.0
944,37.0,13.0
945,44.0,16.0
946,43.0,11.0
947,44.0,21.0
948,50.0,13.0
949,41.0,15.0
950,47.0,10.0
951,33.0,10.0
952,41.0,11.0
953,32.0,14.0
954,36.0,16.0
955,32.0,20.0
