,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level
167,11.0,12.0,12.0,11.0
168,11.0,12.0,12.0,11.0
169,11.0,11.0,12.0,11.0
170,11.0,11.0,12.0,11.0
171,11.0,11.0,12.0,11.0
172,11.0,11.0,12.0,11.0
173,11.0,11.0,12.0,11.0
174,11.0,11.0,12.0,11.0
175,11.0,11.0,12.0,11.0
176,11.0,13.0,12.0,11.0
177,12.0,12.0,12.0,11.0
178,11.0,12.0,12.0,11.0
179,11.0,11.0,12.0,11.0
180,11.0,11.0,12.0,11.0
181,11.0,11.0,12.0,11.0
182,12.0,11.0,12.0,11.0
183,13.0,11.0,13.0,11.0
184,12.0,11.0,13.0,11.0
185,13.0,12.0,14.0,11.0
186,12.0,11.0,13.0,11.0
187,12.0,11.0,12.0,11.0
188,11.0,11.0,12.0,11.0
189,11.0,11.0,12.0,11.0
190,11.0,11.0,12.0,11.0
191,11.0,11.0,12.0,11.0
192,11.0,11.0,12.0,11.0
193,11.0,11.0,12.0,11.0
194,11.0,11.0,12.0,11.0
195,11.0,11.0,12.0,11.0
196,11.0,11.0,12.0,11.0
197,11.0,11.0,12.0,11.0
198,11.0,11.0,12.0,11.0
199,11.0,12.0,12.0,11.0
200,11.0,11.0,12.0,11.0
201,11.0,11.0,12.0,11.0
202,11.0,12.0,12.0,11.0
203,11.0,12.0,12.0,11.0
204,12.0,12.0,12.0,11.0
205,12.0,12.0,12.0,11.0
206,12.0,12.0,13.0,11.0
207,12.0,12.0,12.0,11.0
208,12.0,12.0,12.0,11.0
209,11.0,11.0,12.0,11.0
210,11.0,11.0,12.0,11.0
211,11.0,11.0,12.0,11.0
212,11.0,12.0,12.0,11.0
213,11.0,12.0,12.0,11.0
214,11.0,12.0,12.0,11.0
215,11.0,11.0,12.0,11.0
216,11.0,12.0,12.0,11.0
217,11.0,12.0,12.0,11.0
218,11.0,12.0,12.0,11.0
219,11.0,12.0,12.0,11.0
220,11.0,12.0,12.0,11.0
221,11.0,12.0,13.0,11.0
222,11.0,12.0,12.0,11.0
223,11.0,13.0,13.0,11.0
224,11.0,12.0,12.0,11.0
225,11.0,12.0,12.0,11.0
226,11.0,12.0,12.0,11.0
227,11.0,12.0,12.0,11.0
228,11.0,13.0,13.0,11.0
229,11.0,13.0,13.0,11.0
230,11.0,13.0,13.0,11.0
231,11.0,12.0,12.0,11.0
232,11.0,12.0,13.0,11.0
233,12.0,12.0,13.0,11.0
234,12.0,12.0,13.0,12.0
235,13.0,12.0,13.0,11.0
236,13.0,12.0,13.0,11.0
237,12.0,13.0,13.0,11.0
238,12.0,13.0,13.0,11.0
239,11.0,12.0,13.0,11.0
240,11.0,12.0,12.0,11.0
241,11.0,12.0,12.0,11.0
242,11.0,12.0,13.0,11.0
243,12.0,13.0,14.0,11.0
244,12.0,13.0,15.0,11.0
245,12.0,13.0,14.0,11.0
246,12.0,13.0,14.0,11.0
247,12.0,14.0,15.0,11.0
248,12.0,13.0,15.0,11.0
249,13.0,13.0,15.0,11.0
250,12.0,12.0,14.0,11.0
251,12.0,12.0,13.0,11.0
252,12.0,13.0,13.0,11.0
253,12.0,13.0,14.0,11.0
254,12.0,14.0,14.0,11.0
255,12.0,14.0,14.0,11.0
256,12.0,14.0,15.0,11.0
257,13.0,14.0,16.0,11.0
258,13.0,14.0,16.0,11.0
259,12.0,15.0,16.0,11.0
260,12.0,14.0,16.0,11.0
261,12.0,14.0,16.0,11.0
262,12.0,14.0,16.0,11.0
263,12.0,14.0,15.0,11.0
264,12.0,15.0,16.0,11.0
265,12.0,15.0,16.0,11.0
266,12.0,16.0,17.0,11.0
267,12.0,15.0,16.0,11.0
268,12.0,15.0,16.0,11.0
269,13.0,15.0,16.0,12.0
270,13.0,16.0,17.0,12.0
271,13.0,16.0,17.0,12.0
272,14.0,16.0,17.0,12.0
273,15.0,16.0,17.0,14.0
274,14.0,17.0,18.0,13.0
275,14.0,17.0,18.0,13.0
276,13.0,16.0,17.0,12.0
277,12.0,16.0,17.0,11.0
278,12.0,16.0,17.0,11.0
279,13.0,17.0,19.0,11.0
280,14.0,17.0,20.0,12.0
281,14.0,17.0,19.0,12.0
282,14.0,16.0,19.0,12.0
283,14.0,17.0,19.0,11.0
284,15.0,17.0,20.0,12.0
285,13.0,17.0,19.0,12.0
286,13.0,17.0,19.0,12.0
287,13.0,17.0,18.0,11.0
288,13.0,16.0,18.0,11.0
289,13.0,16.0,17.0,11.0
290,13.0,16.0,17.0,12.0
291,13.0,15.0,16.0,12.0
292,13.0,15.0,16.0,11.0
293,13.0,14.0,16.0,11.0
294,13.0,14.0,16.0,11.0
295,13.0,15.0,16.0,11.0
296,13.0,15.0,17.0,11.0
297,12.0,16.0,18.0,11.0
298,12.0,18.0,19.0,11.0
299,13.0,18.0,19.0,12.0
300,13.0,18.0,20.0,11.0
301,12.0,17.0,18.0,12.0
302,14.0,16.0,17.0,13.0
303,14.0,17.0,18.0,13.0
304,15.0,18.0,20.0,14.0
305,17.0,19.0,22.0,14.0
306,17.0,19.0,21.0,15.0
307,17.0,20.0,22.0,15.0
308,17.0,21.0,22.0,16.0
309,17.0,22.0,23.0,16.0
310,17.0,23.0,24.0,16.0
311,17.0,24.0,26.0,16.0
312,18.0,25.0,26.0,16.0
313,18.0,26.0,27.0,17.0
314,19.0,26.0,26.0,18.0
315,20.0,25.0,27.0,18.0
316,20.0,23.0,25.0,18.0
317,20.0,24.0,26.0,18.0
318,19.0,24.0,26.0,18.0
319,18.0,26.0,27.0,17.0
320,19.0,24.0,25.0,18.0
321,20.0,26.0,27.0,19.0
322,20.0,27.0,29.0,18.0
