,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel
90,3.0,5246.0,3254.0,38.0,3415.0,251.0,5802.0
91,3.0,5246.0,3254.0,38.0,3415.0,251.0,5802.0
92,3.0,5246.0,3254.0,38.0,3415.0,251.0,5802.0
93,3.0,5246.0,3254.0,38.0,3415.0,251.0,5802.0
94,3.0,5246.0,3254.0,38.0,3415.0,251.0,5802.0
95,3.0,5246.0,3254.0,38.0,3415.0,251.0,5802.0
96,3.0,5246.0,3254.0,38.0,3415.0,251.0,5802.0
97,3.0,5246.0,3254.0,38.0,3415.0,251.0,5802.0
98,3.0,5246.0,3254.0,38.0,3415.0,251.0,5802.0
99,3.0,5150.0,3252.0,66.0,3510.0,246.0,5709.0
100,3.0,5184.0,3253.0,68.0,3561.0,247.0,5701.0
101,3.0,5187.0,3251.0,74.0,3573.0,246.0,5681.0
102,3.0,5171.0,3253.0,79.0,3567.0,242.0,5682.0
103,3.0,5138.0,3251.0,86.0,3566.0,244.0,5673.0
104,3.0,5114.0,3252.0,97.0,3565.0,244.0,5655.0
105,3.0,5127.0,3252.0,107.0,3575.0,245.0,5647.0
106,3.0,5149.0,3251.0,112.0,3568.0,243.0,5642.0
107,3.0,5163.0,3253.0,115.0,3537.0,242.0,5630.0
108,3.0,5195.0,3253.0,127.0,3476.0,245.0,5611.0
109,3.0,5195.0,3253.0,127.0,3476.0,245.0,5611.0
110,3.0,5195.0,3253.0,127.0,3476.0,245.0,5611.0
111,3.0,5195.0,3253.0,127.0,3476.0,245.0,5611.0
112,3.0,5207.0,3253.0,167.0,3464.0,240.0,5377.0
113,3.0,5178.0,3251.0,172.0,3484.0,242.0,5345.0
114,3.0,5150.0,3252.0,179.0,3527.0,246.0,5329.0
115,3.0,5108.0,3255.0,190.0,3554.0,245.0,5321.0
116,3.0,5085.0,3254.0,200.0,3587.0,243.0,5344.0
117,3.0,5075.0,3255.0,214.0,3605.0,244.0,5352.0
118,3.0,5019.0,3255.0,228.0,3603.0,244.0,5349.0
119,3.0,5003.0,3253.0,242.0,3611.0,241.0,5358.0
120,3.0,4988.0,3257.0,257.0,3605.0,242.0,5337.0
121,3.0,4833.0,3256.0,279.0,3578.0,241.0,5229.0
122,3.0,4705.0,3255.0,302.0,3503.0,245.0,5147.0
123,3.0,4658.0,3255.0,324.0,3497.0,242.0,5092.0
124,3.0,4609.0,3257.0,344.0,3494.0,244.0,5087.0
125,3.0,4593.0,3254.0,366.0,3478.0,240.0,5069.0
126,3.0,4560.0,3254.0,381.0,3450.0,242.0,5055.0
127,3.0,4481.0,3254.0,405.0,3449.0,242.0,5062.0
128,3.0,4433.0,3251.0,427.0,3431.0,244.0,5058.0
129,3.0,4401.0,3254.0,449.0,3391.0,241.0,5016.0
130,3.0,4373.0,3253.0,466.0,3395.0,243.0,4940.0
131,3.0,4345.0,3256.0,489.0,3382.0,244.0,4887.0
132,3.0,4326.0,3254.0,509.0,3395.0,245.0,4857.0
133,3.0,4304.0,3254.0,522.0,3408.0,244.0,4833.0
134,3.0,4289.0,3252.0,539.0,3404.0,242.0,4761.0
135,3.0,4253.0,3250.0,550.0,3373.0,239.0,4764.0
136,3.0,4248.0,3252.0,555.0,3323.0,242.0,4764.0
137,3.0,4286.0,3249.0,543.0,3323.0,245.0,4778.0
138,3.0,4268.0,3253.0,544.0,3286.0,245.0,4739.0
139,3.0,4217.0,3254.0,545.0,3243.0,245.0,4669.0
140,3.0,4108.0,3254.0,546.0,3239.0,242.0,4627.0
141,3.0,4010.0,3254.0,541.0,3302.0,242.0,4564.0
142,3.0,3899.0,3251.0,540.0,3359.0,246.0,4481.0
143,3.0,3834.0,3253.0,548.0,3333.0,241.0,4457.0
144,3.0,3877.0,3252.0,559.0,3218.0,242.0,4488.0
145,3.0,3884.0,3254.0,560.0,3064.0,245.0,4509.0
146,3.0,3864.0,3253.0,561.0,2989.0,245.0,4517.0
147,3.0,3784.0,3253.0,569.0,2961.0,245.0,4483.0
148,3.0,3677.0,3253.0,577.0,2966.0,245.0,4493.0
149,3.0,3659.0,3254.0,585.0,2954.0,246.0,4412.0
150,3.0,3648.0,3254.0,600.0,2953.0,248.0,4345.0
151,3.0,3657.0,3251.0,604.0,2883.0,245.0,4315.0
152,3.0,3680.0,3255.0,600.0,2801.0,245.0,4246.0
153,3.0,3705.0,3253.0,604.0,2762.0,244.0,4143.0
154,3.0,3675.0,3253.0,613.0,2689.0,244.0,4135.0
155,3.0,3617.0,3253.0,608.0,2683.0,242.0,4126.0
156,3.0,3647.0,3253.0,607.0,2605.0,235.0,4064.0
157,3.0,3748.0,3254.0,607.0,2461.0,237.0,4140.0
158,3.0,3761.0,3253.0,599.0,2330.0,236.0,4224.0
159,3.0,3735.0,3255.0,593.0,2232.0,236.0,4232.0
160,3.0,3745.0,3255.0,587.0,2189.0,241.0,4254.0
161,3.0,3757.0,3255.0,583.0,2166.0,244.0,4233.0
162,3.0,3739.0,3255.0,581.0,2161.0,247.0,4170.0
163,3.0,3734.0,3255.0,585.0,2126.0,252.0,4159.0
164,3.0,3730.0,3256.0,593.0,2103.0,255.0,4157.0
165,3.0,3687.0,3257.0,594.0,1992.0,255.0,4140.0
166,3.0,3665.0,3257.0,587.0,1949.0,257.0,4037.0
167,3.0,3500.0,3260.0,572.0,2012.0,259.0,3956.0
168,3.0,3482.0,3259.0,571.0,2077.0,261.0,3906.0
169,3.0,3482.0,3259.0,571.0,2077.0,261.0,3906.0
170,3.0,3391.0,3257.0,584.0,2067.0,258.0,3772.0
171,3.0,3374.0,3258.0,600.0,2039.0,257.0,3684.0
172,3.0,3349.0,3256.0,605.0,1998.0,260.0,3659.0
173,3.0,3323.0,3256.0,587.0,1976.0,262.0,3676.0
174,3.0,3328.0,3257.0,584.0,1990.0,257.0,3633.0
175,3.0,3303.0,3257.0,583.0,2038.0,258.0,3540.0
176,3.0,3275.0,3257.0,580.0,2083.0,264.0,3456.0
177,3.0,3269.0,3258.0,572.0,1974.0,262.0,3406.0
178,3.0,3239.0,3257.0,566.0,1969.0,260.0,3397.0
179,3.0,3297.0,3255.0,560.0,2068.0,261.0,3450.0
180,3.0,3308.0,3257.0,568.0,2116.0,261.0,3577.0
181,3.0,3320.0,3256.0,564.0,2034.0,266.0,3602.0
182,3.0,3372.0,3257.0,557.0,1968.0,266.0,3645.0
183,3.0,3402.0,3256.0,540.0,1887.0,263.0,3626.0
184,3.0,3386.0,3255.0,520.0,1952.0,263.0,3508.0
185,3.0,3340.0,3257.0,511.0,1992.0,262.0,3437.0
186,3.0,3269.0,3253.0,498.0,2056.0,262.0,3405.0
187,3.0,3243.0,3254.0,483.0,2072.0,264.0,3433.0
188,3.0,3274.0,3256.0,471.0,2077.0,265.0,3493.0
189,3.0,3239.0,3256.0,465.0,2078.0,265.0,3519.0
190,3.0,3178.0,3257.0,461.0,2096.0,264.0,3507.0
191,3.0,3130.0,3254.0,454.0,2167.0,261.0,3678.0
192,3.0,3203.0,3254.0,458.0,2181.0,261.0,3757.0
193,3.0,3249.0,3255.0,462.0,2155.0,267.0,3762.0
194,3.0,3279.0,3256.0,468.0,2133.0,266.0,3688.0
195,3.0,3239.0,3256.0,471.0,2135.0,264.0,3673.0
196,3.0,3201.0,3255.0,478.0,2115.0,262.0,3682.0
197,3.0,3165.0,3258.0,481.0,2078.0,261.0,3667.0
198,3.0,3121.0,3257.0,477.0,2101.0,261.0,3645.0
199,3.0,3099.0,3258.0,482.0,2074.0,264.0,3638.0
200,3.0,3091.0,3257.0,476.0,2089.0,266.0,3629.0
201,3.0,3096.0,3260.0,478.0,2100.0,267.0,3578.0
202,3.0,3131.0,3258.0,447.0,2060.0,265.0,3492.0
203,3.0,3226.0,3259.0,399.0,1960.0,264.0,3385.0
204,3.0,3280.0,3259.0,386.0,1759.0,264.0,3282.0
205,3.0,3266.0,3258.0,391.0,1684.0,264.0,3314.0
206,3.0,3186.0,3258.0,425.0,1724.0,265.0,3268.0
207,3.0,3159.0,3259.0,479.0,1736.0,264.0,3247.0
208,3.0,3112.0,3258.0,459.0,1813.0,262.0,3235.0
209,3.0,3066.0,3260.0,441.0,1827.0,262.0,3158.0
210,3.0,3010.0,3259.0,440.0,1856.0,262.0,3155.0
211,3.0,2985.0,3253.0,436.0,1898.0,261.0,3099.0
212,3.0,2993.0,3258.0,428.0,1906.0,259.0,3176.0
213,3.0,3013.0,3259.0,426.0,1916.0,260.0,3210.0
214,3.0,3042.0,3258.0,422.0,1959.0,260.0,3229.0
215,3.0,3082.0,3259.0,417.0,2024.0,261.0,3283.0
216,3.0,3088.0,3261.0,406.0,2084.0,256.0,3335.0
217,3.0,3136.0,3260.0,402.0,2058.0,257.0,3326.0
218,3.0,3172.0,3260.0,404.0,2062.0,257.0,3347.0
219,3.0,3183.0,3262.0,411.0,2067.0,256.0,3384.0
220,3.0,3192.0,3259.0,414.0,2057.0,260.0,3391.0
221,3.0,3235.0,3262.0,416.0,2022.0,261.0,3357.0
222,3.0,3239.0,3259.0,418.0,2016.0,262.0,3351.0
223,3.0,3199.0,3262.0,416.0,2045.0,264.0,3376.0
224,3.0,3141.0,3259.0,406.0,2074.0,264.0,3476.0
225,3.0,3163.0,3262.0,393.0,2063.0,264.0,3541.0
226,3.0,3193.0,3262.0,391.0,2033.0,262.0,3543.0
227,3.0,3238.0,3261.0,392.0,2059.0,259.0,3490.0
228,3.0,3238.0,3259.0,396.0,2048.0,261.0,3517.0
229,3.0,3322.0,3259.0,391.0,1943.0,261.0,3543.0
230,3.0,3367.0,3259.0,387.0,1933.0,260.0,3713.0
231,3.0,3413.0,3259.0,389.0,1955.0,260.0,3827.0
232,3.0,3403.0,3261.0,386.0,1936.0,253.0,3811.0
233,3.0,3380.0,3259.0,380.0,1986.0,256.0,3785.0
234,3.0,3365.0,3258.0,374.0,2077.0,257.0,3783.0
235,3.0,3386.0,3262.0,364.0,2115.0,262.0,3847.0
236,3.0,3351.0,3262.0,362.0,2170.0,259.0,3881.0
237,3.0,3383.0,3260.0,366.0,2201.0,258.0,3820.0
238,3.0,3339.0,3262.0,372.0,2297.0,259.0,3860.0
239,3.0,3313.0,3259.0,377.0,2434.0,259.0,3891.0
240,3.0,3373.0,3258.0,380.0,2577.0,258.0,4038.0
241,3.0,3345.0,3261.0,379.0,2726.0,255.0,4067.0
242,3.0,3431.0,3263.0,374.0,2778.0,252.0,4087.0
243,3.0,3464.0,3262.0,373.0,2851.0,256.0,4044.0
244,3.0,3488.0,3261.0,378.0,2798.0,257.0,4128.0
245,3.0,3515.0,3260.0,376.0,2799.0,257.0,4158.0
246,3.0,3518.0,3259.0,383.0,2909.0,257.0,4159.0
247,3.0,3547.0,3259.0,392.0,2963.0,257.0,4182.0
248,3.0,3600.0,3261.0,396.0,2966.0,255.0,4195.0
249,3.0,3648.0,3259.0,394.0,2948.0,260.0,4216.0
250,3.0,3689.0,3260.0,379.0,2937.0,255.0,4226.0
251,3.0,3721.0,3258.0,364.0,3011.0,257.0,4190.0
252,3.0,3745.0,3261.0,351.0,3110.0,258.0,4197.0
253,3.0,3787.0,3260.0,341.0,3151.0,257.0,4216.0
254,3.0,3820.0,3258.0,338.0,3199.0,259.0,4246.0
255,3.0,3826.0,3261.0,330.0,3220.0,256.0,4251.0
256,3.0,3839.0,3260.0,329.0,3223.0,257.0,4272.0
257,3.0,3858.0,3259.0,323.0,3249.0,258.0,4304.0
258,3.0,3857.0,3261.0,327.0,3308.0,257.0,4324.0
259,3.0,3847.0,3260.0,335.0,3366.0,257.0,4357.0
