,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan
70,94.0,12.0,21.0,44.0,12.0,102.0,0.0,5.0,41.0,11.0
71,94.0,16.0,0.0,48.0,15.0,134.0,0.0,0.0,97.0,18.0
72,113.0,16.0,0.0,48.0,15.0,134.0,0.0,0.0,97.0,18.0
73,113.0,14.0,0.0,62.0,15.0,70.0,0.0,0.0,97.0,22.0
74,237.0,14.0,0.0,62.0,15.0,70.0,0.0,0.0,97.0,22.0
75,237.0,12.0,20.0,52.0,0.0,124.0,0.0,6.0,48.0,14.0
76,165.0,12.0,20.0,52.0,0.0,124.0,0.0,6.0,48.0,14.0
77,165.0,15.0,24.0,29.0,2.0,88.0,0.0,6.0,21.0,5.0
78,102.0,15.0,24.0,29.0,2.0,88.0,0.0,6.0,21.0,5.0
79,102.0,16.0,28.0,23.0,4.0,58.0,0.0,4.0,7.0,6.0
80,98.0,16.0,28.0,23.0,4.0,58.0,0.0,4.0,7.0,6.0
81,98.0,13.0,30.0,12.0,9.0,41.0,18.0,3.0,7.0,6.0
82,55.0,13.0,30.0,12.0,9.0,41.0,18.0,3.0,7.0,6.0
83,55.0,11.0,43.0,8.0,20.0,36.0,18.0,8.0,11.0,6.0
84,35.0,11.0,43.0,8.0,20.0,36.0,18.0,8.0,11.0,6.0
85,35.0,11.0,77.0,9.0,23.0,40.0,10.0,9.0,7.0,5.0
86,27.0,11.0,77.0,9.0,23.0,40.0,10.0,9.0,7.0,5.0
87,27.0,11.0,77.0,9.0,23.0,40.0,10.0,9.0,7.0,5.0
88,27.0,16.0,88.0,12.0,21.0,55.0,8.0,9.0,5.0,5.0
89,40.0,27.0,77.0,19.0,17.0,55.0,6.0,9.0,4.0,8.0
90,61.0,27.0,77.0,19.0,17.0,55.0,6.0,9.0,4.0,8.0
91,61.0,37.0,86.0,20.0,23.0,55.0,2.0,9.0,15.0,11.0
92,66.0,37.0,86.0,20.0,23.0,55.0,2.0,9.0,15.0,11.0
93,66.0,33.0,75.0,14.0,28.0,59.0,6.0,5.0,21.0,10.0
94,87.0,33.0,75.0,14.0,28.0,59.0,6.0,5.0,21.0,10.0
95,87.0,28.0,55.0,16.0,27.0,64.0,6.0,4.0,25.0,5.0
96,82.0,28.0,55.0,16.0,27.0,64.0,6.0,4.0,25.0,5.0
97,82.0,19.0,39.0,18.0,27.0,69.0,1.0,2.0,23.0,4.0
98,85.0,19.0,39.0,18.0,27.0,69.0,1.0,2.0,23.0,4.0
99,85.0,15.0,33.0,21.0,33.0,75.0,8.0,3.0,20.0,4.0
100,86.0,15.0,33.0,21.0,33.0,75.0,8.0,3.0,20.0,4.0
101,86.0,16.0,64.0,28.0,35.0,74.0,14.0,5.0,26.0,7.0
102,94.0,16.0,64.0,28.0,35.0,74.0,14.0,5.0,26.0,7.0
103,94.0,24.0,58.0,33.0,35.0,68.0,17.0,2.0,32.0,9.0
104,78.0,24.0,58.0,33.0,35.0,68.0,17.0,2.0,32.0,9.0
105,78.0,35.0,58.0,17.0,19.0,62.0,0.0,2.0,22.0,10.0
106,74.0,35.0,58.0,17.0,19.0,62.0,0.0,2.0,22.0,10.0
107,74.0,46.0,52.0,17.0,12.0,51.0,1.0,1.0,12.0,14.0
108,92.0,46.0,52.0,17.0,12.0,51.0,1.0,1.0,12.0,14.0
109,92.0,42.0,26.0,18.0,12.0,43.0,8.0,1.0,15.0,14.0
110,79.0,42.0,26.0,18.0,12.0,43.0,8.0,1.0,15.0,14.0
111,79.0,35.0,17.0,16.0,21.0,51.0,8.0,2.0,18.0,11.0
112,70.0,35.0,17.0,16.0,21.0,51.0,8.0,2.0,18.0,11.0
113,70.0,33.0,13.0,21.0,8.0,61.0,6.0,2.0,29.0,10.0
114,65.0,33.0,13.0,21.0,8.0,61.0,6.0,2.0,29.0,10.0
115,65.0,34.0,9.0,19.0,5.0,67.0,10.0,2.0,39.0,10.0
116,62.0,34.0,9.0,19.0,5.0,67.0,10.0,2.0,39.0,10.0
117,62.0,26.0,14.0,19.0,5.0,59.0,17.0,1.0,56.0,14.0
118,57.0,26.0,14.0,19.0,5.0,59.0,17.0,1.0,56.0,14.0
119,57.0,19.0,23.0,29.0,6.0,53.0,40.0,2.0,59.0,22.0
120,27.0,19.0,23.0,29.0,6.0,53.0,40.0,2.0,59.0,22.0
121,27.0,17.0,22.0,36.0,9.0,49.0,55.0,2.0,52.0,24.0
122,31.0,17.0,22.0,36.0,9.0,49.0,55.0,2.0,52.0,24.0
123,31.0,24.0,27.0,37.0,11.0,44.0,0.0,2.0,64.0,19.0
124,41.0,24.0,27.0,37.0,11.0,44.0,0.0,2.0,64.0,19.0
125,41.0,29.0,31.0,37.0,9.0,41.0,24.0,2.0,69.0,15.0
126,41.0,29.0,31.0,37.0,9.0,41.0,24.0,2.0,69.0,15.0
127,41.0,24.0,37.0,56.0,14.0,47.0,35.0,2.0,44.0,16.0
128,38.0,24.0,37.0,56.0,14.0,47.0,35.0,2.0,44.0,16.0
129,38.0,28.0,44.0,61.0,17.0,55.0,25.0,3.0,27.0,22.0
130,37.0,28.0,44.0,61.0,17.0,55.0,25.0,3.0,27.0,22.0
131,37.0,31.0,33.0,64.0,21.0,57.0,20.0,3.0,22.0,29.0
132,46.0,31.0,33.0,64.0,21.0,57.0,20.0,3.0,22.0,29.0
133,46.0,28.0,26.0,64.0,21.0,74.0,22.0,3.0,25.0,16.0
134,48.0,28.0,26.0,64.0,21.0,74.0,22.0,3.0,25.0,16.0
135,48.0,20.0,34.0,44.0,17.0,66.0,27.0,4.0,25.0,13.0
136,40.0,20.0,34.0,44.0,17.0,66.0,27.0,4.0,25.0,13.0
137,40.0,18.0,33.0,25.0,19.0,57.0,29.0,3.0,30.0,8.0
138,40.0,18.0,33.0,25.0,19.0,57.0,29.0,3.0,30.0,8.0
139,40.0,11.0,15.0,35.0,20.0,57.0,25.0,3.0,42.0,6.0
140,38.0,11.0,15.0,35.0,20.0,57.0,25.0,3.0,42.0,6.0
141,38.0,18.0,21.0,35.0,20.0,20.0,0.0,2.0,49.0,7.0
142,146.0,18.0,21.0,35.0,20.0,20.0,0.0,2.0,49.0,7.0
143,146.0,32.0,27.0,36.0,41.0,28.0,0.0,2.0,48.0,8.0
144,104.0,32.0,27.0,36.0,41.0,28.0,0.0,2.0,48.0,8.0
145,104.0,50.0,21.0,23.0,70.0,36.0,0.0,2.0,31.0,7.0
146,118.0,50.0,21.0,23.0,70.0,36.0,0.0,2.0,31.0,7.0
147,118.0,42.0,14.0,24.0,72.0,27.0,0.0,0.0,29.0,2.0
148,99.0,42.0,14.0,24.0,72.0,27.0,0.0,0.0,29.0,2.0
