,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan
306,49.0,50.0,83.0,23.0,5.0,48.0,56.0,3.0,36.0,15.0
307,49.0,72.0,30.0,31.0,4.0,49.0,61.0,7.0,36.0,21.0
308,69.0,72.0,30.0,31.0,4.0,49.0,61.0,7.0,36.0,21.0
309,69.0,89.0,42.0,31.0,9.0,43.0,66.0,7.0,41.0,32.0
310,73.0,89.0,42.0,31.0,9.0,43.0,66.0,7.0,41.0,32.0
311,73.0,83.0,60.0,32.0,14.0,40.0,97.0,7.0,55.0,39.0
312,83.0,83.0,60.0,32.0,14.0,40.0,97.0,7.0,55.0,39.0
313,83.0,65.0,52.0,33.0,18.0,47.0,144.0,5.0,88.0,23.0
314,101.0,65.0,52.0,33.0,18.0,47.0,144.0,5.0,88.0,23.0
315,101.0,61.0,40.0,43.0,25.0,48.0,151.0,6.0,80.0,17.0
316,104.0,61.0,40.0,43.0,25.0,48.0,151.0,6.0,80.0,17.0
317,104.0,52.0,43.0,43.0,12.0,37.0,155.0,5.0,72.0,18.0
318,90.0,52.0,43.0,43.0,12.0,37.0,155.0,5.0,72.0,18.0
319,90.0,62.0,52.0,37.0,11.0,34.0,157.0,3.0,90.0,16.0
320,106.0,62.0,52.0,37.0,11.0,34.0,157.0,3.0,90.0,16.0
321,106.0,69.0,60.0,35.0,10.0,31.0,54.0,6.0,86.0,8.0
322,122.0,69.0,60.0,35.0,10.0,31.0,54.0,6.0,86.0,8.0
323,122.0,64.0,50.0,41.0,5.0,22.0,41.0,7.0,61.0,5.0
324,136.0,64.0,50.0,41.0,5.0,22.0,41.0,7.0,61.0,5.0
325,136.0,55.0,58.0,42.0,5.0,24.0,41.0,1.0,48.0,7.0
326,136.0,55.0,58.0,42.0,5.0,24.0,41.0,1.0,48.0,7.0
327,136.0,64.0,114.0,45.0,2.0,40.0,0.0,1.0,42.0,9.0
328,117.0,64.0,114.0,45.0,2.0,40.0,0.0,1.0,42.0,9.0
329,117.0,76.0,83.0,35.0,3.0,47.0,0.0,0.0,31.0,10.0
330,142.0,76.0,83.0,35.0,3.0,47.0,0.0,0.0,31.0,10.0
331,142.0,44.0,83.0,33.0,6.0,44.0,14.0,0.0,47.0,9.0
332,192.0,44.0,83.0,33.0,6.0,44.0,14.0,0.0,47.0,9.0
333,192.0,32.0,56.0,33.0,16.0,42.0,36.0,1.0,38.0,10.0
334,109.0,32.0,56.0,33.0,16.0,42.0,36.0,1.0,38.0,10.0
335,109.0,37.0,30.0,34.0,33.0,45.0,36.0,2.0,36.0,11.0
336,102.0,37.0,30.0,34.0,33.0,45.0,36.0,2.0,36.0,11.0
337,102.0,46.0,8.0,38.0,55.0,44.0,0.0,3.0,0.0,11.0
338,114.0,46.0,8.0,38.0,55.0,44.0,0.0,3.0,0.0,11.0
339,114.0,50.0,10.0,31.0,59.0,50.0,0.0,3.0,5.0,2.0
340,112.0,50.0,10.0,31.0,59.0,50.0,0.0,3.0,5.0,2.0
341,112.0,50.0,10.0,31.0,59.0,50.0,0.0,3.0,5.0,2.0
342,112.0,50.0,10.0,31.0,59.0,50.0,0.0,3.0,5.0,2.0
343,112.0,27.0,5.0,39.0,49.0,38.0,6.0,2.0,21.0,14.0
344,115.0,27.0,5.0,39.0,49.0,38.0,6.0,2.0,21.0,14.0
345,115.0,27.0,5.0,39.0,49.0,38.0,6.0,2.0,21.0,14.0
346,115.0,27.0,5.0,39.0,49.0,38.0,6.0,2.0,21.0,14.0
347,115.0,17.0,13.0,40.0,52.0,36.0,21.0,3.0,17.0,8.0
348,87.0,17.0,13.0,40.0,52.0,36.0,21.0,3.0,17.0,8.0
349,87.0,20.0,17.0,12.0,56.0,49.0,21.0,2.0,6.0,5.0
350,88.0,20.0,17.0,12.0,56.0,49.0,21.0,2.0,6.0,5.0
351,88.0,29.0,0.0,7.0,81.0,79.0,0.0,2.0,11.0,6.0
352,60.0,29.0,0.0,7.0,81.0,79.0,0.0,2.0,11.0,6.0
353,60.0,24.0,0.0,10.0,92.0,97.0,0.0,6.0,0.0,9.0
354,60.0,24.0,0.0,10.0,92.0,97.0,0.0,6.0,0.0,9.0
355,60.0,12.0,0.0,10.0,89.0,95.0,22.0,16.0,4.0,7.0
356,111.0,12.0,0.0,10.0,89.0,95.0,22.0,16.0,4.0,7.0
357,111.0,11.0,0.0,11.0,115.0,82.0,35.0,16.0,18.0,7.0
358,175.0,11.0,0.0,11.0,115.0,82.0,35.0,16.0,18.0,7.0
359,175.0,10.0,0.0,36.0,154.0,52.0,35.0,4.0,18.0,0.0
360,107.0,10.0,0.0,36.0,154.0,52.0,35.0,4.0,18.0,0.0
361,107.0,11.0,0.0,36.0,126.0,37.0,8.0,5.0,15.0,5.0
362,78.0,11.0,0.0,36.0,126.0,37.0,8.0,5.0,15.0,5.0
363,78.0,22.0,0.0,22.0,127.0,59.0,33.0,9.0,15.0,5.0
364,16.0,22.0,0.0,22.0,127.0,59.0,33.0,9.0,15.0,5.0
365,16.0,18.0,0.0,44.0,147.0,71.0,33.0,0.0,7.0,4.0
366,33.0,18.0,0.0,44.0,147.0,71.0,33.0,0.0,7.0,4.0
367,33.0,11.0,0.0,44.0,144.0,76.0,0.0,0.0,7.0,2.0
368,53.0,11.0,0.0,44.0,144.0,76.0,0.0,0.0,7.0,2.0
369,53.0,13.0,12.0,43.0,98.0,88.0,18.0,0.0,12.0,1.0
370,47.0,13.0,12.0,43.0,98.0,88.0,18.0,0.0,12.0,1.0
371,47.0,13.0,18.0,42.0,56.0,88.0,18.0,6.0,8.0,2.0
372,41.0,13.0,18.0,42.0,56.0,88.0,18.0,6.0,8.0,2.0
373,41.0,13.0,18.0,51.0,32.0,39.0,5.0,4.0,9.0,4.0
374,34.0,13.0,18.0,51.0,32.0,39.0,5.0,4.0,9.0,4.0
375,34.0,17.0,0.0,55.0,36.0,43.0,13.0,3.0,15.0,3.0
376,26.0,17.0,0.0,55.0,36.0,43.0,13.0,3.0,15.0,3.0
377,26.0,18.0,9.0,43.0,27.0,45.0,13.0,2.0,19.0,3.0
378,29.0,18.0,9.0,43.0,27.0,45.0,13.0,2.0,19.0,3.0
379,29.0,18.0,22.0,47.0,26.0,42.0,10.0,1.0,22.0,2.0
380,35.0,18.0,22.0,47.0,26.0,42.0,10.0,1.0,22.0,2.0
381,35.0,21.0,17.0,38.0,35.0,48.0,16.0,3.0,23.0,2.0
382,34.0,21.0,17.0,38.0,35.0,48.0,16.0,3.0,23.0,2.0
383,34.0,26.0,15.0,20.0,46.0,40.0,18.0,3.0,26.0,4.0
384,40.0,26.0,15.0,20.0,46.0,40.0,18.0,3.0,26.0,4.0
385,40.0,30.0,17.0,24.0,47.0,37.0,28.0,3.0,28.0,3.0
386,48.0,30.0,17.0,24.0,47.0,37.0,28.0,3.0,28.0,3.0
387,48.0,35.0,19.0,22.0,44.0,25.0,32.0,4.0,33.0,2.0
388,48.0,35.0,19.0,22.0,44.0,25.0,32.0,4.0,33.0,2.0
389,48.0,37.0,15.0,12.0,57.0,24.0,44.0,3.0,28.0,6.0
390,52.0,37.0,15.0,12.0,57.0,24.0,44.0,3.0,28.0,6.0
391,52.0,33.0,22.0,13.0,56.0,22.0,65.0,1.0,33.0,10.0
392,54.0,33.0,22.0,13.0,56.0,22.0,65.0,1.0,33.0,10.0
393,54.0,25.0,24.0,16.0,38.0,29.0,70.0,3.0,23.0,9.0
394,58.0,25.0,24.0,16.0,38.0,29.0,70.0,3.0,23.0,9.0
395,58.0,21.0,31.0,21.0,21.0,42.0,58.0,3.0,13.0,7.0
396,76.0,21.0,31.0,21.0,21.0,42.0,58.0,3.0,13.0,7.0
397,76.0,19.0,59.0,16.0,14.0,50.0,48.0,2.0,20.0,8.0
398,85.0,19.0,59.0,16.0,14.0,50.0,48.0,2.0,20.0,8.0
399,85.0,23.0,71.0,19.0,12.0,57.0,41.0,4.0,28.0,11.0
400,83.0,23.0,71.0,19.0,12.0,57.0,41.0,4.0,28.0,11.0
401,83.0,26.0,83.0,22.0,12.0,67.0,20.0,5.0,19.0,10.0
402,78.0,26.0,83.0,22.0,12.0,67.0,20.0,5.0,19.0,10.0
403,78.0,36.0,58.0,27.0,14.0,71.0,27.0,4.0,16.0,16.0
404,80.0,36.0,58.0,27.0,14.0,71.0,27.0,4.0,16.0,16.0
405,80.0,32.0,46.0,34.0,4.0,67.0,0.0,5.0,26.0,17.0
406,78.0,32.0,46.0,34.0,4.0,67.0,0.0,5.0,26.0,17.0
407,78.0,27.0,43.0,35.0,4.0,54.0,15.0,6.0,26.0,23.0
408,67.0,27.0,43.0,35.0,4.0,54.0,15.0,6.0,26.0,23.0
409,67.0,23.0,58.0,37.0,7.0,52.0,31.0,5.0,31.0,24.0
410,72.0,23.0,58.0,37.0,7.0,52.0,31.0,5.0,31.0,24.0
411,72.0,23.0,74.0,37.0,10.0,55.0,36.0,7.0,21.0,30.0
412,64.0,23.0,74.0,37.0,10.0,55.0,36.0,7.0,21.0,30.0
413,64.0,17.0,105.0,46.0,14.0,69.0,54.0,8.0,21.0,32.0
414,59.0,17.0,105.0,46.0,14.0,69.0,54.0,8.0,21.0,32.0
415,59.0,22.0,47.0,65.0,24.0,73.0,83.0,7.0,33.0,31.0
416,82.0,22.0,47.0,65.0,24.0,73.0,83.0,7.0,33.0,31.0
417,82.0,30.0,34.0,79.0,24.0,62.0,69.0,7.0,34.0,23.0
418,83.0,30.0,34.0,79.0,24.0,62.0,69.0,7.0,34.0,23.0
419,83.0,33.0,50.0,71.0,15.0,63.0,48.0,6.0,44.0,16.0
420,108.0,33.0,50.0,71.0,15.0,63.0,48.0,6.0,44.0,16.0
421,108.0,43.0,46.0,63.0,15.0,48.0,57.0,1.0,39.0,26.0
422,109.0,43.0,46.0,63.0,15.0,48.0,57.0,1.0,39.0,26.0
423,109.0,67.0,27.0,71.0,13.0,40.0,65.0,1.0,35.0,28.0
424,114.0,67.0,27.0,71.0,13.0,40.0,65.0,1.0,35.0,28.0
425,114.0,70.0,12.0,88.0,10.0,50.0,65.0,1.0,27.0,22.0
426,158.0,70.0,12.0,88.0,10.0,50.0,65.0,1.0,27.0,22.0
427,158.0,58.0,4.0,50.0,8.0,62.0,10.0,2.0,29.0,11.0
428,145.0,58.0,4.0,50.0,8.0,62.0,10.0,2.0,29.0,11.0
429,145.0,33.0,14.0,48.0,16.0,73.0,11.0,2.0,36.0,9.0
430,151.0,33.0,14.0,48.0,16.0,73.0,11.0,2.0,36.0,9.0
431,151.0,29.0,0.0,55.0,62.0,66.0,12.0,2.0,52.0,11.0
432,156.0,29.0,0.0,55.0,62.0,66.0,12.0,2.0,52.0,11.0
433,156.0,32.0,3.0,53.0,55.0,55.0,12.0,1.0,57.0,10.0
434,174.0,32.0,3.0,53.0,55.0,55.0,12.0,1.0,57.0,10.0
435,174.0,28.0,3.0,32.0,47.0,45.0,19.0,3.0,54.0,11.0
436,186.0,28.0,3.0,32.0,47.0,45.0,19.0,3.0,54.0,11.0
437,186.0,33.0,0.0,31.0,40.0,35.0,18.0,3.0,68.0,12.0
438,218.0,33.0,0.0,31.0,40.0,35.0,18.0,3.0,68.0,12.0
439,218.0,15.0,0.0,24.0,36.0,35.0,16.0,2.0,81.0,8.0
440,322.0,15.0,0.0,24.0,36.0,35.0,16.0,2.0,81.0,8.0
441,322.0,19.0,1.0,4.0,17.0,38.0,0.0,1.0,43.0,7.0
442,318.0,19.0,1.0,4.0,17.0,38.0,0.0,1.0,43.0,7.0
443,318.0,15.0,4.0,2.0,16.0,27.0,0.0,3.0,64.0,11.0
444,190.0,15.0,4.0,2.0,16.0,27.0,0.0,3.0,64.0,11.0
445,190.0,15.0,7.0,4.0,16.0,30.0,0.0,3.0,64.0,6.0
446,167.0,15.0,7.0,4.0,16.0,30.0,0.0,3.0,64.0,6.0
447,167.0,33.0,0.0,6.0,14.0,43.0,0.0,0.0,25.0,5.0
448,144.0,33.0,0.0,6.0,14.0,43.0,0.0,0.0,25.0,5.0
449,144.0,31.0,0.0,6.0,15.0,49.0,0.0,0.0,22.0,8.0
450,136.0,31.0,0.0,6.0,15.0,49.0,0.0,0.0,22.0,8.0
451,136.0,21.0,0.0,10.0,19.0,74.0,0.0,2.0,23.0,0.0
452,87.0,21.0,0.0,10.0,19.0,74.0,0.0,2.0,23.0,0.0
453,87.0,10.0,6.0,14.0,22.0,67.0,0.0,4.0,31.0,0.0
454,85.0,10.0,6.0,14.0,22.0,67.0,0.0,4.0,31.0,0.0
455,85.0,9.0,6.0,43.0,31.0,68.0,0.0,13.0,60.0,12.0
456,48.0,9.0,6.0,43.0,31.0,68.0,0.0,13.0,60.0,12.0
457,48.0,5.0,0.0,73.0,41.0,105.0,0.0,13.0,1.0,27.0
458,41.0,5.0,0.0,73.0,41.0,105.0,0.0,13.0,1.0,27.0
459,41.0,7.0,0.0,69.0,0.0,121.0,0.0,0.0,15.0,27.0
460,49.0,7.0,0.0,69.0,0.0,121.0,0.0,0.0,15.0,27.0
461,49.0,12.0,0.0,104.0,3.0,132.0,0.0,0.0,47.0,2.0
462,59.0,12.0,0.0,104.0,3.0,132.0,0.0,0.0,47.0,2.0
463,59.0,15.0,29.0,76.0,9.0,156.0,0.0,6.0,28.0,1.0
464,44.0,15.0,29.0,76.0,9.0,156.0,0.0,6.0,28.0,1.0
465,44.0,24.0,30.0,58.0,12.0,133.0,0.0,4.0,25.0,1.0
466,42.0,24.0,30.0,58.0,12.0,133.0,0.0,4.0,25.0,1.0
467,42.0,30.0,19.0,72.0,12.0,144.0,12.0,3.0,25.0,2.0
468,44.0,30.0,19.0,72.0,12.0,144.0,12.0,3.0,25.0,2.0
469,44.0,38.0,5.0,60.0,14.0,158.0,9.0,5.0,10.0,3.0
470,35.0,38.0,5.0,60.0,14.0,158.0,9.0,5.0,10.0,3.0
471,35.0,39.0,5.0,35.0,14.0,149.0,13.0,14.0,11.0,1.0
472,38.0,39.0,5.0,35.0,14.0,149.0,13.0,14.0,11.0,1.0
473,38.0,43.0,11.0,43.0,9.0,122.0,17.0,17.0,13.0,0.0
474,40.0,43.0,11.0,43.0,9.0,122.0,17.0,17.0,13.0,0.0
475,40.0,42.0,16.0,55.0,8.0,110.0,18.0,15.0,19.0,1.0
476,47.0,42.0,16.0,55.0,8.0,110.0,18.0,15.0,19.0,1.0
477,47.0,39.0,26.0,58.0,10.0,126.0,23.0,15.0,24.0,2.0
478,56.0,39.0,26.0,58.0,10.0,126.0,23.0,15.0,24.0,2.0
479,56.0,24.0,38.0,45.0,20.0,116.0,33.0,21.0,24.0,2.0
480,72.0,24.0,38.0,45.0,20.0,116.0,33.0,21.0,24.0,2.0
481,72.0,18.0,37.0,19.0,22.0,106.0,55.0,12.0,28.0,4.0
482,87.0,18.0,37.0,19.0,22.0,106.0,55.0,12.0,28.0,4.0
483,87.0,20.0,48.0,23.0,22.0,114.0,88.0,5.0,39.0,7.0
484,82.0,20.0,48.0,23.0,22.0,114.0,88.0,5.0,39.0,7.0
485,82.0,26.0,60.0,23.0,24.0,101.0,91.0,3.0,38.0,12.0
486,75.0,26.0,60.0,23.0,24.0,101.0,91.0,3.0,38.0,12.0
487,75.0,30.0,47.0,22.0,31.0,109.0,102.0,4.0,30.0,16.0
488,76.0,30.0,47.0,22.0,31.0,109.0,102.0,4.0,30.0,16.0
489,76.0,36.0,54.0,25.0,31.0,124.0,5.0,7.0,24.0,12.0
490,109.0,36.0,54.0,25.0,31.0,124.0,5.0,7.0,24.0,12.0
491,109.0,34.0,54.0,24.0,27.0,142.0,8.0,7.0,29.0,17.0
492,130.0,34.0,54.0,24.0,27.0,142.0,8.0,7.0,29.0,17.0
493,130.0,38.0,81.0,14.0,24.0,157.0,13.0,8.0,28.0,22.0
494,105.0,38.0,81.0,14.0,24.0,157.0,13.0,8.0,28.0,22.0
495,105.0,44.0,137.0,13.0,19.0,148.0,9.0,3.0,27.0,15.0
496,119.0,44.0,137.0,13.0,19.0,148.0,9.0,3.0,27.0,15.0
497,119.0,48.0,126.0,13.0,25.0,150.0,20.0,4.0,31.0,12.0
498,164.0,48.0,126.0,13.0,25.0,150.0,20.0,4.0,31.0,12.0
499,164.0,57.0,88.0,18.0,28.0,141.0,22.0,3.0,41.0,17.0
500,144.0,57.0,88.0,18.0,28.0,141.0,22.0,3.0,41.0,17.0
501,144.0,56.0,92.0,20.0,12.0,122.0,26.0,2.0,53.0,14.0
502,143.0,56.0,92.0,20.0,12.0,122.0,26.0,2.0,53.0,14.0
503,143.0,51.0,105.0,15.0,12.0,108.0,29.0,2.0,47.0,11.0
504,169.0,51.0,105.0,15.0,12.0,108.0,29.0,2.0,47.0,11.0
505,169.0,53.0,91.0,13.0,21.0,100.0,55.0,2.0,53.0,17.0
506,176.0,53.0,91.0,13.0,21.0,100.0,55.0,2.0,53.0,17.0
507,176.0,53.0,86.0,16.0,16.0,109.0,53.0,3.0,72.0,23.0
508,218.0,53.0,86.0,16.0,16.0,109.0,53.0,3.0,72.0,23.0
509,218.0,61.0,120.0,27.0,9.0,91.0,80.0,1.0,92.0,22.0
510,259.0,61.0,120.0,27.0,9.0,91.0,80.0,1.0,92.0,22.0
511,259.0,74.0,163.0,27.0,9.0,90.0,39.0,2.0,71.0,20.0
512,203.0,74.0,163.0,27.0,9.0,90.0,39.0,2.0,71.0,20.0
513,203.0,87.0,118.0,18.0,8.0,90.0,29.0,3.0,45.0,21.0
514,179.0,87.0,118.0,18.0,8.0,90.0,29.0,3.0,45.0,21.0
515,179.0,106.0,96.0,14.0,11.0,87.0,59.0,4.0,44.0,23.0
516,144.0,106.0,96.0,14.0,11.0,87.0,59.0,4.0,44.0,23.0
517,144.0,107.0,128.0,10.0,20.0,92.0,77.0,4.0,39.0,24.0
518,117.0,107.0,128.0,10.0,20.0,92.0,77.0,4.0,39.0,24.0
519,117.0,142.0,167.0,19.0,19.0,111.0,88.0,3.0,36.0,29.0
520,150.0,142.0,167.0,19.0,19.0,111.0,88.0,3.0,36.0,29.0
521,150.0,122.0,121.0,39.0,16.0,133.0,132.0,2.0,36.0,24.0
522,166.0,122.0,121.0,39.0,16.0,133.0,132.0,2.0,36.0,24.0
523,166.0,110.0,122.0,52.0,17.0,134.0,142.0,0.0,66.0,21.0
524,145.0,110.0,122.0,52.0,17.0,134.0,142.0,0.0,66.0,21.0
525,145.0,116.0,174.0,64.0,13.0,175.0,178.0,2.0,64.0,21.0
526,142.0,116.0,174.0,64.0,13.0,175.0,178.0,2.0,64.0,21.0
527,142.0,121.0,184.0,85.0,16.0,190.0,204.0,2.0,38.0,8.0
528,106.0,121.0,184.0,85.0,16.0,190.0,204.0,2.0,38.0,8.0
529,106.0,118.0,293.0,118.0,20.0,175.0,235.0,5.0,19.0,7.0
530,222.0,118.0,293.0,118.0,20.0,175.0,235.0,5.0,19.0,7.0
531,222.0,151.0,233.0,125.0,26.0,219.0,265.0,4.0,16.0,7.0
532,179.0,151.0,233.0,125.0,26.0,219.0,265.0,4.0,16.0,7.0
533,179.0,118.0,233.0,140.0,31.0,227.0,289.0,3.0,18.0,6.0
534,175.0,118.0,233.0,140.0,31.0,227.0,289.0,3.0,18.0,6.0
535,175.0,148.0,52.0,144.0,36.0,196.0,340.0,2.0,26.0,8.0
536,192.0,148.0,52.0,144.0,36.0,196.0,340.0,2.0,26.0,8.0
537,192.0,278.0,55.0,161.0,51.0,213.0,372.0,1.0,30.0,8.0
538,207.0,278.0,55.0,161.0,51.0,213.0,372.0,1.0,30.0,8.0
539,207.0,201.0,65.0,171.0,60.0,177.0,290.0,2.0,1.0,10.0
540,237.0,201.0,65.0,171.0,60.0,177.0,290.0,2.0,1.0,10.0
541,237.0,97.0,0.0,214.0,91.0,154.0,264.0,2.0,11.0,9.0
542,419.0,97.0,0.0,214.0,91.0,154.0,264.0,2.0,11.0,9.0
543,419.0,11.0,0.0,196.0,82.0,149.0,264.0,2.0,25.0,9.0
544,200.0,11.0,0.0,196.0,82.0,149.0,264.0,2.0,25.0,9.0
545,200.0,12.0,17.0,142.0,65.0,156.0,0.0,1.0,22.0,0.0
546,312.0,12.0,17.0,142.0,65.0,156.0,0.0,1.0,22.0,0.0
547,312.0,6.0,24.0,124.0,87.0,200.0,0.0,0.0,14.0,0.0
548,271.0,6.0,24.0,124.0,87.0,200.0,0.0,0.0,14.0,0.0
549,271.0,32.0,24.0,163.0,0.0,157.0,0.0,0.0,0.0,2.0
550,196.0,32.0,24.0,163.0,0.0,157.0,0.0,0.0,0.0,2.0
551,196.0,26.0,16.0,179.0,0.0,156.0,0.0,4.0,0.0,5.0
552,244.0,26.0,16.0,179.0,0.0,156.0,0.0,4.0,0.0,5.0
553,244.0,34.0,21.0,154.0,12.0,95.0,23.0,4.0,16.0,8.0
554,199.0,34.0,21.0,154.0,12.0,95.0,23.0,4.0,16.0,8.0
555,199.0,23.0,26.0,145.0,16.0,214.0,52.0,0.0,16.0,11.0
556,206.0,23.0,26.0,145.0,16.0,214.0,52.0,0.0,16.0,11.0
557,206.0,32.0,29.0,163.0,16.0,116.0,71.0,0.0,1.0,10.0
558,313.0,32.0,29.0,163.0,16.0,116.0,71.0,0.0,1.0,10.0
559,313.0,40.0,59.0,116.0,5.0,89.0,71.0,4.0,3.0,10.0
560,293.0,40.0,59.0,116.0,5.0,89.0,71.0,4.0,3.0,10.0
561,293.0,35.0,73.0,69.0,5.0,94.0,0.0,4.0,1.0,4.0
562,280.0,35.0,73.0,69.0,5.0,94.0,0.0,4.0,1.0,4.0
563,280.0,39.0,73.0,90.0,8.0,47.0,0.0,2.0,1.0,5.0
564,180.0,39.0,73.0,90.0,8.0,47.0,0.0,2.0,1.0,5.0
565,180.0,52.0,88.0,114.0,12.0,16.0,8.0,4.0,3.0,3.0
566,118.0,52.0,88.0,114.0,12.0,16.0,8.0,4.0,3.0,3.0
567,118.0,47.0,89.0,80.0,13.0,25.0,8.0,6.0,7.0,3.0
568,107.0,47.0,89.0,80.0,13.0,25.0,8.0,6.0,7.0,3.0
569,107.0,31.0,89.0,73.0,6.0,36.0,12.0,3.0,10.0,3.0
570,87.0,31.0,89.0,73.0,6.0,36.0,12.0,3.0,10.0,3.0
571,87.0,24.0,32.0,78.0,7.0,40.0,12.0,3.0,10.0,2.0
572,68.0,24.0,32.0,78.0,7.0,40.0,12.0,3.0,10.0,2.0
573,68.0,37.0,50.0,72.0,7.0,39.0,7.0,3.0,9.0,1.0
574,67.0,37.0,50.0,72.0,7.0,39.0,7.0,3.0,9.0,1.0
575,67.0,31.0,57.0,71.0,9.0,44.0,11.0,4.0,11.0,2.0
576,86.0,31.0,57.0,71.0,9.0,44.0,11.0,4.0,11.0,2.0
577,86.0,30.0,51.0,70.0,17.0,63.0,16.0,3.0,16.0,2.0
578,85.0,30.0,51.0,70.0,17.0,63.0,16.0,3.0,16.0,2.0
579,85.0,41.0,56.0,55.0,37.0,71.0,11.0,1.0,20.0,2.0
580,88.0,41.0,56.0,55.0,37.0,71.0,11.0,1.0,20.0,2.0
581,88.0,43.0,48.0,56.0,41.0,80.0,16.0,2.0,14.0,2.0
582,59.0,43.0,48.0,56.0,41.0,80.0,16.0,2.0,14.0,2.0
583,59.0,51.0,52.0,74.0,45.0,90.0,25.0,4.0,13.0,2.0
584,56.0,51.0,52.0,74.0,45.0,90.0,25.0,4.0,13.0,2.0
585,56.0,55.0,71.0,68.0,39.0,99.0,0.0,5.0,22.0,9.0
586,71.0,55.0,71.0,68.0,39.0,99.0,0.0,5.0,22.0,9.0
587,71.0,63.0,105.0,56.0,25.0,108.0,0.0,4.0,31.0,11.0
588,80.0,63.0,105.0,56.0,25.0,108.0,0.0,4.0,31.0,11.0
589,80.0,77.0,74.0,46.0,22.0,112.0,9.0,5.0,26.0,9.0
590,74.0,77.0,74.0,46.0,22.0,112.0,9.0,5.0,26.0,9.0
591,74.0,102.0,64.0,48.0,29.0,102.0,15.0,1.0,22.0,5.0
592,87.0,102.0,64.0,48.0,29.0,102.0,15.0,1.0,22.0,5.0
593,87.0,93.0,74.0,57.0,33.0,101.0,15.0,1.0,27.0,6.0
594,94.0,93.0,74.0,57.0,33.0,101.0,15.0,1.0,27.0,6.0
595,94.0,89.0,25.0,46.0,36.0,82.0,0.0,1.0,28.0,7.0
596,90.0,89.0,25.0,46.0,36.0,82.0,0.0,1.0,28.0,7.0
597,90.0,111.0,24.0,54.0,25.0,86.0,0.0,1.0,23.0,8.0
598,89.0,111.0,24.0,54.0,25.0,86.0,0.0,1.0,23.0,8.0
599,89.0,103.0,23.0,59.0,30.0,99.0,2.0,1.0,30.0,13.0
600,114.0,103.0,23.0,59.0,30.0,99.0,2.0,1.0,30.0,13.0
601,114.0,115.0,36.0,50.0,35.0,94.0,8.0,2.0,35.0,14.0
602,152.0,115.0,36.0,50.0,35.0,94.0,8.0,2.0,35.0,14.0
603,152.0,125.0,0.0,59.0,30.0,89.0,25.0,4.0,43.0,15.0
604,87.0,125.0,0.0,59.0,30.0,89.0,25.0,4.0,43.0,15.0
605,87.0,122.0,9.0,68.0,28.0,109.0,32.0,2.0,52.0,14.0
606,77.0,122.0,9.0,68.0,28.0,109.0,32.0,2.0,52.0,14.0
607,77.0,128.0,24.0,70.0,26.0,101.0,30.0,2.0,61.0,15.0
608,97.0,128.0,24.0,70.0,26.0,101.0,30.0,2.0,61.0,15.0
609,97.0,141.0,48.0,76.0,33.0,92.0,50.0,3.0,64.0,24.0
610,152.0,141.0,48.0,76.0,33.0,92.0,50.0,3.0,64.0,24.0
611,152.0,124.0,23.0,90.0,37.0,99.0,61.0,5.0,44.0,26.0
612,156.0,124.0,23.0,90.0,37.0,99.0,61.0,5.0,44.0,26.0
613,156.0,119.0,15.0,88.0,44.0,106.0,58.0,3.0,35.0,15.0
614,135.0,119.0,15.0,88.0,44.0,106.0,58.0,3.0,35.0,15.0
615,135.0,105.0,7.0,102.0,49.0,113.0,28.0,3.0,31.0,15.0
616,153.0,105.0,7.0,102.0,49.0,113.0,28.0,3.0,31.0,15.0
617,153.0,101.0,13.0,117.0,54.0,112.0,24.0,3.0,24.0,15.0
618,153.0,101.0,13.0,117.0,54.0,112.0,24.0,3.0,24.0,15.0
619,153.0,77.0,19.0,117.0,69.0,137.0,43.0,3.0,21.0,8.0
620,179.0,77.0,19.0,117.0,69.0,137.0,43.0,3.0,21.0,8.0
621,179.0,64.0,0.0,154.0,74.0,157.0,45.0,2.0,23.0,5.0
622,142.0,64.0,0.0,154.0,74.0,157.0,45.0,2.0,23.0,5.0
623,142.0,74.0,22.0,119.0,69.0,166.0,37.0,3.0,36.0,5.0
624,267.0,74.0,22.0,119.0,69.0,166.0,37.0,3.0,36.0,5.0
625,267.0,65.0,22.0,73.0,75.0,171.0,37.0,3.0,50.0,7.0
626,182.0,65.0,22.0,73.0,75.0,171.0,37.0,3.0,50.0,7.0
627,182.0,63.0,16.0,64.0,106.0,191.0,0.0,2.0,49.0,7.0
628,196.0,63.0,16.0,64.0,106.0,191.0,0.0,2.0,49.0,7.0
629,196.0,81.0,13.0,82.0,169.0,231.0,4.0,3.0,53.0,5.0
630,185.0,81.0,13.0,82.0,169.0,231.0,4.0,3.0,53.0,5.0
631,185.0,81.0,13.0,82.0,169.0,231.0,4.0,3.0,53.0,5.0
632,185.0,124.0,12.0,100.0,122.0,233.0,12.0,5.0,65.0,3.0
