,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
981,39.0,50.0,17.0
982,39.0,52.0,20.0
983,39.0,52.0,20.0
984,39.0,52.0,20.0
985,39.0,52.0,20.0
986,39.0,52.0,20.0
987,39.0,52.0,20.0
988,42.0,31.0,26.0
989,42.0,31.0,26.0
990,42.0,31.0,26.0
991,42.0,31.0,26.0
992,42.0,31.0,26.0
993,42.0,31.0,26.0
994,61.0,34.0,16.0
995,61.0,34.0,16.0
996,61.0,34.0,16.0
997,61.0,34.0,16.0
998,61.0,34.0,16.0
999,61.0,34.0,16.0
