,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
223,36.0,13.0,0.0
224,36.0,13.0,0.0
225,36.0,13.0,0.0
226,30.0,13.0,0.0
227,30.0,13.0,0.0
228,30.0,19.0,0.0
229,30.0,19.0,0.0
230,30.0,19.0,0.0
231,30.0,19.0,0.0
232,34.0,19.0,0.0
233,34.0,19.0,0.0
234,34.0,19.0,0.0
235,34.0,19.0,0.0
236,34.0,19.0,12.0
237,34.0,19.0,12.0
238,50.0,19.0,12.0
239,50.0,19.0,12.0
240,50.0,0.0,12.0
241,50.0,0.0,12.0
242,50.0,0.0,12.0
243,50.0,0.0,12.0
244,78.0,0.0,12.0
245,78.0,0.0,12.0
246,78.0,0.0,12.0
247,78.0,0.0,12.0
248,78.0,0.0,0.0
249,78.0,0.0,0.0
250,101.0,0.0,0.0
251,101.0,0.0,0.0
252,101.0,0.0,0.0
253,101.0,0.0,3.0
254,101.0,0.0,3.0
255,101.0,0.0,3.0
256,123.0,0.0,3.0
257,123.0,0.0,3.0
258,123.0,0.0,3.0
259,123.0,0.0,17.0
260,123.0,0.0,17.0
261,123.0,0.0,17.0
262,167.0,27.0,17.0
263,167.0,27.0,17.0
264,167.0,27.0,17.0
265,167.0,27.0,17.0
266,167.0,27.0,17.0
267,167.0,27.0,17.0
268,193.0,27.0,17.0
269,193.0,27.0,17.0
270,193.0,27.0,17.0
271,193.0,27.0,0.0
272,193.0,27.0,0.0
273,193.0,5.0,0.0
274,108.0,5.0,0.0
275,108.0,5.0,0.0
276,108.0,5.0,0.0
277,108.0,5.0,4.0
278,108.0,5.0,4.0
279,93.0,5.0,4.0
280,93.0,5.0,4.0
281,93.0,5.0,4.0
282,93.0,5.0,4.0
283,93.0,5.0,7.0
284,93.0,5.0,7.0
285,100.0,5.0,7.0
286,100.0,5.0,7.0
287,100.0,5.0,7.0
288,100.0,5.0,7.0
289,100.0,5.0,7.0
290,100.0,5.0,7.0
291,127.0,8.0,7.0
292,127.0,8.0,7.0
293,127.0,8.0,8.0
294,127.0,8.0,8.0
295,127.0,8.0,8.0
296,127.0,19.0,8.0
297,125.0,19.0,8.0
298,125.0,19.0,8.0
299,125.0,19.0,11.0
300,125.0,19.0,11.0
301,125.0,19.0,11.0
302,125.0,28.0,11.0
303,113.0,28.0,11.0
304,113.0,28.0,11.0
305,113.0,28.0,14.0
306,113.0,28.0,14.0
307,113.0,28.0,14.0
308,113.0,13.0,14.0
309,98.0,13.0,14.0
310,98.0,13.0,14.0
311,98.0,13.0,18.0
312,98.0,13.0,18.0
313,98.0,13.0,18.0
314,98.0,7.0,18.0
315,104.0,7.0,18.0
316,104.0,7.0,18.0
317,104.0,7.0,17.0
318,104.0,7.0,17.0
319,104.0,7.0,17.0
320,104.0,9.0,17.0
321,108.0,9.0,17.0
322,108.0,9.0,17.0
323,108.0,9.0,15.0
324,108.0,9.0,15.0
325,108.0,9.0,15.0
326,108.0,9.0,15.0
327,99.0,9.0,15.0
328,99.0,9.0,15.0
329,99.0,9.0,13.0
330,99.0,9.0,13.0
331,99.0,9.0,13.0
332,99.0,12.0,13.0
333,116.0,12.0,13.0
334,116.0,12.0,13.0
335,116.0,12.0,10.0
336,116.0,12.0,10.0
337,116.0,12.0,10.0
338,116.0,10.0,10.0
339,125.0,10.0,10.0
340,125.0,10.0,10.0
341,125.0,10.0,10.0
342,125.0,10.0,10.0
343,125.0,10.0,10.0
344,125.0,11.0,10.0
345,120.0,11.0,10.0
346,120.0,11.0,10.0
347,120.0,11.0,7.0
348,120.0,11.0,7.0
349,120.0,11.0,7.0
350,120.0,16.0,7.0
351,98.0,16.0,7.0
352,98.0,16.0,7.0
353,98.0,16.0,2.0
354,98.0,16.0,2.0
355,98.0,16.0,2.0
356,98.0,26.0,2.0
357,114.0,26.0,2.0
358,114.0,26.0,2.0
359,114.0,26.0,1.0
360,114.0,26.0,1.0
361,114.0,26.0,1.0
362,123.0,34.0,1.0
363,123.0,34.0,1.0
364,123.0,34.0,2.0
365,123.0,34.0,2.0
366,123.0,34.0,2.0
367,123.0,34.0,2.0
368,112.0,27.0,2.0
369,112.0,27.0,10.0
370,112.0,27.0,10.0
371,112.0,27.0,10.0
372,112.0,15.0,10.0
373,112.0,15.0,10.0
374,118.0,15.0,10.0
375,118.0,15.0,15.0
376,118.0,15.0,15.0
