,electricity-load-nyiso-dunwod,electricity-load-nyiso-genese,electricity-load-nyiso-north,electricity-load-nyiso-west,electricity-load-nyiso-capitl,electricity-load-nyiso-nyc,electricity-load-nyiso-overall,electricity-load-nyiso-centrl,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil,electricity-load-nyiso-millwd,electricity-load-nyiso-mhk_valley
37,870.1672,1207.4578,576.5734,1714.0859,1364.3722,7450.1216,20656.300900000002,1834.6721,1155.3647,3183.5073,373.6154,869.8651
38,893.8297,1200.4729,579.821,1743.9612,1379.08,7422.961,20639.434699999998,1843.1986,1174.1469,3182.1182,363.2567,858.0621
39,880.4962,1206.5969,575.406,1730.8817,1382.8198,7453.082,20700.8785,1865.0033,1166.1064,3190.9946,373.6505,875.7526
40,891.1204,1204.215,573.8004,1755.389,1389.3783,7447.9004,20719.0535,1842.8245,1197.5924,3201.4275,387.1555,877.8498
41,885.9148,1209.2944,568.6325,1751.1843,1385.6421,7418.039,20710.1031,1831.189,1198.3501,3184.4128,375.7361,875.0987
42,891.8839,1192.1157,583.9624,1762.7725,1382.0225,7407.711,20754.332599999998,1854.5197,1201.7135,3204.1318,361.3955,893.9633
43,890.4562,1201.9292,575.6089,1789.5208,1392.6938,7427.091,20770.3098,1874.808,1208.3221,3215.2393,372.2648,889.4519
44,903.3156,1212.3364,581.0427,1769.2538,1384.0267,7400.5312,20770.2868,1864.9154,1209.2197,3211.4927,382.6686,886.1636
45,899.4664,1212.4226,582.4249,1762.415,1400.1807,7367.4224,20786.213699999997,1889.4596,1223.6399,3226.4692,376.4583,881.535
46,897.7208,1214.6033,580.1354,1755.6787,1387.0088,7376.5396,20793.3599,1882.8536,1218.7318,3195.9458,374.555,871.4316
47,911.5237,1206.4348,584.5479,1764.0609,1404.1449,7340.224,20805.3256,1882.5176,1215.8645,3209.9556,374.7452,866.4602
48,909.5983,1200.8333,577.9721,1777.6943,1399.1652,7392.51,20888.860999999997,1917.069,1258.1578,3230.317,363.5698,879.4236
49,906.1874,1206.2859,579.5496,1786.0988,1413.3704,7373.3623,20815.812399999995,1844.6697,1217.8572,3233.3047,394.9137,887.5067
50,903.6443,1206.2859,579.5496,1777.1946,1413.3704,7370.067,20815.812399999995,1844.6697,1217.8572,3233.3047,394.9137,887.5067
51,903.6443,1214.8652,580.9683,1777.1946,1415.4456,7357.5156,20851.7727,1838.6088,1250.8552,3213.0938,391.4179,877.6812
52,887.0089,1208.6731,586.049,1779.4188,1414.9475,7357.5156,20852.867399999996,1836.9774,1239.629,3230.7266,382.5209,878.4623
53,897.8875,1209.3777,581.6395,1791.3651,1429.728,7402.409,20867.659100000004,1832.8291,1242.3167,3233.7708,385.333,872.9863
54,916.4453,1215.5488,584.9164,1783.8352,1439.8167,7385.629,20926.483799999998,1863.2001,1267.9022,3263.4443,380.8254,867.3512
55,893.4335,1210.2292,581.6326,1783.9905,1445.3192,7379.3975,20968.492000000002,1862.602,1286.6025,3284.1558,371.8815,874.8729
56,887.291,1221.2959,584.3237,1801.5449,1444.6042,7366.0547,20993.462000000003,1894.5773,1277.4036,3286.0007,388.2276,873.4004
57,897.1942,1211.0244,581.6608,1787.5664,1447.8292,7362.3604,20966.559500000003,1890.8245,1300.3307,3281.9055,381.1879,873.3008
58,900.8906,1221.6353,583.4799,1792.9031,1455.71,7338.868,20959.215,1866.2344,1307.7703,3305.4985,380.5566,870.5717
59,899.6403,1211.5177,567.1827,1766.337,1452.8446,7304.702,20962.829900000004,1877.3795,1282.1748,3320.4976,375.2412,882.1265
60,886.0106,1225.9247,570.3455,1797.114,1484.1232,7301.781,21062.660300000003,1898.1581,1297.8594,3323.8005,399.687,874.6254
61,891.3594,1217.5964,591.6899,1791.3201,1461.8411,7310.7407,21034.8105,1919.6107,1308.7131,3327.3071,371.8596,843.5716
62,896.241,1222.7649,589.316,1794.348,1492.0292,7305.457,21103.729199999998,1913.837,1298.0024,3357.7039,387.5045,840.6116
63,888.6615,1220.499,592.2696,1800.4247,1491.0754,7302.032,21039.375799999998,1863.1659,1309.587,3327.3276,379.4503,843.8925
64,894.9466,1223.1667,596.64,1793.4849,1488.5244,7312.8735,21059.8197,1862.0316,1327.8934,3352.936,370.3555,843.666
65,906.7717,1232.5249,613.0219,1809.0199,1488.1946,7323.677,21099.6369,1865.9049,1323.581,3358.264,405.7849,849.7872
66,890.2178,1230.9578,603.6244,1797.4497,1498.7103,7278.8145,21128.3354,1886.0719,1348.0681,3369.171,385.9794,845.7217
67,890.7989,1246.9441,594.7911,1801.0369,1504.423,7274.906,21172.374799999998,1895.3752,1327.9835,3374.4458,393.9424,847.8754
68,889.8626,1232.2695,597.7589,1803.575,1506.1669,7268.195,21197.4742,1889.9232,1358.4852,3372.5688,391.6734,858.5037
69,886.859,1244.9651,608.3849,1817.2856,1515.2927,7293.1567,21236.211700000003,1901.4276,1354.5664,3368.0928,400.0188,851.1587
70,872.3789,1248.961,612.1282,1812.3555,1513.795,7285.98,21280.6023,1880.1312,1364.001,3371.6497,379.8221,867.8469
71,894.642,1239.2087,609.8976,1821.7112,1543.6099,7307.5703,21268.440199999997,1880.0912,1343.3271,3376.1729,390.6604,869.1101
72,879.8837,1253.7865,604.4623,1807.6661,1547.8876,7325.914,21334.986699999998,1889.2399,1344.7721,3390.6592,379.4892,871.7557
73,886.6373,1256.8997,615.0791,1816.9739,1555.264,7328.8125,21403.398299999997,1922.3656,1364.7153,3356.4463,387.3049,857.071
74,872.506,1254.981,616.5858,1843.992,1559.7521,7349.323,21428.425,1932.4651,1371.0543,3367.5386,381.8619,868.4407
75,895.2615,1260.3582,622.5779,1828.5983,1568.6011,7371.7544,21432.140900000002,1942.0631,1349.7993,3363.9036,398.9252,863.4826
76,889.3182,1257.2926,615.2218,1830.7347,1556.9438,7351.8857,21429.5574,1948.7622,1372.0388,3375.8308,389.7004,860.6867
77,882.2524,1260.6833,592.1931,1844.5125,1585.5166,7342.377,21421.689,1917.7628,1363.6372,3365.434,381.6995,874.9174
78,889.4293,1253.6641,603.2889,1838.5378,1581.133,7326.3154,21408.840900000003,1943.4509,1348.0037,3372.6362,398.1224,877.3934
79,880.7949,1266.574,603.1238,1835.2704,1583.8998,7351.878,21465.227400000003,1943.9604,1374.3129,3379.118,389.8662,878.1112
80,866.0223,1269.3823,600.9188,1842.8384,1600.4575,7315.083,21556.6873,1979.7264,1401.761,3378.61,374.8973,873.7017
81,883.3179,1267.0388,607.2379,1854.9324,1592.9746,7337.4004,21574.6482,1985.6412,1388.7478,3385.5962,392.8675,874.0482
82,875.5419,1265.2767,598.4191,1851.5615,1607.1687,7338.982,21508.531099999997,1981.339,1370.6519,3368.362,392.9101,886.246
83,881.496,1267.6699,608.0992,1837.8403,1600.3068,7353.3926,21505.505300000004,1924.0686,1377.263,3384.7483,389.4887,875.351
84,888.255,1271.5087,595.0087,1851.2026,1616.3411,7318.8213,21530.983099999998,1970.6289,1407.176,3369.6226,373.0548,890.533
85,886.3515,1270.6787,602.7218,1840.1298,1621.3428,7339.0522,21545.6446,1973.3004,1372.8313,3394.0522,381.7661,888.1736
86,876.757,1278.4062,621.8009,1844.1157,1623.6094,7310.628,21600.453,1996.1193,1384.573,3374.1482,389.3268,892.8275
