,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_athens
301,59.0,122.0,156.0,31.0,26.0,2.0,104.0,14.0,29.0,123.0
302,56.0,126.0,196.0,24.0,21.0,2.0,93.0,18.0,39.0,121.0
303,56.0,126.0,196.0,24.0,21.0,2.0,93.0,18.0,39.0,121.0
304,62.0,158.0,202.0,28.0,5.0,2.0,94.0,24.0,57.0,143.0
305,62.0,158.0,202.0,28.0,5.0,2.0,94.0,24.0,57.0,143.0
306,65.0,154.0,211.0,29.0,6.0,2.0,107.0,35.0,81.0,181.0
307,65.0,154.0,211.0,29.0,6.0,2.0,107.0,35.0,81.0,181.0
308,51.0,157.0,217.0,23.0,8.0,2.0,130.0,28.0,113.0,152.0
309,51.0,157.0,217.0,23.0,8.0,2.0,130.0,28.0,113.0,152.0
310,51.0,157.0,217.0,23.0,8.0,2.0,130.0,28.0,113.0,152.0
311,50.0,178.0,214.0,25.0,4.0,3.0,121.0,29.0,129.0,143.0
312,54.0,179.0,205.0,16.0,4.0,4.0,106.0,26.0,144.0,150.0
313,54.0,179.0,205.0,16.0,4.0,4.0,106.0,26.0,144.0,150.0
314,53.0,153.0,236.0,7.0,5.0,4.0,162.0,25.0,160.0,150.0
315,53.0,153.0,236.0,7.0,5.0,4.0,162.0,25.0,160.0,150.0
316,55.0,167.0,249.0,11.0,12.0,3.0,128.0,22.0,171.0,170.0
317,55.0,167.0,249.0,11.0,12.0,3.0,128.0,22.0,171.0,170.0
318,98.0,209.0,254.0,9.0,19.0,3.0,123.0,28.0,144.0,171.0
319,98.0,209.0,254.0,9.0,19.0,3.0,123.0,28.0,144.0,171.0
320,65.0,193.0,269.0,9.0,40.0,4.0,87.0,46.0,134.0,165.0
321,65.0,193.0,269.0,9.0,40.0,4.0,87.0,46.0,134.0,165.0
322,60.0,180.0,298.0,7.0,70.0,5.0,78.0,55.0,125.0,96.0
323,60.0,180.0,298.0,7.0,70.0,5.0,78.0,55.0,125.0,96.0
324,68.0,204.0,387.0,8.0,109.0,6.0,92.0,53.0,112.0,72.0
325,68.0,204.0,387.0,8.0,109.0,6.0,92.0,53.0,112.0,72.0
326,85.0,187.0,341.0,7.0,87.0,3.0,72.0,52.0,172.0,81.0
327,85.0,187.0,341.0,7.0,87.0,3.0,72.0,52.0,172.0,81.0
328,85.0,187.0,341.0,7.0,87.0,3.0,72.0,52.0,172.0,81.0
329,87.0,144.0,322.0,16.0,65.0,4.0,47.0,56.0,208.0,80.0
330,46.0,146.0,390.0,14.0,71.0,4.0,29.0,37.0,145.0,78.0
331,46.0,146.0,390.0,14.0,71.0,4.0,29.0,37.0,145.0,78.0
332,19.0,163.0,368.0,11.0,53.0,4.0,59.0,39.0,98.0,64.0
333,19.0,163.0,368.0,11.0,53.0,4.0,59.0,39.0,98.0,64.0
334,17.0,197.0,372.0,9.0,0.0,7.0,125.0,33.0,108.0,49.0
335,17.0,197.0,372.0,9.0,0.0,7.0,125.0,33.0,108.0,49.0
336,9.0,253.0,453.0,12.0,0.0,0.0,82.0,30.0,119.0,40.0
337,9.0,253.0,453.0,12.0,0.0,0.0,82.0,30.0,119.0,40.0
338,23.0,262.0,719.0,32.0,0.0,1.0,51.0,50.0,203.0,36.0
339,23.0,262.0,719.0,32.0,0.0,1.0,51.0,50.0,203.0,36.0
340,22.0,270.0,621.0,54.0,0.0,1.0,85.0,68.0,178.0,49.0
341,22.0,270.0,621.0,54.0,0.0,1.0,85.0,68.0,178.0,49.0
342,28.0,247.0,321.0,72.0,0.0,1.0,145.0,92.0,151.0,13.0
343,28.0,247.0,321.0,72.0,0.0,1.0,145.0,92.0,151.0,13.0
344,18.0,205.0,456.0,104.0,0.0,2.0,47.0,85.0,124.0,14.0
345,18.0,205.0,456.0,104.0,0.0,2.0,47.0,85.0,124.0,14.0
346,16.0,286.0,505.0,99.0,0.0,3.0,57.0,22.0,125.0,11.0
347,16.0,286.0,505.0,99.0,0.0,3.0,57.0,22.0,125.0,11.0
348,39.0,308.0,511.0,110.0,0.0,2.0,57.0,30.0,125.0,6.0
349,39.0,308.0,511.0,110.0,0.0,2.0,57.0,30.0,125.0,6.0
350,39.0,287.0,414.0,162.0,0.0,1.0,0.0,40.0,53.0,9.0
351,39.0,287.0,414.0,162.0,0.0,1.0,0.0,40.0,53.0,9.0
352,44.0,370.0,216.0,172.0,0.0,5.0,0.0,9.0,57.0,11.0
353,44.0,370.0,216.0,172.0,0.0,5.0,0.0,9.0,57.0,11.0
354,9.0,343.0,241.0,164.0,0.0,1.0,0.0,0.0,93.0,7.0
355,9.0,343.0,241.0,164.0,0.0,1.0,0.0,0.0,93.0,7.0
356,12.0,264.0,553.0,169.0,0.0,1.0,10.0,0.0,0.0,8.0
357,12.0,264.0,553.0,169.0,0.0,1.0,10.0,0.0,0.0,8.0
358,33.0,202.0,388.0,152.0,0.0,6.0,6.0,0.0,0.0,16.0
359,33.0,202.0,388.0,152.0,0.0,6.0,6.0,0.0,0.0,16.0
360,33.0,348.0,355.0,145.0,0.0,8.0,1.0,12.0,11.0,16.0
361,33.0,348.0,355.0,145.0,0.0,8.0,1.0,12.0,11.0,16.0
362,0.0,301.0,361.0,123.0,12.0,16.0,0.0,11.0,11.0,12.0
363,0.0,301.0,361.0,123.0,12.0,16.0,0.0,11.0,11.0,12.0
364,20.0,223.0,310.0,122.0,12.0,1.0,10.0,11.0,0.0,14.0
365,20.0,223.0,310.0,122.0,12.0,1.0,10.0,11.0,0.0,14.0
366,18.0,276.0,586.0,123.0,0.0,1.0,21.0,7.0,14.0,12.0
367,18.0,276.0,586.0,123.0,0.0,1.0,21.0,7.0,14.0,12.0
368,28.0,384.0,586.0,110.0,0.0,1.0,33.0,10.0,19.0,11.0
369,28.0,384.0,586.0,110.0,0.0,1.0,33.0,10.0,19.0,11.0
370,67.0,468.0,231.0,92.0,0.0,3.0,36.0,11.0,28.0,12.0
371,67.0,468.0,231.0,92.0,0.0,3.0,36.0,11.0,28.0,12.0
372,50.0,375.0,459.0,62.0,0.0,7.0,47.0,10.0,43.0,15.0
373,50.0,375.0,459.0,62.0,0.0,7.0,47.0,10.0,43.0,15.0
374,50.0,375.0,459.0,62.0,0.0,7.0,47.0,10.0,43.0,15.0
375,34.0,323.0,390.0,42.0,4.0,9.0,42.0,7.0,66.0,24.0
376,29.0,194.0,282.0,5.0,5.0,5.0,33.0,5.0,88.0,32.0
377,29.0,194.0,282.0,5.0,5.0,5.0,33.0,5.0,88.0,32.0
378,29.0,196.0,265.0,2.0,12.0,3.0,39.0,2.0,83.0,34.0
379,29.0,196.0,265.0,2.0,12.0,3.0,39.0,2.0,83.0,34.0
380,28.0,175.0,268.0,7.0,16.0,0.0,43.0,2.0,192.0,37.0
381,28.0,175.0,268.0,7.0,16.0,0.0,43.0,2.0,192.0,37.0
382,30.0,115.0,175.0,14.0,25.0,3.0,48.0,3.0,192.0,40.0
383,30.0,115.0,175.0,14.0,25.0,3.0,48.0,3.0,192.0,40.0
384,41.0,113.0,138.0,21.0,75.0,5.0,57.0,4.0,96.0,50.0
385,41.0,113.0,138.0,21.0,75.0,5.0,57.0,4.0,96.0,50.0
386,55.0,75.0,113.0,28.0,66.0,5.0,42.0,4.0,159.0,60.0
387,55.0,75.0,113.0,28.0,66.0,5.0,42.0,4.0,159.0,60.0
388,73.0,64.0,129.0,24.0,68.0,3.0,37.0,2.0,123.0,75.0
389,73.0,64.0,129.0,24.0,68.0,3.0,37.0,2.0,123.0,75.0
390,88.0,65.0,124.0,25.0,70.0,2.0,50.0,3.0,123.0,64.0
391,88.0,65.0,124.0,25.0,70.0,2.0,50.0,3.0,123.0,64.0
392,96.0,57.0,88.0,34.0,78.0,1.0,63.0,4.0,159.0,72.0
393,96.0,57.0,88.0,34.0,78.0,1.0,63.0,4.0,159.0,72.0
394,98.0,55.0,92.0,37.0,82.0,3.0,69.0,6.0,138.0,95.0
395,98.0,55.0,92.0,37.0,82.0,3.0,69.0,6.0,138.0,95.0
396,95.0,70.0,112.0,37.0,105.0,2.0,48.0,12.0,129.0,102.0
397,95.0,70.0,112.0,37.0,105.0,2.0,48.0,12.0,129.0,102.0
398,69.0,74.0,102.0,32.0,120.0,3.0,39.0,11.0,89.0,82.0
399,69.0,74.0,102.0,32.0,120.0,3.0,39.0,11.0,89.0,82.0
400,60.0,84.0,122.0,33.0,136.0,4.0,39.0,11.0,95.0,100.0
401,60.0,84.0,122.0,33.0,136.0,4.0,39.0,11.0,95.0,100.0
402,50.0,86.0,129.0,36.0,91.0,2.0,31.0,11.0,133.0,116.0
403,50.0,86.0,129.0,36.0,91.0,2.0,31.0,11.0,133.0,116.0
404,62.0,110.0,110.0,38.0,121.0,2.0,31.0,16.0,142.0,107.0
405,62.0,110.0,110.0,38.0,121.0,2.0,31.0,16.0,142.0,107.0
406,67.0,124.0,126.0,26.0,150.0,3.0,42.0,24.0,135.0,111.0
407,67.0,124.0,126.0,26.0,150.0,3.0,42.0,24.0,135.0,111.0
408,58.0,126.0,109.0,11.0,98.0,1.0,45.0,41.0,112.0,118.0
409,58.0,126.0,109.0,11.0,98.0,1.0,45.0,41.0,112.0,118.0
410,59.0,138.0,78.0,19.0,107.0,3.0,49.0,58.0,109.0,123.0
411,59.0,138.0,78.0,19.0,107.0,3.0,49.0,58.0,109.0,123.0
412,43.0,128.0,91.0,23.0,112.0,3.0,53.0,62.0,123.0,131.0
413,43.0,128.0,91.0,23.0,112.0,3.0,53.0,62.0,123.0,131.0
414,31.0,121.0,90.0,28.0,168.0,1.0,59.0,64.0,185.0,152.0
415,31.0,121.0,90.0,28.0,168.0,1.0,59.0,64.0,185.0,152.0
416,26.0,140.0,139.0,48.0,183.0,1.0,89.0,74.0,164.0,163.0
417,26.0,140.0,139.0,48.0,183.0,1.0,89.0,74.0,164.0,163.0
418,25.0,168.0,295.0,45.0,118.0,2.0,62.0,61.0,151.0,188.0
419,25.0,168.0,295.0,45.0,118.0,2.0,62.0,61.0,151.0,188.0
420,29.0,214.0,141.0,46.0,85.0,2.0,20.0,59.0,166.0,228.0
421,29.0,214.0,141.0,46.0,85.0,2.0,20.0,59.0,166.0,228.0
422,14.0,197.0,137.0,49.0,102.0,2.0,21.0,53.0,114.0,217.0
423,14.0,197.0,137.0,49.0,102.0,2.0,21.0,53.0,114.0,217.0
424,9.0,172.0,175.0,54.0,111.0,2.0,27.0,60.0,105.0,217.0
425,9.0,172.0,175.0,54.0,111.0,2.0,27.0,60.0,105.0,217.0
426,11.0,202.0,202.0,64.0,111.0,1.0,33.0,50.0,108.0,182.0
427,11.0,202.0,202.0,64.0,111.0,1.0,33.0,50.0,108.0,182.0
428,12.0,238.0,173.0,98.0,86.0,1.0,39.0,49.0,136.0,140.0
429,12.0,238.0,173.0,98.0,86.0,1.0,39.0,49.0,136.0,140.0
430,14.0,222.0,137.0,115.0,80.0,1.0,27.0,24.0,155.0,138.0
431,14.0,222.0,137.0,115.0,80.0,1.0,27.0,24.0,155.0,138.0
432,35.0,218.0,279.0,179.0,135.0,1.0,20.0,18.0,145.0,169.0
433,35.0,218.0,279.0,179.0,135.0,1.0,20.0,18.0,145.0,169.0
434,50.0,192.0,310.0,173.0,76.0,2.0,32.0,16.0,61.0,106.0
435,50.0,192.0,310.0,173.0,76.0,2.0,32.0,16.0,61.0,106.0
436,45.0,205.0,292.0,153.0,48.0,4.0,39.0,15.0,24.0,86.0
437,45.0,205.0,292.0,153.0,48.0,4.0,39.0,15.0,24.0,86.0
438,40.0,206.0,243.0,226.0,75.0,6.0,79.0,11.0,108.0,80.0
439,40.0,206.0,243.0,226.0,75.0,6.0,79.0,11.0,108.0,80.0
440,40.0,206.0,243.0,226.0,75.0,6.0,79.0,11.0,108.0,80.0
441,56.0,243.0,228.0,270.0,95.0,2.0,55.0,7.0,108.0,75.0
442,76.0,283.0,139.0,172.0,95.0,1.0,22.0,10.0,72.0,60.0
443,76.0,283.0,139.0,172.0,95.0,1.0,22.0,10.0,72.0,60.0
444,62.0,283.0,165.0,414.0,12.0,1.0,0.0,15.0,72.0,37.0
445,62.0,283.0,165.0,414.0,12.0,1.0,0.0,15.0,72.0,37.0
446,34.0,241.0,139.0,429.0,12.0,0.0,0.0,11.0,0.0,73.0
447,34.0,241.0,139.0,429.0,12.0,0.0,0.0,11.0,0.0,73.0
448,33.0,215.0,290.0,171.0,0.0,1.0,22.0,6.0,0.0,90.0
449,33.0,215.0,290.0,171.0,0.0,1.0,22.0,6.0,0.0,90.0
450,25.0,243.0,290.0,247.0,0.0,1.0,22.0,13.0,0.0,54.0
451,25.0,243.0,290.0,247.0,0.0,1.0,22.0,13.0,0.0,54.0
452,18.0,252.0,357.0,230.0,0.0,1.0,0.0,13.0,0.0,59.0
453,18.0,252.0,357.0,230.0,0.0,1.0,0.0,13.0,0.0,59.0
454,12.0,218.0,247.0,178.0,0.0,1.0,0.0,9.0,0.0,136.0
455,12.0,218.0,247.0,178.0,0.0,1.0,0.0,9.0,0.0,136.0
456,12.0,227.0,211.0,190.0,0.0,1.0,2.0,15.0,1.0,72.0
457,12.0,227.0,211.0,190.0,0.0,1.0,2.0,15.0,1.0,72.0
458,0.0,196.0,246.0,208.0,2.0,0.0,23.0,19.0,1.0,63.0
459,0.0,196.0,246.0,208.0,2.0,0.0,23.0,19.0,1.0,63.0
460,0.0,221.0,296.0,214.0,23.0,0.0,38.0,25.0,16.0,60.0
461,0.0,221.0,296.0,214.0,23.0,0.0,38.0,25.0,16.0,60.0
462,3.0,358.0,273.0,202.0,23.0,0.0,67.0,49.0,16.0,91.0
463,3.0,358.0,273.0,202.0,23.0,0.0,67.0,49.0,16.0,91.0
464,33.0,308.0,281.0,139.0,0.0,1.0,37.0,64.0,0.0,89.0
465,33.0,308.0,281.0,139.0,0.0,1.0,37.0,64.0,0.0,89.0
466,55.0,258.0,267.0,49.0,12.0,1.0,36.0,20.0,9.0,110.0
467,55.0,258.0,267.0,49.0,12.0,1.0,36.0,20.0,9.0,110.0
468,55.0,258.0,267.0,49.0,12.0,1.0,36.0,20.0,9.0,110.0
469,55.0,317.0,169.0,23.0,13.0,3.0,28.0,6.0,22.0,133.0
470,37.0,219.0,264.0,12.0,45.0,13.0,9.0,1.0,26.0,121.0
471,37.0,219.0,264.0,12.0,45.0,13.0,9.0,1.0,26.0,121.0
472,52.0,104.0,276.0,15.0,40.0,17.0,20.0,2.0,45.0,63.0
473,52.0,104.0,276.0,15.0,40.0,17.0,20.0,2.0,45.0,63.0
474,52.0,113.0,301.0,16.0,35.0,21.0,24.0,2.0,46.0,26.0
475,52.0,113.0,301.0,16.0,35.0,21.0,24.0,2.0,46.0,26.0
476,48.0,75.0,203.0,19.0,19.0,3.0,26.0,1.0,52.0,15.0
477,48.0,75.0,203.0,19.0,19.0,3.0,26.0,1.0,52.0,15.0
478,43.0,67.0,112.0,24.0,13.0,5.0,20.0,2.0,60.0,23.0
479,43.0,67.0,112.0,24.0,13.0,5.0,20.0,2.0,60.0,23.0
480,26.0,82.0,93.0,28.0,11.0,8.0,22.0,2.0,116.0,36.0
481,26.0,82.0,93.0,28.0,11.0,8.0,22.0,2.0,116.0,36.0
482,25.0,123.0,78.0,28.0,11.0,4.0,28.0,1.0,59.0,39.0
483,25.0,123.0,78.0,28.0,11.0,4.0,28.0,1.0,59.0,39.0
484,35.0,96.0,89.0,20.0,7.0,4.0,35.0,1.0,63.0,53.0
485,35.0,96.0,89.0,20.0,7.0,4.0,35.0,1.0,63.0,53.0
486,41.0,79.0,65.0,16.0,7.0,3.0,33.0,1.0,95.0,62.0
487,41.0,79.0,65.0,16.0,7.0,3.0,33.0,1.0,95.0,62.0
488,53.0,103.0,52.0,15.0,0.0,6.0,21.0,2.0,42.0,63.0
489,53.0,103.0,52.0,15.0,0.0,6.0,21.0,2.0,42.0,63.0
490,40.0,102.0,59.0,17.0,0.0,6.0,12.0,2.0,84.0,71.0
491,40.0,102.0,59.0,17.0,0.0,6.0,12.0,2.0,84.0,71.0
492,22.0,102.0,89.0,18.0,0.0,4.0,12.0,4.0,65.0,86.0
493,22.0,102.0,89.0,18.0,0.0,4.0,12.0,4.0,65.0,86.0
494,17.0,147.0,108.0,17.0,7.0,3.0,10.0,4.0,52.0,98.0
495,17.0,147.0,108.0,17.0,7.0,3.0,10.0,4.0,52.0,98.0
496,28.0,132.0,97.0,21.0,7.0,4.0,8.0,2.0,67.0,99.0
497,28.0,132.0,97.0,21.0,7.0,4.0,8.0,2.0,67.0,99.0
498,29.0,131.0,85.0,18.0,0.0,4.0,15.0,2.0,59.0,59.0
499,29.0,131.0,85.0,18.0,0.0,4.0,15.0,2.0,59.0,59.0
500,36.0,166.0,69.0,23.0,1.0,4.0,15.0,2.0,93.0,54.0
501,36.0,166.0,69.0,23.0,1.0,4.0,15.0,2.0,93.0,54.0
502,39.0,151.0,75.0,26.0,1.0,4.0,11.0,3.0,113.0,56.0
503,39.0,151.0,75.0,26.0,1.0,4.0,11.0,3.0,113.0,56.0
504,29.0,150.0,68.0,28.0,0.0,4.0,15.0,6.0,79.0,56.0
505,29.0,150.0,68.0,28.0,0.0,4.0,15.0,6.0,79.0,56.0
506,24.0,154.0,67.0,31.0,0.0,2.0,17.0,11.0,72.0,62.0
507,24.0,154.0,67.0,31.0,0.0,2.0,17.0,11.0,72.0,62.0
508,16.0,151.0,23.0,22.0,0.0,3.0,15.0,13.0,71.0,64.0
509,16.0,151.0,23.0,22.0,0.0,3.0,15.0,13.0,71.0,64.0
510,15.0,133.0,15.0,22.0,0.0,4.0,12.0,13.0,65.0,54.0
511,15.0,133.0,15.0,22.0,0.0,4.0,12.0,13.0,65.0,54.0
512,13.0,133.0,23.0,31.0,17.0,6.0,19.0,20.0,32.0,51.0
513,13.0,133.0,23.0,31.0,17.0,6.0,19.0,20.0,32.0,51.0
514,20.0,125.0,17.0,40.0,17.0,9.0,24.0,27.0,47.0,51.0
515,20.0,125.0,17.0,40.0,17.0,9.0,24.0,27.0,47.0,51.0
516,20.0,151.0,16.0,54.0,1.0,7.0,27.0,29.0,77.0,49.0
517,20.0,151.0,16.0,54.0,1.0,7.0,27.0,29.0,77.0,49.0
518,16.0,166.0,32.0,66.0,12.0,6.0,24.0,30.0,82.0,43.0
519,16.0,166.0,32.0,66.0,12.0,6.0,24.0,30.0,82.0,43.0
520,24.0,173.0,41.0,70.0,12.0,7.0,10.0,22.0,102.0,38.0
521,24.0,173.0,41.0,70.0,12.0,7.0,10.0,22.0,102.0,38.0
522,46.0,187.0,40.0,74.0,0.0,5.0,19.0,10.0,166.0,35.0
523,46.0,187.0,40.0,74.0,0.0,5.0,19.0,10.0,166.0,35.0
524,65.0,201.0,41.0,95.0,2.0,9.0,17.0,6.0,158.0,12.0
525,65.0,201.0,41.0,95.0,2.0,9.0,17.0,6.0,158.0,12.0
526,63.0,185.0,49.0,133.0,5.0,11.0,17.0,11.0,150.0,11.0
527,63.0,185.0,49.0,133.0,5.0,11.0,17.0,11.0,150.0,11.0
528,82.0,112.0,109.0,128.0,5.0,0.0,21.0,12.0,108.0,8.0
529,82.0,112.0,109.0,128.0,5.0,0.0,21.0,12.0,108.0,8.0
530,115.0,71.0,148.0,136.0,0.0,0.0,21.0,16.0,84.0,13.0
531,115.0,71.0,148.0,136.0,0.0,0.0,21.0,16.0,84.0,13.0
532,131.0,86.0,161.0,123.0,0.0,2.0,8.0,11.0,126.0,10.0
533,131.0,86.0,161.0,123.0,0.0,2.0,8.0,11.0,126.0,10.0
534,121.0,104.0,136.0,125.0,0.0,2.0,9.0,10.0,126.0,11.0
535,121.0,104.0,136.0,125.0,0.0,2.0,9.0,10.0,126.0,11.0
536,162.0,90.0,132.0,159.0,0.0,0.0,8.0,7.0,128.0,12.0
537,162.0,90.0,132.0,159.0,0.0,0.0,8.0,7.0,128.0,12.0
538,174.0,51.0,116.0,169.0,0.0,3.0,11.0,8.0,88.0,9.0
539,174.0,51.0,116.0,169.0,0.0,3.0,11.0,8.0,88.0,9.0
540,214.0,23.0,134.0,194.0,0.0,5.0,15.0,6.0,72.0,7.0
541,214.0,23.0,134.0,194.0,0.0,5.0,15.0,6.0,72.0,7.0
542,225.0,36.0,186.0,376.0,0.0,7.0,15.0,3.0,59.0,14.0
543,225.0,36.0,186.0,376.0,0.0,7.0,15.0,3.0,59.0,14.0
544,225.0,82.0,139.0,269.0,0.0,6.0,10.0,3.0,96.0,15.0
545,225.0,82.0,139.0,269.0,0.0,6.0,10.0,3.0,96.0,15.0
546,242.0,82.0,154.0,223.0,0.0,3.0,9.0,7.0,101.0,12.0
547,242.0,82.0,154.0,223.0,0.0,3.0,9.0,7.0,101.0,12.0
548,340.0,0.0,162.0,209.0,0.0,0.0,9.0,29.0,77.0,14.0
549,340.0,0.0,162.0,209.0,0.0,0.0,9.0,29.0,77.0,14.0
550,274.0,8.0,172.0,264.0,0.0,9.0,0.0,35.0,28.0,15.0
551,274.0,8.0,172.0,264.0,0.0,9.0,0.0,35.0,28.0,15.0
552,281.0,24.0,191.0,242.0,0.0,5.0,0.0,48.0,13.0,16.0
553,281.0,24.0,191.0,242.0,0.0,5.0,0.0,48.0,13.0,16.0
554,281.0,24.0,191.0,242.0,0.0,5.0,0.0,48.0,13.0,16.0
555,269.0,28.0,228.0,214.0,0.0,0.0,0.0,30.0,15.0,17.0
556,299.0,44.0,233.0,190.0,0.0,2.0,27.0,24.0,18.0,15.0
557,299.0,44.0,233.0,190.0,0.0,2.0,27.0,24.0,18.0,15.0
558,431.0,82.0,251.0,223.0,0.0,2.0,57.0,22.0,0.0,17.0
559,431.0,82.0,251.0,223.0,0.0,2.0,57.0,22.0,0.0,17.0
560,431.0,93.0,248.0,205.0,27.0,2.0,57.0,8.0,0.0,18.0
561,431.0,93.0,248.0,205.0,27.0,2.0,57.0,8.0,0.0,18.0
562,370.0,103.0,248.0,107.0,41.0,0.0,57.0,5.0,0.0,19.0
563,370.0,103.0,248.0,107.0,41.0,0.0,57.0,5.0,0.0,19.0
564,249.0,117.0,256.0,6.0,21.0,3.0,9.0,2.0,15.0,19.0
565,249.0,117.0,256.0,6.0,21.0,3.0,9.0,2.0,15.0,19.0
566,148.0,93.0,381.0,8.0,2.0,4.0,19.0,3.0,15.0,21.0
567,148.0,93.0,381.0,8.0,2.0,4.0,19.0,3.0,15.0,21.0
568,135.0,61.0,450.0,15.0,14.0,1.0,16.0,8.0,16.0,22.0
569,135.0,61.0,450.0,15.0,14.0,1.0,16.0,8.0,16.0,22.0
570,147.0,33.0,305.0,27.0,20.0,2.0,11.0,7.0,19.0,10.0
571,147.0,33.0,305.0,27.0,20.0,2.0,11.0,7.0,19.0,10.0
572,151.0,32.0,254.0,38.0,23.0,1.0,9.0,7.0,30.0,13.0
573,151.0,32.0,254.0,38.0,23.0,1.0,9.0,7.0,30.0,13.0
574,176.0,30.0,241.0,47.0,27.0,1.0,15.0,4.0,54.0,22.0
575,176.0,30.0,241.0,47.0,27.0,1.0,15.0,4.0,54.0,22.0
576,129.0,28.0,178.0,57.0,0.0,4.0,18.0,4.0,74.0,32.0
577,129.0,28.0,178.0,57.0,0.0,4.0,18.0,4.0,74.0,32.0
578,103.0,33.0,120.0,76.0,0.0,6.0,14.0,5.0,47.0,43.0
579,103.0,33.0,120.0,76.0,0.0,6.0,14.0,5.0,47.0,43.0
580,63.0,46.0,103.0,94.0,13.0,3.0,12.0,6.0,24.0,48.0
581,63.0,46.0,103.0,94.0,13.0,3.0,12.0,6.0,24.0,48.0
582,81.0,58.0,63.0,84.0,26.0,1.0,8.0,4.0,20.0,57.0
583,81.0,58.0,63.0,84.0,26.0,1.0,8.0,4.0,20.0,57.0
584,81.0,72.0,53.0,81.0,33.0,1.0,6.0,4.0,20.0,68.0
585,81.0,72.0,53.0,81.0,33.0,1.0,6.0,4.0,20.0,68.0
586,86.0,91.0,41.0,89.0,40.0,1.0,8.0,9.0,33.0,53.0
587,86.0,91.0,41.0,89.0,40.0,1.0,8.0,9.0,33.0,53.0
588,104.0,93.0,50.0,81.0,73.0,2.0,19.0,10.0,43.0,49.0
589,104.0,93.0,50.0,81.0,73.0,2.0,19.0,10.0,43.0,49.0
590,68.0,93.0,60.0,54.0,40.0,3.0,24.0,2.0,33.0,61.0
591,68.0,93.0,60.0,54.0,40.0,3.0,24.0,2.0,33.0,61.0
592,10.0,117.0,44.0,55.0,66.0,3.0,17.0,3.0,21.0,72.0
593,10.0,117.0,44.0,55.0,66.0,3.0,17.0,3.0,21.0,72.0
594,23.0,110.0,40.0,44.0,71.0,3.0,13.0,3.0,31.0,71.0
595,23.0,110.0,40.0,44.0,71.0,3.0,13.0,3.0,31.0,71.0
596,23.0,86.0,20.0,55.0,79.0,3.0,15.0,3.0,50.0,68.0
597,23.0,86.0,20.0,55.0,79.0,3.0,15.0,3.0,50.0,68.0
598,29.0,86.0,9.0,72.0,7.0,1.0,15.0,3.0,55.0,79.0
599,29.0,86.0,9.0,72.0,7.0,1.0,15.0,3.0,55.0,79.0
600,60.0,90.0,11.0,29.0,17.0,1.0,20.0,6.0,58.0,80.0
601,60.0,90.0,11.0,29.0,17.0,1.0,20.0,6.0,58.0,80.0
602,46.0,103.0,22.0,18.0,17.0,2.0,24.0,10.0,67.0,90.0
603,46.0,103.0,22.0,18.0,17.0,2.0,24.0,10.0,67.0,90.0
604,45.0,102.0,34.0,14.0,19.0,4.0,26.0,10.0,78.0,101.0
605,45.0,102.0,34.0,14.0,19.0,4.0,26.0,10.0,78.0,101.0
606,34.0,106.0,45.0,13.0,17.0,3.0,22.0,16.0,65.0,97.0
607,34.0,106.0,45.0,13.0,17.0,3.0,22.0,16.0,65.0,97.0
608,17.0,89.0,51.0,14.0,27.0,2.0,27.0,21.0,79.0,72.0
609,17.0,89.0,51.0,14.0,27.0,2.0,27.0,21.0,79.0,72.0
610,18.0,73.0,64.0,13.0,54.0,2.0,42.0,21.0,75.0,43.0
611,18.0,73.0,64.0,13.0,54.0,2.0,42.0,21.0,75.0,43.0
612,26.0,79.0,64.0,18.0,41.0,3.0,43.0,16.0,81.0,36.0
613,26.0,79.0,64.0,18.0,41.0,3.0,43.0,16.0,81.0,36.0
614,34.0,86.0,88.0,18.0,29.0,7.0,31.0,12.0,33.0,32.0
615,34.0,86.0,88.0,18.0,29.0,7.0,31.0,12.0,33.0,32.0
616,46.0,102.0,89.0,18.0,18.0,0.0,47.0,14.0,23.0,33.0
617,46.0,102.0,89.0,18.0,18.0,0.0,47.0,14.0,23.0,33.0
618,66.0,89.0,100.0,16.0,0.0,1.0,49.0,14.0,15.0,23.0
619,66.0,89.0,100.0,16.0,0.0,1.0,49.0,14.0,15.0,23.0
620,71.0,96.0,108.0,14.0,8.0,2.0,32.0,10.0,13.0,20.0
621,71.0,96.0,108.0,14.0,8.0,2.0,32.0,10.0,13.0,20.0
622,108.0,113.0,92.0,12.0,13.0,1.0,39.0,11.0,16.0,21.0
623,108.0,113.0,92.0,12.0,13.0,1.0,39.0,11.0,16.0,21.0
624,101.0,104.0,362.0,10.0,34.0,3.0,42.0,16.0,20.0,15.0
625,101.0,104.0,362.0,10.0,34.0,3.0,42.0,16.0,20.0,15.0
626,115.0,71.0,159.0,10.0,24.0,3.0,33.0,12.0,15.0,9.0
627,115.0,71.0,159.0,10.0,24.0,3.0,33.0,12.0,15.0,9.0
