,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_athens
70,49.0,40.0,434.0,15.0,10.0,4.0,79.0,0.0,0.0,13.0
71,49.0,40.0,434.0,15.0,10.0,4.0,79.0,0.0,0.0,13.0
72,50.0,42.0,488.0,25.0,10.0,4.0,107.0,10.0,0.0,18.0
73,50.0,42.0,488.0,25.0,10.0,4.0,107.0,10.0,0.0,18.0
74,81.0,57.0,407.0,10.0,14.0,0.0,64.0,9.0,0.0,17.0
75,81.0,57.0,407.0,10.0,14.0,0.0,64.0,9.0,0.0,17.0
76,97.0,120.0,409.0,17.0,14.0,2.0,25.0,8.0,15.0,16.0
77,97.0,120.0,409.0,17.0,14.0,2.0,25.0,8.0,15.0,16.0
78,67.0,94.0,295.0,21.0,0.0,2.0,41.0,0.0,16.0,22.0
79,67.0,94.0,295.0,21.0,0.0,2.0,41.0,0.0,16.0,22.0
80,43.0,64.0,286.0,25.0,0.0,3.0,38.0,7.0,16.0,30.0
81,43.0,64.0,286.0,25.0,0.0,3.0,38.0,7.0,16.0,30.0
82,47.0,31.0,657.0,29.0,6.0,2.0,38.0,3.0,14.0,39.0
83,47.0,31.0,657.0,29.0,6.0,2.0,38.0,3.0,14.0,39.0
84,59.0,28.0,421.0,33.0,6.0,1.0,68.0,1.0,29.0,28.0
85,59.0,28.0,421.0,33.0,6.0,1.0,68.0,1.0,29.0,28.0
86,134.0,39.0,337.0,29.0,5.0,9.0,13.0,2.0,37.0,19.0
87,134.0,39.0,337.0,29.0,5.0,9.0,13.0,2.0,37.0,19.0
88,138.0,36.0,286.0,32.0,7.0,9.0,13.0,5.0,64.0,13.0
89,138.0,36.0,286.0,32.0,7.0,9.0,13.0,5.0,64.0,13.0
90,109.0,30.0,389.0,34.0,4.0,7.0,11.0,5.0,64.0,13.0
91,109.0,30.0,389.0,34.0,4.0,7.0,11.0,5.0,64.0,13.0
92,110.0,32.0,378.0,27.0,3.0,8.0,18.0,2.0,82.0,13.0
93,110.0,32.0,378.0,27.0,3.0,8.0,18.0,2.0,82.0,13.0
94,90.0,40.0,130.0,25.0,4.0,4.0,25.0,6.0,67.0,15.0
95,90.0,40.0,130.0,25.0,4.0,4.0,25.0,6.0,67.0,15.0
