,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro
90,1792.0,4396.0,259.0,2934.0,2.0,696.0,1498.0
91,1791.0,4394.0,255.0,2899.0,2.0,695.0,1492.0
92,1776.0,4395.0,253.0,2891.0,2.0,684.0,1525.0
93,1780.0,4395.0,253.0,2887.0,2.0,676.0,1562.0
94,1801.0,4395.0,253.0,2867.0,2.0,659.0,1535.0
95,1807.0,4396.0,256.0,2837.0,2.0,663.0,1645.0
96,1774.0,4394.0,254.0,2816.0,2.0,668.0,1762.0
97,1774.0,4394.0,254.0,2816.0,2.0,668.0,1762.0
98,1761.0,4395.0,255.0,2804.0,2.0,702.0,1812.0
99,1803.0,4395.0,261.0,2809.0,2.0,686.0,1795.0
100,1813.0,4396.0,258.0,2836.0,2.0,638.0,1786.0
101,1840.0,4397.0,260.0,2876.0,2.0,618.0,1815.0
102,1843.0,4397.0,255.0,2900.0,2.0,615.0,1808.0
103,1842.0,4398.0,254.0,2876.0,2.0,621.0,1846.0
104,1834.0,4396.0,252.0,2871.0,2.0,648.0,1853.0
105,1811.0,4395.0,256.0,2856.0,2.0,669.0,1847.0
106,1806.0,4397.0,252.0,2861.0,2.0,665.0,1848.0
107,1808.0,4396.0,253.0,2873.0,16.0,657.0,1788.0
108,1810.0,4397.0,256.0,2881.0,2.0,627.0,1796.0
109,1834.0,4396.0,255.0,2895.0,2.0,618.0,1804.0
110,1843.0,4397.0,253.0,2915.0,2.0,624.0,1820.0
111,1847.0,4398.0,252.0,2933.0,2.0,613.0,1798.0
112,1849.0,4398.0,254.0,2930.0,2.0,606.0,1774.0
113,1846.0,4397.0,252.0,2909.0,2.0,594.0,1748.0
114,1847.0,4396.0,255.0,2910.0,2.0,522.0,1791.0
115,1850.0,4397.0,257.0,2911.0,2.0,521.0,1851.0
116,1834.0,4397.0,254.0,2908.0,2.0,539.0,1866.0
117,1835.0,4398.0,256.0,2912.0,2.0,536.0,1875.0
118,1836.0,4399.0,254.0,2892.0,2.0,540.0,1895.0
119,1851.0,4398.0,255.0,2838.0,2.0,548.0,1890.0
120,1864.0,4398.0,252.0,2840.0,2.0,514.0,1866.0
