,noaa_wind_speed_46061,noaa_wind_direction_46061,noaa_wind_speed_44005,noaa_wind_direction_41008,noaa_wind_direction_44005,noaa_wind_speed_41008
0,0.25,0.09444444444444444,1.23,0.11666666666666667,0.011111111111111112,0.74
1,0.22000000000000003,0.12222222222222222,1.16,0.14166666666666666,0.03611111111111111,0.76
2,0.3,0.9416666666666667,1.16,0.14722222222222223,0.9916666666666667,0.77
3,0.18,0.1527777777777778,0.99,0.175,0.013888888888888888,0.64
4,0.22000000000000003,0.08333333333333333,0.9,0.16944444444444445,0.005555555555555556,0.74
5,0.13,0.08333333333333333,0.79,0.175,0.005555555555555556,0.6799999999999999
6,0.09,0.0,0.72,0.16111111111111112,0.013888888888888888,0.78
7,0.27999999999999997,0.2777777777777778,0.6799999999999999,0.1361111111111111,0.0,0.8099999999999999
8,0.45,0.29444444444444445,0.64,0.15,0.975,0.9199999999999999
9,0.5,0.2916666666666667,0.5,0.14722222222222223,0.9472222222222222,0.89
10,0.5,0.35,0.43,0.09444444444444444,0.9472222222222222,0.99
11,0.29,0.325,0.18,0.09166666666666666,0.9166666666666666,1.05
12,0.13,0.11666666666666667,0.24,0.10555555555555556,0.6722222222222223,1.08
13,0.25,0.2222222222222222,0.37,0.1361111111111111,0.6194444444444445,0.99
14,0.37,0.2833333333333333,0.51,0.14166666666666666,0.6138888888888889,1.0699999999999998
15,0.29,0.3111111111111111,0.67,0.16944444444444445,0.6,1.0
16,0.13999999999999999,0.4305555555555556,0.72,0.18055555555555555,0.6555555555555556,0.9400000000000001
17,0.16,0.11388888888888889,0.7,0.175,0.6388888888888888,0.9400000000000001
18,0.11000000000000001,0.2361111111111111,0.79,0.18333333333333332,0.6555555555555556,0.96
19,0.39,0.29444444444444445,0.86,0.15555555555555556,0.6333333333333333,0.8300000000000001
20,0.41,0.2777777777777778,0.86,0.15555555555555556,0.625,0.78
21,0.37,0.2833333333333333,0.89,0.125,0.6138888888888889,0.6599999999999999
22,0.4,0.3388888888888889,0.97,0.1111111111111111,0.6055555555555555,0.7
23,0.51,0.33055555555555555,1.05,0.09722222222222222,0.6194444444444445,0.67
24,0.32,0.36944444444444446,1.04,0.075,0.6111111111111112,0.63
25,0.65,0.3333333333333333,1.08,0.058333333333333334,0.5944444444444444,0.7
26,0.72,0.3277777777777778,1.1400000000000001,0.06388888888888888,0.5833333333333334,0.72
27,0.71,0.2638888888888889,1.26,0.11944444444444445,0.5527777777777778,0.71
28,0.58,0.2722222222222222,1.21,0.125,0.5416666666666666,0.61
29,0.55,0.2777777777777778,1.27,0.027777777777777776,0.5361111111111111,0.47000000000000003
30,0.53,0.2722222222222222,1.31,0.9611111111111111,0.5083333333333333,0.45999999999999996
31,0.52,0.275,1.3900000000000001,0.8166666666666667,0.5027777777777778,0.35
32,0.5,0.26944444444444443,1.35,0.7972222222222223,0.5027777777777778,0.44000000000000006
33,0.47000000000000003,0.3055555555555556,1.4300000000000002,0.8388888888888889,0.5,0.44000000000000006
34,0.48,0.3416666666666667,1.42,0.7833333333333333,0.5027777777777778,0.58
35,0.53,0.35,1.31,0.8666666666666667,0.5,0.5
36,0.55,0.36666666666666664,1.34,0.8444444444444444,0.5027777777777778,0.6900000000000001
37,0.42000000000000004,0.375,1.1800000000000002,0.8111111111111111,0.5055555555555555,0.6599999999999999
38,0.27999999999999997,0.30833333333333335,1.29,0.8166666666666667,0.5305555555555556,0.55
39,0.31,0.2916666666666667,1.04,0.7833333333333333,0.5888888888888889,0.58
40,0.11000000000000001,0.24166666666666667,1.16,0.8027777777777778,0.5583333333333333,0.53
41,0.22000000000000003,0.2638888888888889,1.0699999999999998,0.8027777777777778,0.5583333333333333,0.38
42,0.62,0.9833333333333333,1.0699999999999998,0.7861111111111111,0.5944444444444444,0.42000000000000004
43,0.64,0.975,0.89,0.8194444444444444,0.6,0.49000000000000005
44,0.64,0.005555555555555556,0.65,0.8638888888888889,0.725,0.26
45,0.5900000000000001,0.9888888888888889,0.8099999999999999,0.8055555555555556,0.7472222222222222,0.27999999999999997
46,0.53,0.008333333333333333,0.75,0.8611111111111112,0.7361111111111112,0.2
47,0.62,0.9555555555555556,0.76,0.8083333333333333,0.7416666666666667,0.2
48,0.6,0.9111111111111111,0.74,0.8277777777777777,0.7472222222222222,0.38
49,0.53,0.9472222222222222,0.63,0.8416666666666667,0.6916666666666667,0.38
50,0.55,0.9083333333333333,0.8699999999999999,0.8444444444444444,0.7138888888888889,0.44000000000000006
51,0.52,0.8944444444444445,0.97,0.8444444444444444,0.7361111111111112,0.44000000000000006
52,0.5,0.8833333333333333,1.03,0.8305555555555556,0.7583333333333333,0.5
53,0.6,0.8472222222222222,1.06,0.8444444444444444,0.825,0.51
54,0.65,0.8777777777777778,1.1400000000000001,0.8694444444444445,0.7861111111111111,0.4
55,0.6799999999999999,0.8916666666666667,1.1199999999999999,0.8388888888888889,0.7833333333333333,0.3
56,0.76,0.8972222222222223,1.05,0.7944444444444444,0.8,0.33999999999999997
57,0.62,0.9111111111111111,0.97,0.7666666666666667,0.7888888888888889,0.29
58,0.49000000000000005,0.9166666666666666,0.95,0.6361111111111111,0.7666666666666667,0.3
59,0.62,0.9555555555555556,0.89,0.6111111111111112,0.8027777777777778,0.48
60,0.72,0.9583333333333334,0.93,0.5861111111111111,0.8027777777777778,0.5599999999999999
61,0.71,0.9833333333333333,0.6900000000000001,0.5666666666666667,0.8,0.63
62,0.63,0.9666666666666667,0.54,0.5472222222222223,0.8472222222222222,0.6799999999999999
63,0.6599999999999999,0.975,0.63,0.5583333333333333,0.7666666666666667,0.76
64,0.61,0.9555555555555556,0.6,0.55,0.7888888888888889,0.85
65,0.71,0.9333333333333333,0.53,0.5694444444444444,0.8222222222222222,0.93
66,0.6799999999999999,0.9166666666666666,0.45,0.5805555555555556,0.8333333333333334,0.8699999999999999
67,0.6599999999999999,0.925,0.16999999999999998,0.6138888888888889,0.8416666666666667,0.8400000000000001
68,0.82,0.9333333333333333,0.21000000000000002,0.6111111111111112,0.8305555555555556,0.8099999999999999
69,0.8800000000000001,0.9444444444444444,0.31,0.6305555555555555,0.15555555555555556,0.97
70,1.04,0.9388888888888889,0.26,0.6444444444444445,0.6,1.06
71,0.9,0.95,0.32,0.6833333333333333,0.9861111111111112,0.95
72,0.97,0.95,0.65,0.7444444444444445,0.1,0.9099999999999999
73,0.9199999999999999,0.9277777777777778,0.8699999999999999,0.7805555555555556,0.125,0.79
74,0.8300000000000001,0.9638888888888889,0.9,0.9027777777777778,0.19444444444444445,1.15
75,0.8,0.9444444444444444,1.03,0.8944444444444445,0.19722222222222222,1.06
76,0.79,0.9555555555555556,1.03,0.8861111111111111,0.19444444444444445,0.9199999999999999
77,0.78,0.9527777777777777,0.77,0.9,0.2111111111111111,1.08
78,0.65,0.9638888888888889,0.97,0.9083333333333333,0.15,1.03
79,0.71,0.9638888888888889,1.15,0.9222222222222223,0.1,0.95
80,0.65,0.019444444444444445,1.25,0.9055555555555556,0.06388888888888888,0.8099999999999999
81,0.19,0.14722222222222223,1.61,0.8972222222222223,0.9944444444444445,0.6799999999999999
82,0.12,0.11388888888888889,1.45,0.8972222222222223,0.9944444444444445,0.74
83,0.32999999999999996,0.09444444444444444,1.52,0.9388888888888889,0.9833333333333333,0.7
84,0.51,0.19722222222222222,1.55,0.9694444444444444,0.9611111111111111,0.61
85,0.53,0.1527777777777778,1.58,0.9694444444444444,0.9277777777777778,0.58
86,0.71,0.14166666666666666,1.6300000000000001,0.9972222222222222,0.9361111111111111,0.61
87,0.8,0.15833333333333333,1.52,0.9916666666666667,0.9333333333333333,0.52
88,0.6799999999999999,0.26666666666666666,1.44,0.016666666666666666,0.9083333333333333,0.52
89,0.49000000000000005,0.26944444444444443,1.46,0.022222222222222223,0.8944444444444445,0.5
90,0.48,0.16111111111111112,1.41,0.025,0.8972222222222223,0.47000000000000003
91,0.77,0.1527777777777778,1.51,0.08055555555555556,0.9111111111111111,0.32
92,0.77,0.1527777777777778,1.3199999999999998,0.08888888888888889,0.9194444444444444,0.32999999999999996
93,0.64,0.15555555555555556,1.1099999999999999,0.125,0.9138888888888889,0.38
94,0.35,0.24444444444444444,1.16,0.09444444444444444,0.9,0.45999999999999996
95,0.33999999999999997,0.15555555555555556,1.28,0.15833333333333333,0.8944444444444445,0.47000000000000003
96,0.33999999999999997,0.21944444444444444,1.3599999999999999,0.14166666666666666,0.8861111111111111,0.51
97,0.5700000000000001,0.175,1.3900000000000001,0.14444444444444443,0.9027777777777778,0.6
98,0.6599999999999999,0.17777777777777778,1.2,0.175,0.9277777777777778,0.67
99,0.63,0.1361111111111111,1.2,0.1638888888888889,0.9222222222222223,0.73
100,0.6799999999999999,0.125,1.31,0.17777777777777778,0.9277777777777778,0.75
101,0.74,0.13055555555555556,1.16,0.175,0.925,0.77
102,0.74,0.12222222222222222,1.09,0.18888888888888888,0.9416666666666667,0.8300000000000001
103,0.9,0.21944444444444444,0.9099999999999999,0.175,0.9583333333333334,0.89
104,1.27,0.2388888888888889,0.8099999999999999,0.16944444444444445,0.9666666666666667,0.99
105,1.45,0.24722222222222223,0.8800000000000001,0.17222222222222222,0.9472222222222222,0.9800000000000001
106,1.3599999999999999,0.24166666666666667,0.74,0.1638888888888889,0.8888888888888888,1.0
107,1.3,0.2388888888888889,0.6900000000000001,0.15555555555555556,0.9166666666666666,1.0
108,1.29,0.24444444444444444,0.67,0.16111111111111112,0.9666666666666667,1.02
109,1.1400000000000001,0.23055555555555557,0.54,0.16666666666666666,0.9611111111111111,1.01
110,1.06,0.23055555555555557,0.39,0.16666666666666666,0.9666666666666667,1.02
111,0.9800000000000001,0.24722222222222223,0.22999999999999998,0.16111111111111112,0.9861111111111112,0.99
112,0.8800000000000001,0.24166666666666667,0.12,0.16944444444444445,0.9611111111111111,0.9400000000000001
113,0.89,0.24722222222222223,0.13,0.15833333333333333,0.21388888888888888,0.8400000000000001
114,0.6900000000000001,0.25,0.21000000000000002,0.19722222222222222,0.6027777777777777,0.72
115,0.44000000000000006,0.2388888888888889,0.29,0.3333333333333333,0.5694444444444444,0.55
116,0.53,0.20277777777777778,0.6,0.3638888888888889,0.5805555555555556,0.5
117,0.45999999999999996,0.18611111111111112,0.7,0.36666666666666664,0.5888888888888889,0.48
118,0.3,0.175,0.9400000000000001,0.3416666666666667,0.5833333333333334,0.44000000000000006
119,0.51,0.1527777777777778,1.1099999999999999,0.3333333333333333,0.6166666666666667,0.42000000000000004
120,0.52,0.14722222222222223,1.2,0.36666666666666664,0.6222222222222222,0.42000000000000004
121,0.6,0.12222222222222222,1.21,0.3888888888888889,0.6166666666666667,0.4
122,0.45,0.1527777777777778,1.19,0.35833333333333334,0.5861111111111111,0.38
123,0.62,0.11388888888888889,1.24,0.36666666666666664,0.5972222222222222,0.41
124,0.63,0.12222222222222222,1.3699999999999999,0.375,0.5833333333333334,0.55
125,0.6799999999999999,0.11666666666666667,1.3900000000000001,0.4027777777777778,0.5777777777777777,0.53
126,0.7,0.14444444444444443,1.56,0.4027777777777778,0.575,0.45999999999999996
127,0.97,0.06666666666666667,1.64,0.4027777777777778,0.5888888888888889,0.31
128,1.04,0.044444444444444446,1.7,0.45,0.5916666666666667,0.32
129,0.8,0.08333333333333333,1.72,0.4583333333333333,0.5916666666666667,0.25
130,1.1400000000000001,0.06111111111111111,1.73,0.4527777777777778,0.6083333333333333,0.27999999999999997
131,1.26,0.05277777777777778,1.6600000000000001,0.46111111111111114,0.6138888888888889,0.31
132,1.35,0.041666666666666664,1.6199999999999999,0.5222222222222223,0.6416666666666667,0.27
133,1.33,0.03888888888888889,1.6600000000000001,0.4527777777777778,0.6472222222222223,0.39
134,1.1400000000000001,0.019444444444444445,1.48,0.5111111111111111,0.6555555555555556,0.44000000000000006
135,0.6599999999999999,0.10555555555555556,1.3900000000000001,0.5222222222222223,0.6722222222222223,0.49000000000000005
136,1.47,0.25,1.42,0.5138888888888888,0.6722222222222223,0.6599999999999999
137,1.46,0.2611111111111111,1.3699999999999999,0.5388888888888889,0.6694444444444444,0.58
138,1.3900000000000001,0.25833333333333336,1.33,0.5416666666666666,0.6805555555555556,0.6
139,1.48,0.25555555555555554,1.24,0.5305555555555556,0.6888888888888889,0.6599999999999999
140,1.59,0.24722222222222223,1.29,0.6416666666666667,0.7166666666666667,0.62
141,1.69,0.25555555555555554,1.47,0.8444444444444444,0.7472222222222222,0.31
142,1.85,0.2638888888888889,1.34,0.8416666666666667,0.7944444444444444,0.48
143,1.89,0.2611111111111111,1.3900000000000001,0.7305555555555555,0.8388888888888889,0.42000000000000004
144,1.8399999999999999,0.26944444444444443,1.6,0.4666666666666667,0.8166666666666667,0.48
145,1.83,0.26944444444444443,1.5,0.5166666666666667,0.8472222222222222,0.47000000000000003
146,1.73,0.26944444444444443,1.44,0.7277777777777777,0.9055555555555556,0.42000000000000004
147,1.6300000000000001,0.2722222222222222,1.27,0.7916666666666666,0.8888888888888888,0.77
148,1.58,0.275,1.22,0.8,0.8944444444444445,0.61
149,1.5,0.26944444444444443,1.33,0.8027777777777778,0.8861111111111111,0.6
150,1.52,0.2722222222222222,1.0699999999999998,0.8055555555555556,0.9166666666666666,0.5900000000000001
151,1.42,0.2722222222222222,1.17,0.05555555555555555,0.95,1.16
152,1.34,0.26666666666666666,0.9099999999999999,0.05,0.9083333333333333,1.16
153,1.1199999999999999,0.2777777777777778,0.82,0.05,0.9055555555555556,1.08
154,1.06,0.2722222222222222,0.9,0.05555555555555555,0.8638888888888889,0.9800000000000001
155,1.02,0.26944444444444443,0.9,0.03611111111111111,0.8305555555555556,0.9199999999999999
156,0.97,0.25555555555555554,1.0,0.030555555555555555,0.8555555555555555,0.86
157,0.8800000000000001,0.26666666666666666,1.0699999999999998,0.041666666666666664,0.8611111111111112,0.8099999999999999
158,0.9800000000000001,0.26944444444444443,0.8,0.03333333333333333,0.8333333333333334,0.76
159,0.97,0.26666666666666666,1.03,0.041666666666666664,0.8222222222222222,0.79
160,1.0,0.2638888888888889,1.03,0.04722222222222222,0.8222222222222222,0.8
161,0.8699999999999999,0.2638888888888889,1.08,0.05555555555555555,0.8416666666666667,0.74
162,0.6,0.25277777777777777,1.01,0.05555555555555555,0.8555555555555555,0.75
163,0.64,0.24722222222222223,0.8800000000000001,0.04722222222222222,0.9027777777777778,0.71
