,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_smiling_eyes
0,46.0,180.0,63.0,157.0
1,34.0,178.0,60.0,132.0
2,46.0,203.0,58.0,152.0
3,42.0,219.0,69.0,140.0
4,36.0,184.0,64.0,121.0
5,40.0,189.0,63.0,123.0
6,43.0,183.0,76.0,151.0
7,41.0,185.0,55.0,153.0
8,36.0,191.0,65.0,159.0
9,46.0,183.0,58.0,144.0
10,36.0,194.0,75.0,150.0
11,41.0,211.0,72.0,168.0
12,41.0,215.0,66.0,144.0
13,38.0,169.0,62.0,150.0
14,41.0,194.0,59.0,140.0
15,38.0,213.0,64.0,131.0
16,32.0,207.0,69.0,154.0
17,28.0,181.0,56.0,127.0
18,38.0,194.0,68.0,151.0
19,47.0,194.0,76.0,153.0
20,42.0,181.0,72.0,154.0
21,42.0,217.0,56.0,145.0
22,47.0,222.0,62.0,144.0
23,45.0,218.0,56.0,135.0
24,47.0,242.0,74.0,162.0
25,45.0,205.0,59.0,156.0
26,51.0,202.0,63.0,127.0
27,41.0,206.0,56.0,149.0
28,39.0,225.0,71.0,144.0
29,36.0,200.0,65.0,186.0
30,31.0,209.0,62.0,166.0
31,53.0,227.0,62.0,166.0
32,47.0,238.0,61.0,152.0
33,33.0,209.0,60.0,149.0
34,54.0,218.0,67.0,173.0
35,48.0,186.0,68.0,152.0
36,45.0,194.0,68.0,169.0
37,39.0,216.0,66.0,139.0
38,37.0,236.0,59.0,149.0
39,40.0,207.0,66.0,133.0
40,41.0,192.0,68.0,153.0
41,34.0,217.0,62.0,134.0
42,39.0,189.0,79.0,146.0
43,43.0,198.0,71.0,149.0
44,46.0,210.0,64.0,142.0
45,38.0,189.0,46.0,127.0
46,44.0,200.0,73.0,177.0
47,47.0,197.0,59.0,144.0
48,42.0,207.0,51.0,138.0
49,39.0,178.0,54.0,142.0
50,52.0,188.0,83.0,177.0
51,50.0,206.0,65.0,153.0
52,42.0,268.0,61.0,155.0
53,35.0,229.0,74.0,169.0
54,54.0,204.0,67.0,131.0
55,34.0,254.0,61.0,168.0
56,47.0,225.0,64.0,144.0
57,40.0,235.0,64.0,157.0
58,38.0,206.0,64.0,141.0
59,54.0,223.0,69.0,156.0
60,40.0,217.0,46.0,134.0
61,45.0,236.0,67.0,176.0
62,52.0,219.0,69.0,172.0
63,55.0,206.0,57.0,149.0
64,44.0,183.0,62.0,139.0
65,39.0,216.0,62.0,149.0
66,60.0,214.0,63.0,163.0
67,43.0,227.0,62.0,148.0
68,47.0,225.0,70.0,161.0
69,49.0,218.0,58.0,149.0
70,50.0,212.0,63.0,160.0
71,41.0,195.0,55.0,149.0
72,51.0,191.0,55.0,167.0
73,47.0,234.0,66.0,162.0
74,47.0,231.0,54.0,155.0
75,40.0,272.0,79.0,175.0
76,39.0,238.0,61.0,157.0
77,51.0,223.0,58.0,151.0
78,54.0,244.0,78.0,153.0
79,47.0,266.0,76.0,153.0
80,32.0,224.0,62.0,139.0
81,44.0,253.0,69.0,145.0
82,41.0,265.0,72.0,157.0
83,25.0,229.0,84.0,128.0
84,42.0,244.0,89.0,150.0
85,50.0,221.0,81.0,158.0
86,45.0,245.0,69.0,170.0
87,44.0,257.0,58.0,166.0
88,46.0,245.0,83.0,181.0
89,40.0,251.0,71.0,161.0
90,41.0,255.0,82.0,158.0
91,38.0,249.0,62.0,138.0
92,67.0,250.0,60.0,145.0
93,49.0,266.0,61.0,176.0
94,58.0,219.0,67.0,168.0
95,57.0,234.0,91.0,151.0
96,42.0,235.0,84.0,168.0
97,43.0,261.0,75.0,200.0
98,44.0,249.0,71.0,205.0
99,34.0,246.0,64.0,158.0
100,51.0,245.0,64.0,184.0
101,39.0,237.0,80.0,156.0
102,39.0,240.0,75.0,148.0
103,46.0,258.0,68.0,173.0
104,42.0,222.0,79.0,143.0
105,54.0,204.0,62.0,161.0
106,52.0,205.0,82.0,146.0
107,50.0,226.0,78.0,141.0
108,53.0,216.0,61.0,149.0
109,39.0,248.0,69.0,151.0
110,45.0,212.0,71.0,161.0
111,46.0,258.0,72.0,167.0
112,44.0,269.0,68.0,170.0
113,54.0,274.0,80.0,179.0
114,53.0,282.0,68.0,158.0
115,42.0,257.0,66.0,192.0
116,35.0,259.0,70.0,167.0
117,49.0,230.0,74.0,151.0
118,57.0,220.0,79.0,157.0
119,55.0,228.0,75.0,164.0
120,54.0,232.0,60.0,165.0
121,48.0,247.0,69.0,166.0
122,54.0,256.0,66.0,137.0
123,48.0,245.0,71.0,176.0
124,55.0,274.0,84.0,178.0
125,62.0,256.0,60.0,153.0
126,50.0,220.0,86.0,155.0
127,37.0,260.0,74.0,170.0
128,52.0,256.0,65.0,164.0
129,50.0,281.0,72.0,162.0
130,36.0,245.0,69.0,157.0
131,40.0,224.0,86.0,166.0
132,52.0,266.0,74.0,190.0
133,44.0,256.0,64.0,159.0
134,39.0,253.0,72.0,156.0
135,54.0,260.0,63.0,164.0
136,59.0,287.0,85.0,146.0
137,47.0,223.0,73.0,167.0
138,50.0,244.0,78.0,161.0
139,54.0,246.0,66.0,166.0
140,49.0,233.0,65.0,143.0
141,47.0,240.0,84.0,162.0
142,42.0,247.0,79.0,149.0
143,36.0,239.0,73.0,168.0
144,49.0,260.0,71.0,164.0
145,46.0,267.0,72.0,156.0
146,49.0,270.0,81.0,155.0
147,34.0,243.0,92.0,171.0
148,43.0,269.0,74.0,145.0
149,45.0,268.0,74.0,172.0
150,47.0,254.0,62.0,180.0
151,36.0,251.0,67.0,162.0
152,56.0,297.0,85.0,162.0
153,49.0,259.0,59.0,161.0
154,42.0,248.0,71.0,145.0
155,46.0,268.0,71.0,177.0
156,47.0,228.0,72.0,184.0
157,44.0,245.0,71.0,156.0
158,45.0,277.0,71.0,162.0
159,42.0,241.0,66.0,196.0
160,50.0,238.0,75.0,152.0
161,37.0,272.0,73.0,163.0
162,49.0,265.0,71.0,181.0
163,46.0,245.0,52.0,158.0
164,48.0,257.0,71.0,169.0
165,41.0,204.0,82.0,161.0
166,39.0,241.0,86.0,148.0
167,61.0,281.0,81.0,153.0
168,55.0,273.0,87.0,179.0
169,37.0,270.0,86.0,169.0
170,48.0,254.0,76.0,169.0
171,58.0,251.0,63.0,170.0
172,41.0,331.0,86.0,178.0
173,52.0,323.0,72.0,177.0
174,40.0,275.0,72.0,169.0
175,49.0,266.0,78.0,165.0
176,42.0,283.0,84.0,176.0
177,44.0,253.0,80.0,158.0
178,56.0,259.0,70.0,172.0
179,49.0,276.0,72.0,162.0
180,53.0,235.0,88.0,164.0
181,54.0,256.0,67.0,182.0
182,59.0,262.0,72.0,162.0
183,41.0,289.0,78.0,171.0
184,50.0,258.0,71.0,176.0
185,52.0,284.0,80.0,183.0
186,41.0,320.0,76.0,147.0
187,57.0,304.0,95.0,152.0
188,51.0,252.0,60.0,150.0
189,49.0,274.0,92.0,182.0
190,47.0,270.0,76.0,140.0
191,63.0,247.0,70.0,186.0
192,41.0,302.0,87.0,199.0
193,54.0,249.0,78.0,168.0
194,54.0,247.0,70.0,186.0
195,52.0,257.0,81.0,163.0
196,62.0,279.0,73.0,180.0
197,52.0,285.0,93.0,196.0
198,64.0,278.0,87.0,209.0
199,48.0,261.0,84.0,190.0
200,41.0,274.0,88.0,202.0
