,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_mountside_ellijay
70,252.0,219.0,101.0,294.0,54.0,275.0,4.0,13.0,18.0,0.0
71,192.0,245.0,101.0,240.0,26.0,275.0,4.0,12.0,18.0,0.0
72,192.0,245.0,169.0,240.0,26.0,293.0,4.0,12.0,18.0,0.0
73,155.0,217.0,169.0,179.0,22.0,293.0,5.0,11.0,0.0,14.0
74,155.0,217.0,161.0,179.0,22.0,279.0,5.0,11.0,0.0,14.0
75,81.0,162.0,161.0,229.0,22.0,279.0,5.0,14.0,0.0,12.0
76,81.0,162.0,136.0,229.0,22.0,182.0,5.0,14.0,0.0,12.0
77,84.0,76.0,136.0,548.0,26.0,182.0,5.0,2.0,1.0,12.0
78,84.0,76.0,84.0,548.0,26.0,90.0,5.0,2.0,1.0,12.0
79,68.0,28.0,84.0,548.0,20.0,90.0,4.0,4.0,10.0,4.0
80,68.0,28.0,73.0,548.0,20.0,82.0,4.0,4.0,10.0,4.0
81,19.0,33.0,73.0,198.0,16.0,82.0,6.0,7.0,14.0,16.0
82,19.0,33.0,51.0,198.0,16.0,74.0,6.0,7.0,14.0,16.0
83,24.0,33.0,51.0,189.0,16.0,74.0,7.0,5.0,15.0,17.0
84,24.0,33.0,46.0,189.0,16.0,72.0,7.0,5.0,15.0,17.0
85,31.0,49.0,46.0,134.0,14.0,72.0,6.0,12.0,23.0,21.0
86,31.0,49.0,53.0,134.0,14.0,43.0,6.0,12.0,23.0,21.0
87,37.0,45.0,53.0,177.0,20.0,43.0,2.0,22.0,25.0,19.0
88,37.0,45.0,62.0,177.0,20.0,50.0,2.0,22.0,25.0,19.0
89,53.0,45.0,62.0,176.0,21.0,50.0,1.0,29.0,21.0,8.0
90,53.0,45.0,75.0,176.0,21.0,87.0,1.0,29.0,21.0,8.0
91,53.0,55.0,75.0,143.0,22.0,87.0,7.0,32.0,18.0,9.0
92,53.0,55.0,85.0,143.0,22.0,90.0,7.0,32.0,18.0,9.0
93,45.0,59.0,85.0,135.0,29.0,90.0,9.0,21.0,23.0,16.0
94,45.0,59.0,75.0,135.0,29.0,106.0,9.0,21.0,23.0,16.0
95,23.0,62.0,75.0,127.0,43.0,106.0,13.0,17.0,37.0,22.0
96,23.0,62.0,66.0,127.0,43.0,102.0,13.0,17.0,37.0,22.0
97,17.0,64.0,66.0,132.0,45.0,102.0,23.0,10.0,42.0,36.0
98,17.0,64.0,62.0,132.0,45.0,87.0,23.0,10.0,42.0,36.0
99,9.0,67.0,62.0,123.0,47.0,87.0,36.0,13.0,45.0,43.0
100,9.0,67.0,48.0,123.0,47.0,93.0,36.0,13.0,45.0,43.0
101,12.0,77.0,48.0,107.0,52.0,93.0,37.0,28.0,46.0,52.0
102,12.0,77.0,47.0,107.0,52.0,155.0,37.0,28.0,46.0,52.0
103,12.0,88.0,47.0,61.0,63.0,155.0,32.0,46.0,29.0,93.0
104,12.0,88.0,60.0,61.0,63.0,123.0,32.0,46.0,29.0,93.0
105,7.0,90.0,60.0,67.0,82.0,123.0,28.0,36.0,36.0,140.0
106,7.0,90.0,64.0,67.0,82.0,126.0,28.0,36.0,36.0,140.0
107,11.0,79.0,64.0,59.0,73.0,126.0,41.0,20.0,42.0,112.0
108,11.0,79.0,83.0,59.0,73.0,226.0,41.0,20.0,42.0,112.0
109,8.0,70.0,83.0,40.0,59.0,226.0,45.0,8.0,4.0,112.0
110,8.0,70.0,85.0,40.0,59.0,207.0,45.0,8.0,4.0,112.0
111,4.0,85.0,85.0,45.0,50.0,207.0,51.0,10.0,14.0,53.0
112,4.0,85.0,87.0,45.0,50.0,174.0,51.0,10.0,14.0,53.0
113,10.0,89.0,87.0,52.0,39.0,174.0,56.0,8.0,21.0,96.0
114,10.0,89.0,87.0,52.0,39.0,166.0,56.0,8.0,21.0,96.0
115,12.0,76.0,87.0,50.0,42.0,166.0,60.0,7.0,17.0,86.0
116,12.0,76.0,98.0,50.0,42.0,150.0,60.0,7.0,17.0,86.0
117,12.0,89.0,98.0,48.0,42.0,150.0,64.0,10.0,13.0,67.0
118,12.0,89.0,100.0,48.0,42.0,172.0,64.0,10.0,13.0,67.0
119,8.0,107.0,100.0,56.0,41.0,172.0,68.0,15.0,14.0,58.0
120,8.0,107.0,86.0,56.0,41.0,167.0,68.0,15.0,14.0,58.0
121,7.0,132.0,86.0,60.0,44.0,167.0,88.0,14.0,20.0,0.0
122,7.0,132.0,80.0,60.0,44.0,156.0,88.0,14.0,20.0,0.0
123,9.0,90.0,80.0,60.0,46.0,156.0,98.0,7.0,23.0,5.0
124,9.0,90.0,74.0,60.0,46.0,162.0,98.0,7.0,23.0,5.0
125,20.0,91.0,74.0,48.0,43.0,162.0,90.0,6.0,17.0,3.0
126,20.0,91.0,77.0,48.0,43.0,186.0,90.0,6.0,17.0,3.0
127,25.0,88.0,77.0,24.0,35.0,186.0,83.0,4.0,16.0,10.0
128,25.0,88.0,97.0,24.0,35.0,150.0,83.0,4.0,16.0,10.0
129,27.0,96.0,97.0,29.0,48.0,150.0,77.0,3.0,14.0,15.0
130,27.0,96.0,96.0,29.0,48.0,146.0,77.0,3.0,14.0,15.0
131,27.0,121.0,96.0,33.0,56.0,146.0,48.0,6.0,30.0,19.0
132,27.0,121.0,104.0,33.0,56.0,173.0,48.0,6.0,30.0,19.0
133,34.0,126.0,104.0,33.0,63.0,173.0,57.0,5.0,52.0,22.0
134,34.0,126.0,109.0,33.0,63.0,251.0,57.0,5.0,52.0,22.0
135,9.0,129.0,109.0,31.0,47.0,251.0,46.0,2.0,33.0,39.0
136,9.0,129.0,108.0,31.0,47.0,225.0,46.0,2.0,33.0,39.0
137,22.0,147.0,108.0,49.0,19.0,225.0,49.0,7.0,16.0,54.0
138,22.0,147.0,263.0,49.0,19.0,239.0,49.0,7.0,16.0,54.0
139,50.0,145.0,263.0,52.0,12.0,239.0,43.0,6.0,14.0,93.0
140,50.0,145.0,216.0,52.0,12.0,197.0,43.0,6.0,14.0,93.0
141,60.0,128.0,216.0,58.0,21.0,197.0,44.0,3.0,17.0,102.0
142,60.0,128.0,227.0,58.0,21.0,186.0,44.0,3.0,17.0,102.0
143,62.0,105.0,227.0,88.0,17.0,186.0,42.0,1.0,37.0,148.0
144,62.0,105.0,192.0,88.0,17.0,254.0,42.0,1.0,37.0,148.0
145,38.0,107.0,192.0,187.0,19.0,254.0,46.0,5.0,67.0,156.0
146,38.0,107.0,203.0,187.0,19.0,290.0,46.0,5.0,67.0,156.0
147,30.0,109.0,203.0,168.0,17.0,290.0,76.0,4.0,82.0,194.0
148,30.0,109.0,242.0,168.0,17.0,269.0,76.0,4.0,82.0,194.0
149,38.0,89.0,242.0,159.0,17.0,269.0,107.0,3.0,73.0,224.0
150,38.0,89.0,217.0,159.0,17.0,271.0,107.0,3.0,73.0,224.0
151,32.0,87.0,217.0,179.0,20.0,271.0,97.0,8.0,59.0,246.0
152,32.0,87.0,598.0,179.0,20.0,309.0,97.0,8.0,59.0,246.0
153,25.0,93.0,598.0,250.0,30.0,309.0,77.0,11.0,29.0,261.0
154,25.0,93.0,290.0,250.0,30.0,385.0,77.0,11.0,29.0,261.0
155,22.0,107.0,290.0,208.0,35.0,385.0,71.0,5.0,23.0,302.0
156,22.0,107.0,249.0,208.0,35.0,717.0,71.0,5.0,23.0,302.0
157,9.0,107.0,249.0,227.0,35.0,717.0,42.0,1.0,39.0,302.0
158,9.0,107.0,302.0,227.0,35.0,462.0,42.0,1.0,39.0,302.0
159,8.0,0.0,302.0,294.0,33.0,462.0,50.0,12.0,67.0,0.0
160,8.0,0.0,338.0,294.0,33.0,237.0,50.0,12.0,67.0,0.0
161,9.0,12.0,338.0,325.0,18.0,237.0,55.0,2.0,88.0,0.0
162,9.0,12.0,365.0,325.0,18.0,262.0,55.0,2.0,88.0,0.0
163,19.0,42.0,365.0,248.0,16.0,262.0,70.0,2.0,97.0,0.0
164,19.0,42.0,295.0,248.0,16.0,316.0,70.0,2.0,97.0,0.0
165,24.0,53.0,295.0,245.0,14.0,316.0,122.0,1.0,164.0,0.0
166,24.0,53.0,382.0,245.0,14.0,320.0,122.0,1.0,164.0,0.0
167,22.0,47.0,382.0,271.0,18.0,320.0,114.0,3.0,164.0,0.0
168,22.0,47.0,404.0,271.0,18.0,350.0,114.0,3.0,164.0,0.0
169,12.0,58.0,404.0,379.0,26.0,350.0,93.0,10.0,61.0,0.0
170,12.0,58.0,261.0,379.0,26.0,346.0,93.0,10.0,61.0,0.0
171,11.0,48.0,261.0,249.0,22.0,346.0,48.0,7.0,61.0,5.0
172,11.0,48.0,279.0,249.0,22.0,296.0,48.0,7.0,61.0,5.0
173,11.0,32.0,279.0,177.0,22.0,296.0,23.0,3.0,1.0,6.0
174,11.0,32.0,347.0,177.0,22.0,314.0,23.0,3.0,1.0,6.0
175,8.0,51.0,347.0,539.0,29.0,314.0,12.0,4.0,12.0,13.0
176,8.0,51.0,329.0,539.0,29.0,347.0,12.0,4.0,12.0,13.0
177,5.0,57.0,329.0,447.0,33.0,347.0,10.0,5.0,13.0,19.0
178,5.0,57.0,375.0,447.0,33.0,177.0,10.0,5.0,13.0,19.0
179,6.0,52.0,375.0,438.0,26.0,177.0,22.0,5.0,16.0,29.0
180,6.0,52.0,371.0,438.0,26.0,115.0,22.0,5.0,16.0,29.0
181,11.0,64.0,371.0,396.0,32.0,115.0,30.0,5.0,8.0,31.0
182,11.0,64.0,261.0,396.0,32.0,118.0,30.0,5.0,8.0,31.0
183,24.0,82.0,261.0,285.0,36.0,118.0,33.0,7.0,10.0,29.0
184,24.0,82.0,162.0,285.0,36.0,82.0,33.0,7.0,10.0,29.0
185,28.0,86.0,162.0,159.0,35.0,82.0,38.0,11.0,12.0,29.0
186,28.0,86.0,267.0,159.0,35.0,84.0,38.0,11.0,12.0,29.0
187,27.0,86.0,267.0,181.0,45.0,84.0,53.0,11.0,14.0,39.0
188,27.0,86.0,246.0,181.0,45.0,126.0,53.0,11.0,14.0,39.0
189,22.0,92.0,246.0,203.0,41.0,126.0,60.0,16.0,20.0,39.0
190,22.0,92.0,157.0,203.0,41.0,121.0,60.0,16.0,20.0,39.0
191,16.0,111.0,157.0,222.0,44.0,121.0,59.0,29.0,24.0,28.0
192,16.0,111.0,163.0,222.0,44.0,128.0,59.0,29.0,24.0,28.0
193,9.0,113.0,163.0,235.0,57.0,128.0,67.0,31.0,24.0,16.0
194,9.0,113.0,183.0,235.0,57.0,137.0,67.0,31.0,24.0,16.0
195,13.0,103.0,183.0,217.0,64.0,137.0,77.0,36.0,21.0,13.0
196,13.0,103.0,184.0,217.0,64.0,176.0,77.0,36.0,21.0,13.0
197,17.0,90.0,184.0,187.0,65.0,176.0,66.0,52.0,19.0,49.0
198,17.0,90.0,220.0,187.0,65.0,116.0,66.0,52.0,19.0,49.0
199,20.0,93.0,220.0,175.0,65.0,116.0,59.0,35.0,25.0,79.0
200,20.0,93.0,288.0,175.0,65.0,104.0,59.0,35.0,25.0,79.0
201,25.0,111.0,288.0,156.0,67.0,104.0,33.0,28.0,34.0,109.0
202,25.0,111.0,309.0,156.0,67.0,128.0,33.0,28.0,34.0,109.0
203,29.0,143.0,309.0,159.0,78.0,128.0,48.0,27.0,28.0,69.0
204,29.0,143.0,289.0,159.0,78.0,172.0,48.0,27.0,28.0,69.0
205,29.0,135.0,289.0,159.0,91.0,172.0,46.0,13.0,15.0,51.0
206,29.0,135.0,273.0,159.0,91.0,164.0,46.0,13.0,15.0,51.0
207,31.0,145.0,273.0,147.0,94.0,164.0,48.0,5.0,17.0,16.0
208,31.0,145.0,285.0,147.0,94.0,176.0,48.0,5.0,17.0,16.0
209,28.0,138.0,285.0,119.0,99.0,176.0,50.0,9.0,24.0,27.0
210,28.0,138.0,315.0,119.0,99.0,176.0,50.0,9.0,24.0,27.0
211,23.0,146.0,315.0,120.0,98.0,176.0,66.0,14.0,19.0,42.0
212,23.0,146.0,331.0,120.0,98.0,200.0,66.0,14.0,19.0,42.0
213,15.0,153.0,331.0,90.0,74.0,200.0,58.0,13.0,23.0,58.0
214,15.0,153.0,344.0,90.0,74.0,208.0,58.0,13.0,23.0,58.0
215,11.0,159.0,344.0,109.0,72.0,208.0,26.0,6.0,29.0,72.0
216,11.0,159.0,379.0,109.0,72.0,253.0,26.0,6.0,29.0,72.0
217,14.0,184.0,379.0,127.0,68.0,253.0,13.0,8.0,31.0,113.0
218,14.0,184.0,441.0,127.0,68.0,208.0,13.0,8.0,31.0,113.0
219,14.0,189.0,441.0,111.0,71.0,208.0,15.0,13.0,38.0,114.0
220,14.0,189.0,354.0,111.0,71.0,207.0,15.0,13.0,38.0,114.0
221,13.0,201.0,354.0,118.0,96.0,207.0,15.0,14.0,52.0,109.0
222,13.0,201.0,334.0,118.0,96.0,218.0,15.0,14.0,52.0,109.0
223,11.0,229.0,334.0,119.0,97.0,218.0,14.0,13.0,57.0,88.0
224,11.0,229.0,327.0,119.0,97.0,303.0,14.0,13.0,57.0,88.0
225,8.0,217.0,327.0,133.0,78.0,303.0,12.0,11.0,49.0,104.0
226,8.0,217.0,362.0,133.0,78.0,348.0,12.0,11.0,49.0,104.0
227,13.0,242.0,362.0,144.0,78.0,348.0,12.0,15.0,77.0,60.0
228,13.0,242.0,422.0,144.0,78.0,308.0,12.0,15.0,77.0,60.0
229,19.0,258.0,422.0,149.0,61.0,308.0,13.0,17.0,107.0,218.0
230,19.0,258.0,412.0,149.0,61.0,195.0,13.0,17.0,107.0,218.0
231,17.0,264.0,412.0,320.0,56.0,195.0,12.0,16.0,94.0,105.0
232,17.0,264.0,439.0,320.0,56.0,199.0,12.0,16.0,94.0,105.0
233,23.0,272.0,439.0,335.0,38.0,199.0,11.0,16.0,176.0,107.0
234,23.0,272.0,864.0,335.0,38.0,211.0,11.0,16.0,176.0,107.0
235,46.0,262.0,864.0,308.0,33.0,211.0,8.0,7.0,160.0,126.0
236,46.0,262.0,879.0,308.0,33.0,258.0,8.0,7.0,160.0,126.0
237,59.0,203.0,879.0,319.0,44.0,258.0,10.0,1.0,180.0,186.0
238,59.0,203.0,869.0,319.0,44.0,276.0,10.0,1.0,180.0,186.0
239,66.0,222.0,869.0,357.0,41.0,276.0,9.0,4.0,113.0,164.0
240,66.0,222.0,852.0,357.0,41.0,325.0,9.0,4.0,113.0,164.0
241,90.0,267.0,852.0,376.0,34.0,325.0,6.0,4.0,76.0,82.0
242,90.0,267.0,280.0,376.0,34.0,442.0,6.0,4.0,76.0,82.0
243,118.0,277.0,280.0,364.0,11.0,442.0,6.0,0.0,197.0,49.0
244,118.0,277.0,869.0,364.0,11.0,465.0,6.0,0.0,197.0,49.0
245,134.0,235.0,869.0,362.0,9.0,465.0,4.0,2.0,121.0,12.0
246,134.0,235.0,493.0,362.0,9.0,265.0,4.0,2.0,121.0,12.0
247,140.0,365.0,493.0,295.0,13.0,265.0,6.0,2.0,7.0,0.0
248,140.0,365.0,214.0,295.0,13.0,263.0,6.0,2.0,7.0,0.0
249,160.0,308.0,214.0,252.0,26.0,263.0,5.0,2.0,14.0,0.0
250,160.0,308.0,267.0,252.0,26.0,317.0,5.0,2.0,14.0,0.0
251,188.0,239.0,267.0,220.0,31.0,317.0,2.0,2.0,14.0,9.0
252,188.0,239.0,493.0,220.0,31.0,326.0,2.0,2.0,14.0,9.0
253,226.0,425.0,493.0,315.0,42.0,326.0,5.0,1.0,14.0,9.0
254,226.0,425.0,377.0,315.0,42.0,389.0,5.0,1.0,14.0,9.0
255,268.0,341.0,377.0,401.0,26.0,389.0,3.0,0.0,19.0,0.0
256,268.0,341.0,291.0,401.0,26.0,417.0,3.0,0.0,19.0,0.0
257,300.0,341.0,291.0,458.0,36.0,417.0,3.0,3.0,17.0,0.0
258,300.0,341.0,330.0,458.0,36.0,393.0,3.0,3.0,17.0,0.0
259,379.0,329.0,330.0,263.0,50.0,393.0,11.0,3.0,9.0,0.0
260,379.0,329.0,251.0,263.0,50.0,424.0,11.0,3.0,9.0,0.0
261,282.0,375.0,251.0,309.0,36.0,424.0,24.0,2.0,0.0,7.0
262,282.0,375.0,368.0,309.0,36.0,385.0,24.0,2.0,0.0,7.0
263,291.0,426.0,368.0,406.0,44.0,385.0,51.0,6.0,21.0,27.0
264,291.0,426.0,488.0,406.0,44.0,508.0,51.0,6.0,21.0,27.0
265,321.0,403.0,488.0,419.0,45.0,508.0,34.0,18.0,30.0,33.0
266,321.0,403.0,200.0,419.0,45.0,356.0,34.0,18.0,30.0,33.0
267,241.0,340.0,200.0,297.0,41.0,356.0,25.0,22.0,21.0,33.0
268,241.0,340.0,154.0,297.0,41.0,307.0,25.0,22.0,21.0,33.0
269,244.0,304.0,154.0,340.0,41.0,307.0,12.0,32.0,26.0,10.0
270,244.0,304.0,294.0,340.0,41.0,358.0,12.0,32.0,26.0,10.0
271,130.0,418.0,294.0,498.0,31.0,358.0,11.0,42.0,30.0,15.0
272,130.0,418.0,261.0,498.0,31.0,449.0,11.0,42.0,30.0,15.0
273,18.0,344.0,261.0,496.0,24.0,449.0,4.0,15.0,25.0,15.0
274,18.0,344.0,199.0,496.0,24.0,363.0,4.0,15.0,25.0,15.0
275,28.0,224.0,199.0,413.0,28.0,363.0,4.0,6.0,12.0,1.0
276,28.0,224.0,191.0,413.0,28.0,262.0,4.0,6.0,12.0,1.0
277,32.0,123.0,191.0,329.0,35.0,262.0,5.0,5.0,20.0,7.0
278,32.0,123.0,227.0,329.0,35.0,113.0,5.0,5.0,20.0,7.0
279,42.0,146.0,227.0,309.0,42.0,113.0,9.0,4.0,24.0,12.0
280,42.0,146.0,248.0,309.0,42.0,153.0,9.0,4.0,24.0,12.0
281,52.0,93.0,248.0,429.0,28.0,153.0,15.0,5.0,16.0,15.0
282,52.0,93.0,283.0,429.0,28.0,154.0,15.0,5.0,16.0,15.0
283,54.0,95.0,283.0,362.0,18.0,154.0,23.0,10.0,27.0,12.0
284,54.0,95.0,221.0,362.0,18.0,86.0,23.0,10.0,27.0,12.0
285,56.0,92.0,221.0,305.0,19.0,86.0,27.0,10.0,36.0,10.0
286,56.0,92.0,189.0,305.0,19.0,85.0,27.0,10.0,36.0,10.0
287,58.0,90.0,189.0,246.0,20.0,85.0,24.0,9.0,51.0,0.0
288,58.0,90.0,178.0,246.0,20.0,102.0,24.0,9.0,51.0,0.0
289,52.0,98.0,178.0,261.0,14.0,102.0,22.0,2.0,68.0,5.0
290,52.0,98.0,177.0,261.0,14.0,89.0,22.0,2.0,68.0,5.0
291,44.0,111.0,177.0,279.0,16.0,89.0,29.0,3.0,39.0,8.0
292,44.0,111.0,194.0,279.0,16.0,47.0,29.0,3.0,39.0,8.0
293,57.0,103.0,194.0,268.0,23.0,47.0,31.0,3.0,32.0,8.0
294,57.0,103.0,218.0,268.0,23.0,36.0,31.0,3.0,32.0,8.0
295,51.0,108.0,218.0,293.0,32.0,36.0,20.0,3.0,50.0,16.0
296,51.0,108.0,241.0,293.0,32.0,26.0,20.0,3.0,50.0,16.0
297,59.0,125.0,241.0,333.0,41.0,26.0,31.0,3.0,81.0,15.0
298,59.0,125.0,233.0,333.0,41.0,29.0,31.0,3.0,81.0,15.0
299,71.0,142.0,233.0,301.0,46.0,29.0,59.0,3.0,62.0,11.0
300,71.0,142.0,244.0,301.0,46.0,36.0,59.0,3.0,62.0,11.0
301,75.0,116.0,244.0,293.0,43.0,36.0,15.0,3.0,51.0,11.0
302,75.0,116.0,239.0,293.0,43.0,44.0,15.0,3.0,51.0,11.0
303,72.0,126.0,239.0,344.0,46.0,44.0,12.0,3.0,64.0,16.0
304,72.0,126.0,205.0,344.0,46.0,50.0,12.0,3.0,64.0,16.0
305,84.0,129.0,205.0,354.0,36.0,50.0,10.0,2.0,91.0,22.0
306,84.0,129.0,219.0,354.0,36.0,49.0,10.0,2.0,91.0,22.0
307,97.0,99.0,219.0,426.0,17.0,49.0,10.0,1.0,128.0,18.0
308,97.0,99.0,242.0,426.0,17.0,59.0,10.0,1.0,128.0,18.0
309,73.0,122.0,242.0,314.0,19.0,59.0,8.0,2.0,140.0,15.0
310,73.0,122.0,242.0,314.0,19.0,100.0,8.0,2.0,140.0,15.0
311,69.0,157.0,242.0,325.0,29.0,100.0,12.0,3.0,182.0,12.0
312,69.0,157.0,260.0,325.0,29.0,104.0,12.0,3.0,182.0,12.0
313,78.0,172.0,260.0,384.0,35.0,104.0,14.0,3.0,85.0,22.0
314,78.0,172.0,299.0,384.0,35.0,128.0,14.0,3.0,85.0,22.0
315,103.0,175.0,299.0,411.0,37.0,128.0,17.0,3.0,100.0,22.0
316,103.0,175.0,505.0,411.0,37.0,132.0,17.0,3.0,100.0,22.0
317,91.0,197.0,505.0,353.0,38.0,132.0,17.0,3.0,153.0,9.0
318,91.0,197.0,295.0,353.0,38.0,147.0,17.0,3.0,153.0,9.0
319,88.0,235.0,295.0,245.0,45.0,147.0,13.0,2.0,122.0,11.0
