,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_mountside_ellijay
320,88.0,235.0,258.0,245.0,45.0,153.0,13.0,2.0,122.0,11.0
321,100.0,213.0,258.0,222.0,57.0,153.0,13.0,2.0,78.0,23.0
322,100.0,213.0,276.0,222.0,57.0,169.0,13.0,2.0,78.0,23.0
323,127.0,224.0,276.0,207.0,66.0,169.0,14.0,1.0,81.0,28.0
324,127.0,224.0,357.0,207.0,66.0,140.0,14.0,1.0,81.0,28.0
325,187.0,231.0,357.0,310.0,70.0,140.0,14.0,3.0,73.0,16.0
326,187.0,231.0,384.0,310.0,70.0,229.0,14.0,3.0,73.0,16.0
327,197.0,215.0,384.0,311.0,74.0,229.0,21.0,6.0,82.0,14.0
328,197.0,215.0,245.0,311.0,74.0,188.0,21.0,6.0,82.0,14.0
329,284.0,196.0,245.0,367.0,65.0,188.0,18.0,6.0,107.0,11.0
330,284.0,196.0,289.0,367.0,65.0,181.0,18.0,6.0,107.0,11.0
331,444.0,227.0,289.0,249.0,64.0,181.0,21.0,4.0,100.0,0.0
332,444.0,227.0,308.0,249.0,64.0,236.0,21.0,4.0,100.0,0.0
333,115.0,264.0,308.0,278.0,60.0,236.0,27.0,7.0,95.0,0.0
334,115.0,264.0,293.0,278.0,60.0,244.0,27.0,7.0,95.0,0.0
335,135.0,331.0,293.0,232.0,60.0,244.0,17.0,7.0,103.0,0.0
336,135.0,331.0,308.0,232.0,60.0,335.0,17.0,7.0,103.0,0.0
337,214.0,178.0,308.0,242.0,49.0,335.0,14.0,3.0,106.0,0.0
338,214.0,178.0,572.0,242.0,49.0,362.0,14.0,3.0,106.0,0.0
339,222.0,165.0,572.0,345.0,42.0,362.0,11.0,3.0,117.0,0.0
340,222.0,165.0,348.0,345.0,42.0,302.0,11.0,3.0,117.0,0.0
341,248.0,223.0,348.0,158.0,14.0,302.0,17.0,1.0,119.0,0.0
342,248.0,223.0,534.0,158.0,14.0,327.0,17.0,1.0,119.0,0.0
343,250.0,205.0,534.0,142.0,17.0,327.0,24.0,3.0,117.0,0.0
344,250.0,205.0,542.0,142.0,17.0,369.0,24.0,3.0,117.0,0.0
345,291.0,129.0,542.0,117.0,27.0,369.0,23.0,5.0,125.0,0.0
346,291.0,129.0,425.0,117.0,27.0,616.0,23.0,5.0,125.0,0.0
347,254.0,100.0,425.0,121.0,40.0,616.0,12.0,0.0,174.0,0.0
348,254.0,100.0,383.0,121.0,40.0,397.0,12.0,0.0,174.0,0.0
349,281.0,125.0,383.0,107.0,30.0,397.0,4.0,2.0,0.0,11.0
350,281.0,125.0,339.0,107.0,30.0,419.0,4.0,2.0,0.0,11.0
351,393.0,163.0,339.0,137.0,16.0,419.0,20.0,3.0,7.0,11.0
352,393.0,163.0,421.0,137.0,16.0,433.0,20.0,3.0,7.0,11.0
353,581.0,106.0,421.0,204.0,18.0,433.0,28.0,4.0,11.0,2.0
354,581.0,106.0,349.0,204.0,18.0,364.0,28.0,4.0,11.0,2.0
355,239.0,116.0,349.0,219.0,6.0,364.0,79.0,7.0,15.0,13.0
356,239.0,116.0,303.0,219.0,6.0,316.0,79.0,7.0,15.0,13.0
357,247.0,103.0,303.0,198.0,9.0,316.0,42.0,7.0,0.0,12.0
358,247.0,103.0,243.0,198.0,9.0,316.0,42.0,7.0,0.0,12.0
359,227.0,170.0,243.0,198.0,12.0,316.0,5.0,22.0,13.0,11.0
360,227.0,170.0,292.0,198.0,12.0,346.0,5.0,22.0,13.0,11.0
361,51.0,190.0,292.0,83.0,15.0,346.0,8.0,26.0,11.0,14.0
362,51.0,190.0,287.0,83.0,15.0,376.0,8.0,26.0,11.0,14.0
363,38.0,170.0,287.0,98.0,21.0,376.0,7.0,13.0,8.0,16.0
364,38.0,170.0,325.0,98.0,21.0,348.0,7.0,13.0,8.0,16.0
365,39.0,181.0,325.0,181.0,22.0,348.0,3.0,1.0,8.0,17.0
366,39.0,181.0,456.0,181.0,22.0,351.0,3.0,1.0,8.0,17.0
367,49.0,168.0,456.0,199.0,24.0,351.0,11.0,1.0,10.0,0.0
368,49.0,168.0,417.0,199.0,24.0,353.0,11.0,1.0,10.0,0.0
369,47.0,157.0,417.0,173.0,31.0,353.0,11.0,1.0,18.0,0.0
370,47.0,157.0,392.0,173.0,31.0,334.0,11.0,1.0,18.0,0.0
371,33.0,148.0,392.0,156.0,42.0,334.0,11.0,2.0,34.0,0.0
372,33.0,148.0,300.0,156.0,42.0,293.0,11.0,2.0,34.0,0.0
373,28.0,112.0,300.0,121.0,40.0,293.0,7.0,4.0,57.0,7.0
374,28.0,112.0,248.0,121.0,40.0,273.0,7.0,4.0,57.0,7.0
375,38.0,109.0,248.0,75.0,37.0,273.0,8.0,6.0,63.0,13.0
376,38.0,109.0,155.0,75.0,37.0,309.0,8.0,6.0,63.0,13.0
377,57.0,102.0,155.0,87.0,35.0,309.0,10.0,6.0,64.0,29.0
378,57.0,102.0,153.0,87.0,35.0,331.0,10.0,6.0,64.0,29.0
379,99.0,100.0,153.0,58.0,35.0,331.0,14.0,3.0,79.0,31.0
380,99.0,100.0,153.0,58.0,35.0,435.0,14.0,3.0,79.0,31.0
381,72.0,98.0,153.0,53.0,46.0,435.0,18.0,2.0,22.0,13.0
382,72.0,98.0,104.0,53.0,46.0,511.0,18.0,2.0,22.0,13.0
383,62.0,98.0,104.0,40.0,56.0,511.0,18.0,2.0,49.0,23.0
384,62.0,98.0,90.0,40.0,56.0,355.0,18.0,2.0,49.0,23.0
385,65.0,103.0,90.0,39.0,71.0,355.0,23.0,4.0,39.0,58.0
386,65.0,103.0,89.0,39.0,71.0,335.0,23.0,4.0,39.0,58.0
387,63.0,123.0,89.0,22.0,80.0,335.0,29.0,5.0,54.0,58.0
388,63.0,123.0,99.0,22.0,80.0,270.0,29.0,5.0,54.0,58.0
389,55.0,138.0,99.0,22.0,89.0,270.0,28.0,2.0,100.0,22.0
390,55.0,138.0,110.0,22.0,89.0,208.0,28.0,2.0,100.0,22.0
391,35.0,165.0,110.0,32.0,104.0,208.0,31.0,4.0,62.0,22.0
392,35.0,165.0,105.0,32.0,104.0,135.0,31.0,4.0,62.0,22.0
393,30.0,184.0,105.0,27.0,99.0,135.0,44.0,3.0,60.0,7.0
394,30.0,184.0,114.0,27.0,99.0,182.0,44.0,3.0,60.0,7.0
395,45.0,189.0,114.0,17.0,96.0,182.0,37.0,2.0,68.0,7.0
396,45.0,189.0,133.0,17.0,96.0,160.0,37.0,2.0,68.0,7.0
397,39.0,188.0,133.0,20.0,85.0,160.0,35.0,3.0,57.0,1.0
398,39.0,188.0,72.0,20.0,85.0,113.0,35.0,3.0,57.0,1.0
399,33.0,189.0,72.0,42.0,75.0,113.0,37.0,2.0,75.0,25.0
400,33.0,189.0,36.0,42.0,75.0,156.0,37.0,2.0,75.0,25.0
401,30.0,181.0,36.0,55.0,79.0,156.0,39.0,2.0,95.0,29.0
402,30.0,181.0,33.0,55.0,79.0,151.0,39.0,2.0,95.0,29.0
403,29.0,175.0,33.0,49.0,65.0,151.0,37.0,4.0,107.0,33.0
404,29.0,175.0,44.0,49.0,65.0,137.0,37.0,4.0,107.0,33.0
405,26.0,217.0,44.0,43.0,63.0,137.0,33.0,5.0,67.0,34.0
406,26.0,217.0,42.0,43.0,63.0,159.0,33.0,5.0,67.0,34.0
407,33.0,198.0,42.0,50.0,54.0,159.0,31.0,4.0,197.0,51.0
408,33.0,198.0,54.0,50.0,54.0,251.0,31.0,4.0,197.0,51.0
409,33.0,226.0,54.0,46.0,48.0,251.0,43.0,7.0,156.0,81.0
410,33.0,226.0,54.0,46.0,48.0,224.0,43.0,7.0,156.0,81.0
411,36.0,234.0,54.0,30.0,39.0,224.0,44.0,8.0,126.0,119.0
412,36.0,234.0,61.0,30.0,39.0,198.0,44.0,8.0,126.0,119.0
413,47.0,188.0,61.0,35.0,33.0,198.0,43.0,9.0,127.0,125.0
414,47.0,188.0,97.0,35.0,33.0,232.0,43.0,9.0,127.0,125.0
415,62.0,204.0,97.0,52.0,26.0,232.0,50.0,9.0,137.0,112.0
416,62.0,204.0,64.0,52.0,26.0,303.0,50.0,9.0,137.0,112.0
417,57.0,193.0,64.0,59.0,32.0,303.0,45.0,4.0,125.0,175.0
418,57.0,193.0,83.0,59.0,32.0,188.0,45.0,4.0,125.0,175.0
419,62.0,197.0,83.0,75.0,34.0,188.0,50.0,5.0,164.0,177.0
420,62.0,197.0,98.0,75.0,34.0,243.0,50.0,5.0,164.0,177.0
421,46.0,189.0,98.0,107.0,40.0,243.0,62.0,9.0,177.0,129.0
422,46.0,189.0,149.0,107.0,40.0,201.0,62.0,9.0,177.0,129.0
423,53.0,192.0,149.0,107.0,27.0,201.0,61.0,7.0,111.0,103.0
424,53.0,192.0,126.0,107.0,27.0,246.0,61.0,7.0,111.0,103.0
425,104.0,214.0,126.0,71.0,19.0,246.0,67.0,6.0,123.0,130.0
426,104.0,214.0,196.0,71.0,19.0,242.0,67.0,6.0,123.0,130.0
427,78.0,231.0,196.0,81.0,26.0,242.0,94.0,8.0,169.0,135.0
428,78.0,231.0,188.0,81.0,26.0,235.0,94.0,8.0,169.0,135.0
429,73.0,222.0,188.0,69.0,39.0,235.0,105.0,7.0,232.0,178.0
430,73.0,222.0,181.0,69.0,39.0,173.0,105.0,7.0,232.0,178.0
431,106.0,194.0,181.0,81.0,49.0,173.0,135.0,6.0,231.0,343.0
432,106.0,194.0,214.0,81.0,49.0,153.0,135.0,6.0,231.0,343.0
433,161.0,223.0,214.0,111.0,47.0,153.0,113.0,1.0,242.0,181.0
434,161.0,223.0,302.0,111.0,47.0,159.0,113.0,1.0,242.0,181.0
435,102.0,300.0,302.0,141.0,52.0,159.0,86.0,12.0,248.0,19.0
436,102.0,300.0,303.0,141.0,52.0,265.0,86.0,12.0,248.0,19.0
437,170.0,241.0,303.0,175.0,54.0,265.0,2.0,7.0,239.0,0.0
438,170.0,241.0,348.0,175.0,54.0,151.0,2.0,7.0,239.0,0.0
439,204.0,261.0,348.0,179.0,62.0,151.0,17.0,8.0,222.0,0.0
440,204.0,261.0,418.0,179.0,62.0,170.0,17.0,8.0,222.0,0.0
441,174.0,348.0,418.0,198.0,59.0,170.0,19.0,8.0,0.0,0.0
442,174.0,348.0,280.0,198.0,59.0,83.0,19.0,8.0,0.0,0.0
443,165.0,356.0,280.0,186.0,57.0,83.0,14.0,6.0,0.0,4.0
444,165.0,356.0,343.0,186.0,57.0,101.0,14.0,6.0,0.0,4.0
445,206.0,327.0,343.0,177.0,27.0,101.0,13.0,8.0,7.0,4.0
446,206.0,327.0,375.0,177.0,27.0,154.0,13.0,8.0,7.0,4.0
447,177.0,327.0,375.0,209.0,6.0,154.0,14.0,18.0,8.0,0.0
448,177.0,327.0,375.0,209.0,6.0,80.0,14.0,18.0,8.0,0.0
449,205.0,176.0,375.0,190.0,8.0,80.0,7.0,18.0,9.0,0.0
450,205.0,176.0,380.0,190.0,8.0,31.0,7.0,18.0,9.0,0.0
451,248.0,184.0,380.0,73.0,13.0,31.0,7.0,0.0,0.0,0.0
452,248.0,184.0,367.0,73.0,13.0,39.0,7.0,0.0,0.0,0.0
453,183.0,345.0,367.0,24.0,16.0,39.0,9.0,0.0,0.0,0.0
454,183.0,345.0,287.0,24.0,16.0,77.0,9.0,0.0,0.0,0.0
455,192.0,335.0,287.0,35.0,23.0,77.0,12.0,26.0,0.0,0.0
456,192.0,335.0,275.0,35.0,23.0,81.0,12.0,26.0,0.0,0.0
457,86.0,224.0,275.0,27.0,22.0,81.0,12.0,21.0,1.0,0.0
458,86.0,224.0,289.0,27.0,22.0,86.0,12.0,21.0,1.0,0.0
459,74.0,281.0,289.0,11.0,28.0,86.0,3.0,18.0,10.0,0.0
460,74.0,281.0,290.0,11.0,28.0,91.0,3.0,18.0,10.0,0.0
461,66.0,279.0,290.0,12.0,32.0,91.0,7.0,12.0,11.0,0.0
462,66.0,279.0,337.0,12.0,32.0,110.0,7.0,12.0,11.0,0.0
463,65.0,299.0,337.0,24.0,34.0,110.0,5.0,6.0,3.0,0.0
464,65.0,299.0,347.0,24.0,34.0,109.0,5.0,6.0,3.0,0.0
465,42.0,246.0,347.0,41.0,45.0,109.0,8.0,6.0,10.0,0.0
466,42.0,246.0,429.0,41.0,45.0,164.0,8.0,6.0,10.0,0.0
467,42.0,156.0,429.0,43.0,44.0,164.0,15.0,5.0,28.0,3.0
468,42.0,156.0,830.0,43.0,44.0,206.0,15.0,5.0,28.0,3.0
469,16.0,101.0,830.0,49.0,35.0,206.0,18.0,2.0,25.0,6.0
470,16.0,101.0,279.0,49.0,35.0,96.0,18.0,2.0,25.0,6.0
471,24.0,95.0,279.0,40.0,38.0,96.0,16.0,1.0,26.0,7.0
472,24.0,95.0,423.0,40.0,38.0,94.0,16.0,1.0,26.0,7.0
473,36.0,104.0,423.0,48.0,37.0,94.0,14.0,2.0,19.0,8.0
474,36.0,104.0,436.0,48.0,37.0,112.0,14.0,2.0,19.0,8.0
475,43.0,86.0,436.0,61.0,30.0,112.0,6.0,3.0,3.0,14.0
476,43.0,86.0,459.0,61.0,30.0,175.0,6.0,3.0,3.0,14.0
477,45.0,87.0,459.0,66.0,27.0,175.0,2.0,6.0,6.0,24.0
478,45.0,87.0,283.0,66.0,27.0,139.0,2.0,6.0,6.0,24.0
479,30.0,111.0,283.0,84.0,27.0,139.0,4.0,7.0,9.0,57.0
480,30.0,111.0,462.0,84.0,27.0,85.0,4.0,7.0,9.0,57.0
481,31.0,117.0,462.0,114.0,33.0,85.0,5.0,6.0,10.0,41.0
482,31.0,117.0,483.0,114.0,33.0,89.0,5.0,6.0,10.0,41.0
483,40.0,117.0,483.0,124.0,35.0,89.0,4.0,8.0,13.0,34.0
484,40.0,117.0,268.0,124.0,35.0,108.0,4.0,8.0,13.0,34.0
485,28.0,117.0,268.0,199.0,47.0,108.0,3.0,6.0,18.0,45.0
486,28.0,117.0,271.0,199.0,47.0,154.0,3.0,6.0,18.0,45.0
487,11.0,90.0,271.0,151.0,58.0,154.0,3.0,4.0,17.0,84.0
488,11.0,90.0,443.0,151.0,58.0,170.0,3.0,4.0,17.0,84.0
489,13.0,95.0,443.0,139.0,59.0,170.0,7.0,4.0,23.0,92.0
490,13.0,95.0,482.0,139.0,59.0,106.0,7.0,4.0,23.0,92.0
491,13.0,100.0,482.0,102.0,80.0,106.0,11.0,2.0,32.0,108.0
492,13.0,100.0,438.0,102.0,80.0,66.0,11.0,2.0,32.0,108.0
493,6.0,91.0,438.0,85.0,47.0,66.0,9.0,2.0,35.0,101.0
494,6.0,91.0,366.0,85.0,47.0,80.0,9.0,2.0,35.0,101.0
495,11.0,96.0,366.0,100.0,46.0,80.0,3.0,3.0,21.0,119.0
496,11.0,96.0,238.0,100.0,46.0,108.0,3.0,3.0,21.0,119.0
497,10.0,90.0,238.0,112.0,40.0,108.0,4.0,3.0,16.0,138.0
498,10.0,90.0,267.0,112.0,40.0,105.0,4.0,3.0,16.0,138.0
499,10.0,73.0,267.0,113.0,40.0,105.0,5.0,3.0,22.0,167.0
500,10.0,73.0,331.0,113.0,40.0,125.0,5.0,3.0,22.0,167.0
501,16.0,81.0,331.0,105.0,49.0,125.0,6.0,3.0,58.0,185.0
502,16.0,81.0,331.0,105.0,49.0,132.0,6.0,3.0,58.0,185.0
503,18.0,64.0,331.0,113.0,50.0,132.0,12.0,4.0,52.0,195.0
504,18.0,64.0,278.0,113.0,50.0,130.0,12.0,4.0,52.0,195.0
505,22.0,43.0,278.0,88.0,59.0,130.0,16.0,5.0,39.0,207.0
506,22.0,43.0,323.0,88.0,59.0,127.0,16.0,5.0,39.0,207.0
507,23.0,56.0,323.0,95.0,74.0,127.0,14.0,3.0,32.0,209.0
508,23.0,56.0,341.0,95.0,74.0,140.0,14.0,3.0,32.0,209.0
509,17.0,85.0,341.0,146.0,69.0,140.0,19.0,2.0,15.0,156.0
510,17.0,85.0,369.0,146.0,69.0,71.0,19.0,2.0,15.0,156.0
511,22.0,108.0,369.0,146.0,75.0,71.0,25.0,3.0,20.0,138.0
512,22.0,108.0,399.0,146.0,75.0,73.0,25.0,3.0,20.0,138.0
513,21.0,106.0,399.0,96.0,78.0,73.0,27.0,2.0,24.0,78.0
514,21.0,106.0,351.0,96.0,78.0,89.0,27.0,2.0,24.0,78.0
515,14.0,109.0,351.0,134.0,107.0,89.0,26.0,1.0,32.0,57.0
516,14.0,109.0,366.0,134.0,107.0,93.0,26.0,1.0,32.0,57.0
517,16.0,111.0,366.0,111.0,100.0,93.0,28.0,6.0,18.0,149.0
518,16.0,111.0,358.0,111.0,100.0,93.0,28.0,6.0,18.0,149.0
519,35.0,125.0,358.0,84.0,98.0,93.0,24.0,4.0,24.0,131.0
520,35.0,125.0,357.0,84.0,98.0,118.0,24.0,4.0,24.0,131.0
521,36.0,113.0,357.0,137.0,50.0,118.0,21.0,2.0,27.0,89.0
522,36.0,113.0,562.0,137.0,50.0,110.0,21.0,2.0,27.0,89.0
523,24.0,104.0,562.0,131.0,31.0,110.0,23.0,6.0,8.0,77.0
524,24.0,104.0,552.0,131.0,31.0,121.0,23.0,6.0,8.0,77.0
525,31.0,92.0,552.0,102.0,25.0,121.0,22.0,4.0,11.0,0.0
526,31.0,92.0,562.0,102.0,25.0,171.0,22.0,4.0,11.0,0.0
527,32.0,77.0,562.0,92.0,15.0,171.0,33.0,2.0,21.0,0.0
528,32.0,77.0,591.0,92.0,15.0,151.0,33.0,2.0,21.0,0.0
529,43.0,118.0,591.0,146.0,15.0,151.0,42.0,4.0,21.0,0.0
530,43.0,118.0,609.0,146.0,15.0,157.0,42.0,4.0,21.0,0.0
531,28.0,92.0,609.0,147.0,21.0,157.0,22.0,2.0,20.0,0.0
532,28.0,92.0,692.0,147.0,21.0,259.0,22.0,2.0,20.0,0.0
533,28.0,85.0,692.0,144.0,28.0,259.0,8.0,1.0,22.0,0.0
534,28.0,85.0,688.0,144.0,28.0,375.0,8.0,1.0,22.0,0.0
535,26.0,67.0,688.0,140.0,33.0,375.0,5.0,3.0,11.0,0.0
536,26.0,67.0,495.0,140.0,33.0,237.0,5.0,3.0,11.0,0.0
537,28.0,71.0,495.0,143.0,38.0,237.0,6.0,2.0,1.0,0.0
538,28.0,71.0,376.0,143.0,38.0,260.0,6.0,2.0,1.0,0.0
539,27.0,80.0,376.0,163.0,10.0,260.0,9.0,0.0,21.0,0.0
540,27.0,80.0,644.0,163.0,10.0,358.0,9.0,0.0,21.0,0.0
541,43.0,81.0,644.0,173.0,9.0,358.0,8.0,0.0,24.0,19.0
542,43.0,81.0,644.0,173.0,9.0,461.0,8.0,0.0,24.0,19.0
543,69.0,81.0,644.0,191.0,17.0,461.0,8.0,0.0,23.0,0.0
544,69.0,81.0,541.0,191.0,17.0,469.0,8.0,0.0,23.0,0.0
545,91.0,54.0,541.0,220.0,22.0,469.0,1.0,5.0,18.0,0.0
546,91.0,54.0,560.0,220.0,22.0,489.0,1.0,5.0,18.0,0.0
547,69.0,47.0,560.0,235.0,34.0,489.0,31.0,5.0,13.0,2.0
548,69.0,47.0,734.0,235.0,34.0,479.0,31.0,5.0,13.0,2.0
549,128.0,48.0,734.0,176.0,34.0,479.0,20.0,0.0,8.0,20.0
550,128.0,48.0,594.0,176.0,34.0,509.0,20.0,0.0,8.0,20.0
551,104.0,33.0,594.0,172.0,14.0,509.0,19.0,1.0,9.0,20.0
552,104.0,33.0,566.0,172.0,14.0,798.0,19.0,1.0,9.0,20.0
553,105.0,17.0,566.0,240.0,12.0,798.0,16.0,6.0,21.0,0.0
554,105.0,17.0,769.0,240.0,12.0,377.0,16.0,6.0,21.0,0.0
555,104.0,20.0,769.0,148.0,8.0,377.0,14.0,9.0,21.0,6.0
556,104.0,20.0,1132.0,148.0,8.0,79.0,14.0,9.0,21.0,6.0
557,68.0,22.0,1132.0,150.0,9.0,79.0,12.0,9.0,0.0,13.0
558,68.0,22.0,1413.0,150.0,9.0,111.0,12.0,9.0,0.0,13.0
559,51.0,17.0,1413.0,97.0,8.0,111.0,14.0,14.0,0.0,13.0
560,51.0,17.0,1234.0,97.0,8.0,123.0,14.0,14.0,0.0,13.0
561,18.0,32.0,1234.0,71.0,6.0,123.0,8.0,9.0,0.0,0.0
562,18.0,32.0,956.0,71.0,6.0,142.0,8.0,9.0,0.0,0.0
563,8.0,56.0,956.0,65.0,5.0,142.0,5.0,4.0,8.0,6.0
564,8.0,56.0,654.0,65.0,5.0,125.0,5.0,4.0,8.0,6.0
565,17.0,46.0,654.0,33.0,13.0,125.0,7.0,2.0,12.0,21.0
566,17.0,46.0,508.0,33.0,13.0,132.0,7.0,2.0,12.0,21.0
567,24.0,36.0,508.0,24.0,16.0,132.0,10.0,3.0,12.0,18.0
568,24.0,36.0,523.0,24.0,16.0,122.0,10.0,3.0,12.0,18.0
569,35.0,37.0,523.0,35.0,20.0,122.0,15.0,4.0,27.0,26.0
570,35.0,37.0,481.0,35.0,20.0,119.0,15.0,4.0,27.0,26.0
571,37.0,42.0,481.0,45.0,23.0,119.0,13.0,6.0,35.0,25.0
572,37.0,42.0,418.0,45.0,23.0,96.0,13.0,6.0,35.0,25.0
573,27.0,51.0,418.0,48.0,31.0,96.0,7.0,7.0,40.0,22.0
574,27.0,51.0,306.0,48.0,31.0,79.0,7.0,7.0,40.0,22.0
575,13.0,58.0,306.0,28.0,26.0,79.0,8.0,5.0,40.0,26.0
576,13.0,58.0,279.0,28.0,26.0,90.0,8.0,5.0,40.0,26.0
577,12.0,60.0,279.0,30.0,26.0,90.0,16.0,4.0,15.0,43.0
578,12.0,60.0,218.0,30.0,26.0,82.0,16.0,4.0,15.0,43.0
579,10.0,56.0,218.0,28.0,24.0,82.0,15.0,5.0,27.0,37.0
580,10.0,56.0,245.0,28.0,24.0,96.0,15.0,5.0,27.0,37.0
581,10.0,60.0,245.0,26.0,29.0,96.0,10.0,5.0,44.0,18.0
582,10.0,60.0,245.0,26.0,29.0,152.0,10.0,5.0,44.0,18.0
583,9.0,71.0,245.0,19.0,38.0,152.0,5.0,3.0,65.0,60.0
584,9.0,71.0,206.0,19.0,38.0,121.0,5.0,3.0,65.0,60.0
585,7.0,65.0,206.0,12.0,40.0,121.0,6.0,2.0,93.0,60.0
586,7.0,65.0,221.0,12.0,40.0,130.0,6.0,2.0,93.0,60.0
587,7.0,71.0,221.0,20.0,44.0,130.0,6.0,3.0,87.0,0.0
588,7.0,71.0,224.0,20.0,44.0,159.0,6.0,3.0,87.0,0.0
589,9.0,88.0,224.0,35.0,46.0,159.0,9.0,3.0,97.0,1.0
590,9.0,88.0,210.0,35.0,46.0,200.0,9.0,3.0,97.0,1.0
591,10.0,93.0,210.0,42.0,44.0,200.0,14.0,4.0,35.0,26.0
592,10.0,93.0,232.0,42.0,44.0,204.0,14.0,4.0,35.0,26.0
593,9.0,92.0,232.0,37.0,31.0,204.0,5.0,3.0,47.0,22.0
594,9.0,92.0,264.0,37.0,31.0,206.0,5.0,3.0,47.0,22.0
595,7.0,81.0,264.0,38.0,42.0,206.0,4.0,1.0,62.0,20.0
596,7.0,81.0,272.0,38.0,42.0,243.0,4.0,1.0,62.0,20.0
597,6.0,86.0,272.0,44.0,55.0,243.0,3.0,0.0,53.0,28.0
598,6.0,86.0,235.0,44.0,55.0,250.0,3.0,0.0,53.0,28.0
599,12.0,96.0,235.0,70.0,39.0,250.0,4.0,0.0,0.0,38.0
600,12.0,96.0,237.0,70.0,39.0,241.0,4.0,0.0,0.0,38.0
601,12.0,73.0,237.0,92.0,21.0,241.0,8.0,1.0,28.0,26.0
602,12.0,73.0,271.0,92.0,21.0,219.0,8.0,1.0,28.0,26.0
603,10.0,68.0,271.0,95.0,24.0,219.0,12.0,2.0,14.0,35.0
604,10.0,68.0,372.0,95.0,24.0,245.0,12.0,2.0,14.0,35.0
605,9.0,73.0,372.0,153.0,22.0,245.0,9.0,3.0,18.0,41.0
606,9.0,73.0,422.0,153.0,22.0,277.0,9.0,3.0,18.0,41.0
607,10.0,81.0,422.0,139.0,23.0,277.0,10.0,4.0,18.0,36.0
608,10.0,81.0,456.0,139.0,23.0,295.0,10.0,4.0,18.0,36.0
609,10.0,81.0,456.0,139.0,23.0,295.0,10.0,4.0,18.0,36.0
610,8.0,91.0,456.0,97.0,32.0,295.0,11.0,4.0,26.0,41.0
611,8.0,91.0,474.0,97.0,32.0,276.0,11.0,4.0,26.0,41.0
612,10.0,105.0,474.0,115.0,40.0,276.0,11.0,4.0,54.0,38.0
613,10.0,105.0,336.0,115.0,40.0,230.0,11.0,4.0,54.0,38.0
614,13.0,113.0,336.0,126.0,48.0,230.0,11.0,3.0,44.0,51.0
615,13.0,113.0,343.0,126.0,48.0,152.0,11.0,3.0,44.0,51.0
616,20.0,142.0,343.0,145.0,50.0,152.0,9.0,1.0,42.0,78.0
617,20.0,142.0,367.0,145.0,50.0,237.0,9.0,1.0,42.0,78.0
618,29.0,184.0,367.0,162.0,40.0,237.0,3.0,1.0,13.0,133.0
619,29.0,184.0,543.0,162.0,40.0,107.0,3.0,1.0,13.0,133.0
620,39.0,177.0,543.0,164.0,35.0,107.0,7.0,1.0,15.0,85.0
621,39.0,177.0,554.0,164.0,35.0,90.0,7.0,1.0,15.0,85.0
622,64.0,184.0,554.0,238.0,44.0,90.0,16.0,1.0,26.0,74.0
623,64.0,184.0,536.0,238.0,44.0,72.0,16.0,1.0,26.0,74.0
624,52.0,159.0,536.0,244.0,63.0,72.0,13.0,9.0,56.0,115.0
625,52.0,159.0,523.0,244.0,63.0,117.0,13.0,9.0,56.0,115.0
626,54.0,155.0,523.0,156.0,69.0,117.0,12.0,6.0,77.0,0.0
627,54.0,155.0,444.0,156.0,69.0,112.0,12.0,6.0,77.0,0.0
628,60.0,171.0,444.0,161.0,69.0,112.0,15.0,3.0,130.0,0.0
629,60.0,171.0,570.0,161.0,69.0,86.0,15.0,3.0,130.0,0.0
630,64.0,153.0,570.0,335.0,95.0,86.0,27.0,3.0,136.0,0.0
631,64.0,153.0,635.0,335.0,95.0,84.0,27.0,3.0,136.0,0.0
632,58.0,116.0,635.0,343.0,92.0,84.0,27.0,2.0,159.0,0.0
633,58.0,116.0,696.0,343.0,92.0,148.0,27.0,2.0,159.0,0.0
634,64.0,109.0,696.0,277.0,113.0,148.0,8.0,2.0,83.0,18.0
635,64.0,109.0,473.0,277.0,113.0,18.0,8.0,2.0,83.0,18.0
636,83.0,103.0,473.0,301.0,159.0,18.0,4.0,3.0,8.0,48.0
637,83.0,103.0,478.0,301.0,159.0,48.0,4.0,3.0,8.0,48.0
638,106.0,101.0,478.0,354.0,176.0,48.0,5.0,8.0,0.0,78.0
639,106.0,101.0,657.0,354.0,176.0,77.0,5.0,8.0,0.0,78.0
640,121.0,114.0,657.0,375.0,221.0,77.0,12.0,21.0,0.0,0.0
641,121.0,114.0,599.0,375.0,221.0,108.0,12.0,21.0,0.0,0.0
642,136.0,165.0,599.0,349.0,138.0,108.0,11.0,4.0,0.0,0.0
643,136.0,165.0,530.0,349.0,138.0,50.0,11.0,4.0,0.0,0.0
644,120.0,189.0,530.0,338.0,99.0,50.0,19.0,0.0,1.0,0.0
645,120.0,189.0,1125.0,338.0,99.0,71.0,19.0,0.0,1.0,0.0
646,209.0,82.0,1125.0,259.0,133.0,71.0,28.0,0.0,16.0,0.0
