,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-hydro
87,3657.0,1602.0,3.0,3732.0,227.0,3140.0,2661.0
88,3788.0,1566.0,3.0,3739.0,222.0,3140.0,2667.0
89,3852.0,1576.0,3.0,3737.0,219.0,3141.0,2638.0
90,3921.0,1577.0,3.0,3702.0,220.0,3141.0,2603.0
91,3916.0,1582.0,3.0,3704.0,228.0,3141.0,2633.0
92,3906.0,1555.0,3.0,3714.0,229.0,3142.0,2635.0
93,3904.0,1545.0,3.0,3718.0,231.0,3141.0,2640.0
94,3943.0,1551.0,3.0,3733.0,217.0,3141.0,2636.0
95,3938.0,1583.0,3.0,3743.0,213.0,3142.0,2652.0
96,4031.0,1609.0,3.0,3748.0,210.0,3143.0,2615.0
97,4043.0,1604.0,3.0,3722.0,211.0,3142.0,2604.0
98,4117.0,1638.0,3.0,3727.0,215.0,3142.0,2563.0
99,4147.0,1635.0,3.0,3723.0,213.0,3142.0,2565.0
100,4152.0,1656.0,3.0,3721.0,213.0,3141.0,2597.0
101,4132.0,1640.0,3.0,3722.0,213.0,3143.0,2588.0
102,4125.0,1663.0,3.0,3711.0,214.0,3141.0,2621.0
103,4147.0,1655.0,3.0,3698.0,216.0,3141.0,2635.0
104,4147.0,1655.0,3.0,3698.0,216.0,3141.0,2635.0
105,4234.0,1665.0,3.0,3732.0,210.0,3141.0,2621.0
106,4268.0,1668.0,3.0,3747.0,209.0,3141.0,2565.0
107,4250.0,1664.0,3.0,3779.0,212.0,3142.0,2584.0
108,4270.0,1648.0,3.0,3805.0,212.0,3143.0,2591.0
109,4274.0,1631.0,3.0,3826.0,218.0,3142.0,2737.0
110,4301.0,1648.0,3.0,3854.0,212.0,3140.0,2849.0
111,4318.0,1643.0,3.0,3840.0,208.0,3142.0,2900.0
112,4420.0,1636.0,3.0,3786.0,202.0,3141.0,2891.0
113,4497.0,1651.0,3.0,3804.0,209.0,3142.0,2903.0
114,4522.0,1682.0,3.0,3843.0,210.0,3141.0,2884.0
115,4499.0,1699.0,3.0,3873.0,212.0,3141.0,2965.0
116,4546.0,1704.0,3.0,3899.0,212.0,3140.0,2987.0
117,4596.0,1722.0,3.0,3924.0,211.0,3141.0,3036.0
118,4646.0,1735.0,3.0,3917.0,210.0,3142.0,3041.0
119,4657.0,1743.0,3.0,3915.0,209.0,3143.0,3036.0
120,4677.0,1741.0,3.0,3908.0,210.0,3142.0,3048.0
121,4653.0,1751.0,3.0,3968.0,212.0,3142.0,3169.0
122,4655.0,1768.0,3.0,3950.0,214.0,3143.0,3268.0
123,4697.0,1763.0,3.0,3913.0,216.0,3141.0,3315.0
124,4722.0,1778.0,3.0,3910.0,212.0,3141.0,3361.0
125,4737.0,1791.0,3.0,3964.0,211.0,3142.0,3408.0
126,4719.0,1810.0,19.0,3990.0,209.0,3141.0,3411.0
127,4716.0,1827.0,56.0,3961.0,217.0,3141.0,3387.0
128,4715.0,1821.0,55.0,3941.0,214.0,3141.0,3346.0
129,4681.0,1838.0,56.0,3932.0,218.0,3141.0,3388.0
130,4653.0,1822.0,55.0,3928.0,216.0,3143.0,3351.0
131,4639.0,1835.0,56.0,3926.0,214.0,3142.0,3381.0
132,4540.0,1846.0,56.0,3921.0,213.0,3141.0,3350.0
133,4341.0,1829.0,55.0,3955.0,213.0,3142.0,3342.0
134,4310.0,1842.0,56.0,3928.0,211.0,3141.0,3293.0
135,4258.0,1852.0,56.0,3938.0,214.0,3138.0,3315.0
136,4195.0,1863.0,56.0,3954.0,213.0,3139.0,3347.0
137,4107.0,1870.0,56.0,3963.0,213.0,3138.0,3357.0
