,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_henry
0,54.0,123.0,53.0,25.0,2.0,53.0,52.0,6.0,53.0,177.0
1,75.0,115.0,52.0,44.0,3.0,52.0,47.0,10.0,77.0,202.0
2,75.0,115.0,52.0,44.0,3.0,52.0,47.0,10.0,77.0,202.0
3,88.0,124.0,51.0,54.0,2.0,63.0,48.0,8.0,83.0,189.0
4,88.0,124.0,51.0,54.0,2.0,63.0,48.0,8.0,83.0,189.0
5,99.0,131.0,62.0,52.0,3.0,67.0,43.0,12.0,74.0,151.0
6,99.0,131.0,62.0,52.0,3.0,67.0,43.0,12.0,74.0,151.0
7,108.0,113.0,63.0,53.0,3.0,26.0,42.0,32.0,87.0,166.0
8,108.0,113.0,63.0,53.0,3.0,26.0,42.0,32.0,87.0,166.0
9,109.0,111.0,67.0,44.0,3.0,42.0,35.0,40.0,0.0,215.0
10,109.0,111.0,67.0,44.0,3.0,42.0,35.0,40.0,0.0,215.0
11,122.0,124.0,72.0,48.0,2.0,37.0,42.0,59.0,0.0,220.0
12,122.0,124.0,72.0,48.0,2.0,37.0,42.0,59.0,0.0,220.0
13,139.0,131.0,72.0,56.0,1.0,35.0,45.0,53.0,6.0,203.0
14,139.0,131.0,72.0,56.0,1.0,35.0,45.0,53.0,6.0,203.0
