,traffic_absolute_speed
0,50.33
1,43.49
2,53.43
3,50.33
4,53.43
5,53.43
6,50.33
7,53.43
8,53.43
9,50.33
10,54.05
11,54.05
12,54.05
13,54.05
14,54.05
15,54.05
16,54.05
17,54.05
18,54.05
19,54.05
20,54.05
21,54.05
22,54.05
23,54.05
24,54.05
25,54.05
26,54.05
27,54.05
28,55.92
29,55.92
30,55.92
31,55.92
32,16.15
33,16.15
34,16.15
35,16.15
36,7.45
37,7.45
38,8.07
39,8.07
40,7.45
41,12.42
42,12.42
43,11.8
44,27.34
45,27.34
46,27.34
47,27.34
48,32.93
49,32.93
50,32.93
51,32.93
52,32.93
53,32.93
54,30.44
55,30.44
56,30.44
57,30.44
58,29.2
59,33.55
60,29.2
61,18.64
62,18.64
63,18.64
64,31.68
65,31.68
66,27.34
67,33.55
68,27.34
69,27.34
70,49.7
71,49.7
72,49.7
73,49.7
74,49.7
75,49.08
76,49.08
77,49.08
78,49.08
79,54.05
80,54.05
81,54.05
82,56.54
83,56.54
84,56.54
85,56.54
86,56.54
87,56.54
88,56.54
89,56.54
90,56.54
91,56.54
92,56.54
93,56.54
94,56.54
95,56.54
96,56.54
97,56.54
98,56.54
99,55.3
100,55.3
101,55.3
102,55.3
103,45.36
104,45.36
105,45.36
106,45.36
107,8.07
108,8.07
109,8.07
110,8.07
111,11.18
112,11.18
113,11.18
114,11.18
115,39.14
116,11.18
117,39.14
118,39.14
119,21.12
120,42.87
121,21.12
122,30.44
123,31.68
124,31.68
125,30.44
126,31.68
127,31.68
128,29.2
129,27.96
130,27.96
131,14.29
132,27.34
133,27.34
134,14.29
135,27.34
136,31.06
137,29.2
138,29.2
139,36.66
140,40.38
141,36.66
142,40.38
143,40.38
144,48.46
145,48.46
146,48.46
147,48.46
148,51.57
149,51.57
150,51.57
151,51.57
152,52.19
153,52.19
154,52.19
155,52.19
156,53.43
157,53.43
158,53.43
159,53.43
160,53.43
161,53.43
162,53.43
163,53.43
164,53.43
165,53.43
166,53.43
167,53.43
168,53.43
169,53.43
170,53.43
171,53.43
172,53.43
173,53.43
174,53.43
175,53.43
176,19.26
177,19.26
178,19.26
179,19.26
180,19.26
181,10.56
182,10.56
183,10.56
184,32.93
185,27.34
186,32.93
187,32.93
188,27.34
189,34.79
190,34.79
191,44.73
192,34.79
193,36.03
194,21.12
195,36.03
196,19.26
197,19.26
198,19.26
199,19.26
200,19.26
201,19.26
202,19.26
203,10.56
204,10.56
205,8.69
206,8.69
207,8.69
208,8.69
209,6.83
210,10.56
211,10.56
212,11.8
213,10.56
214,11.8
215,11.8
216,11.8
217,39.14
218,39.14
219,39.14
220,39.14
221,52.19
222,49.08
223,49.08
224,52.19
225,51.57
226,51.57
227,49.7
228,49.7
229,49.7
230,51.57
231,51.57
232,51.57
233,51.57
234,51.57
235,51.57
236,51.57
237,51.57
238,51.57
239,51.57
240,51.57
241,51.57
242,51.57
243,51.57
244,51.57
245,51.57
246,51.57
247,51.57
248,55.92
249,55.92
250,55.92
251,57.16
252,55.92
253,59.03
254,59.03
255,59.03
256,55.92
257,54.68
258,55.92
259,55.92
260,51.57
261,54.68
262,51.57
263,51.57
264,37.9
265,42.25
266,37.9
267,37.9
268,31.68
269,37.9
270,31.68
271,31.68
272,21.12
273,21.12
274,22.36
275,21.12
276,29.82
277,29.82
278,22.99
279,27.96
280,27.96
281,20.5
282,27.96
283,20.5
284,20.5
285,29.2
286,32.93
287,29.2
288,49.08
289,49.08
290,47.22
291,49.08
292,51.57
293,47.22
294,51.57
295,51.57
296,48.46
297,48.46
298,45.36
299,45.36
300,48.46
301,45.36
302,45.36
303,45.36
304,45.36
305,45.36
306,45.36
307,45.36
308,45.36
309,45.36
310,45.36
311,45.36
312,45.36
313,45.36
314,45.36
315,45.36
316,46.6
317,46.6
318,46.6
319,46.6
320,52.81
321,52.81
322,52.81
323,52.81
324,55.92
325,55.92
326,55.92
327,55.92
328,47.84
329,47.84
330,47.84
331,47.84
332,52.19
333,49.7
334,49.7
335,49.7
336,52.19
337,52.19
338,52.19
339,52.19
340,50.95
341,50.95
342,50.95
343,50.95
344,50.95
345,50.33
346,40.38
347,40.38
348,50.33
349,54.05
350,54.05
351,54.05
352,54.05
353,54.05
354,53.43
355,50.33
356,53.43
357,53.43
358,52.81
359,49.7
360,49.7
361,49.7
362,55.92
363,55.92
364,50.33
365,50.33
366,50.33
367,57.16
368,50.33
369,52.81
370,52.81
371,55.3
372,52.81
373,55.3
374,55.3
375,55.3
376,55.3
377,55.3
378,55.3
379,55.3
380,55.3
381,55.3
382,55.3
383,55.3
384,55.3
385,55.3
386,55.3
387,55.3
388,53.43
389,53.43
390,53.43
391,53.43
392,35.41
393,35.41
394,35.41
395,35.41
396,9.32
397,9.32
398,9.32
399,9.32
400,14.91
401,14.91
402,14.91
403,14.91
404,14.91
405,14.91
406,49.08
407,46.6
408,49.08
409,46.6
410,43.49
411,43.49
412,43.49
413,43.49
414,32.31
415,32.31
416,32.31
417,35.41
418,25.47
419,25.47
420,25.47
421,41.63
422,31.06
423,31.06
424,41.63
425,27.96
426,27.96
427,27.96
428,27.96
429,33.55
430,37.9
431,37.9
432,37.9
433,37.9
434,52.81
435,50.33
436,50.33
437,54.68
438,47.84
439,47.84
440,54.68
441,47.22
442,47.84
443,47.22
444,47.22
445,47.22
446,47.22
447,47.22
448,47.22
449,47.22
450,47.22
451,47.22
452,47.22
453,47.22
454,47.22
455,47.22
456,47.22
457,47.22
458,47.22
459,47.22
460,44.73
461,44.73
462,44.73
463,44.73
464,19.26
465,19.26
466,19.26
467,19.26
468,9.32
469,9.32
470,9.32
471,9.32
472,9.94
473,29.2
474,29.2
475,29.2
476,29.2
477,49.7
478,49.7
479,49.7
480,50.95
481,41.01
482,41.01
483,41.01
484,41.01
485,29.2
486,29.2
487,29.2
488,29.2
489,36.03
490,26.71
491,26.71
492,26.71
493,26.71
494,26.71
495,26.71
496,26.71
497,27.34
498,27.34
499,27.34
500,27.34
501,27.34
502,45.98
503,35.41
504,45.98
505,47.22
506,47.22
507,47.22
508,47.22
509,47.22
510,47.22
511,49.08
512,53.43
513,53.43
514,53.43
515,39.76
516,39.76
517,39.76
518,39.76
519,39.76
520,39.76
521,39.76
522,39.76
523,39.76
524,39.76
525,39.76
526,39.76
527,39.76
528,39.76
529,39.76
530,39.76
531,39.76
532,54.68
533,54.68
534,54.68
535,54.68
536,54.68
537,19.26
538,54.68
539,19.26
540,10.56
541,10.56
542,8.69
543,14.29
544,14.29
545,21.74
546,21.74
547,42.87
548,21.74
549,37.28
550,42.87
551,44.11
552,44.11
553,37.28
554,46.6
555,44.11
556,44.11
557,46.6
558,44.11
559,46.6
560,22.36
561,22.36
562,22.36
563,22.36
564,22.36
565,39.76
566,39.76
567,39.76
568,39.76
569,27.96
570,27.96
571,27.96
572,27.96
573,27.96
574,49.08
575,49.08
576,49.08
577,49.08
578,51.57
579,51.57
580,50.33
581,51.57
582,53.43
583,53.43
584,50.33
585,50.33
586,49.08
587,49.08
588,49.08
589,49.08
590,49.08
591,49.08
592,49.08
593,49.08
594,49.08
595,49.08
596,49.08
597,49.08
598,49.08
599,49.08
