,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
167,12.0,11.0,13.0,12.0
168,11.0,12.0,14.0,12.0
169,11.0,12.0,13.0,12.0
170,11.0,12.0,13.0,11.0
171,11.0,12.0,13.0,11.0
172,12.0,12.0,12.0,11.0
173,11.0,12.0,14.0,13.0
174,11.0,12.0,14.0,13.0
175,11.0,13.0,13.0,13.0
176,11.0,12.0,13.0,13.0
177,11.0,12.0,14.0,12.0
178,11.0,12.0,13.0,12.0
179,11.0,12.0,13.0,11.0
180,11.0,12.0,13.0,11.0
181,11.0,12.0,13.0,13.0
182,11.0,11.0,13.0,13.0
183,11.0,11.0,14.0,13.0
184,11.0,11.0,14.0,12.0
185,11.0,11.0,14.0,13.0
186,11.0,11.0,13.0,12.0
187,11.0,11.0,14.0,14.0
188,11.0,12.0,15.0,14.0
189,11.0,12.0,13.0,12.0
190,11.0,11.0,12.0,12.0
191,11.0,11.0,12.0,12.0
192,11.0,11.0,13.0,12.0
193,11.0,11.0,13.0,12.0
194,11.0,12.0,14.0,13.0
195,11.0,11.0,13.0,12.0
196,11.0,11.0,14.0,13.0
197,11.0,11.0,13.0,12.0
198,11.0,11.0,15.0,13.0
199,11.0,12.0,13.0,13.0
200,11.0,12.0,13.0,12.0
201,11.0,12.0,13.0,12.0
202,11.0,12.0,13.0,12.0
203,11.0,11.0,13.0,12.0
204,11.0,11.0,14.0,13.0
205,11.0,11.0,19.0,16.0
206,11.0,11.0,17.0,15.0
207,11.0,11.0,15.0,13.0
208,11.0,12.0,18.0,14.0
209,11.0,12.0,14.0,12.0
210,11.0,12.0,14.0,12.0
211,11.0,12.0,15.0,13.0
212,11.0,11.0,15.0,14.0
213,11.0,12.0,14.0,13.0
214,11.0,12.0,13.0,13.0
215,11.0,12.0,13.0,13.0
216,11.0,12.0,13.0,13.0
217,11.0,11.0,16.0,14.0
218,11.0,11.0,16.0,14.0
219,11.0,11.0,16.0,14.0
220,11.0,12.0,16.0,13.0
221,11.0,12.0,14.0,14.0
222,11.0,12.0,15.0,14.0
223,11.0,11.0,16.0,15.0
224,11.0,11.0,17.0,15.0
225,11.0,12.0,16.0,15.0
226,12.0,13.0,14.0,15.0
227,11.0,11.0,14.0,16.0
228,15.0,15.0,15.0,16.0
229,15.0,16.0,16.0,16.0
230,16.0,17.0,17.0,16.0
231,15.0,17.0,18.0,17.0
232,17.0,17.0,20.0,19.0
233,16.0,16.0,20.0,19.0
234,16.0,17.0,18.0,18.0
235,17.0,17.0,20.0,18.0
236,17.0,17.0,19.0,19.0
237,19.0,19.0,19.0,20.0
238,16.0,16.0,21.0,20.0
239,19.0,19.0,23.0,21.0
240,18.0,19.0,23.0,21.0
241,18.0,19.0,21.0,20.0
242,20.0,21.0,22.0,21.0
243,21.0,23.0,24.0,24.0
244,19.0,22.0,22.0,22.0
245,18.0,20.0,23.0,22.0
246,19.0,21.0,24.0,23.0
247,18.0,19.0,23.0,22.0
248,19.0,21.0,23.0,22.0
249,19.0,21.0,23.0,22.0
250,23.0,24.0,24.0,23.0
251,21.0,22.0,25.0,23.0
252,22.0,24.0,26.0,24.0
253,23.0,24.0,27.0,24.0
254,22.0,24.0,32.0,29.0
