,electricity-load-nyiso-centrl,electricity-load-nyiso-north,electricity-load-nyiso-nyc,electricity-load-nyiso-west,electricity-load-nyiso-dunwod,electricity-load-nyiso-genese,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-overall,electricity-load-nyiso-millwd,electricity-load-nyiso-capitl
37,2679.304,665.0518,9901.404,2641.689,1306.6714,1963.5017,2068.7131,4701.8564,1299.4683,30113.542200000004,642.3815,2243.501
38,2657.2607,671.8126,9905.816,2649.275,1322.0771,1951.9409,2075.5513,4714.268,1299.6282,30130.6896,641.6672,2241.3926
39,2685.2917,666.543,9919.981,2633.751,1323.7823,1961.9648,2056.3066,4721.1826,1302.3542,30165.2899,648.3837,2245.749
40,2686.392,675.3945,9929.574,2652.4482,1304.8898,1954.7683,2080.266,4731.585,1305.5049,30217.838799999998,645.8738,2251.1423
41,2697.3643,662.9084,9934.123,2672.8645,1321.8167,1955.6685,2096.1504,4740.3887,1297.2188,30287.172000000002,643.3992,2265.2695
42,2684.3735,658.4419,9931.134,2662.8313,1321.3394,1962.6311,2079.3333,4757.3486,1310.858,30295.517200000002,644.5877,2282.6384
43,2702.1138,657.5297,9942.399,2655.336,1320.8213,1962.3862,2086.1116,4757.0234,1316.9137,30328.368699999995,643.7316,2284.0024
44,2706.58,669.3325,9929.616,2673.428,1326.698,1964.251,2093.733,4772.8877,1305.0466,30379.803900000003,669.2111,2269.02
45,2697.188,671.2785,9940.189,2633.8503,1329.7793,1958.9758,2120.7039,4793.3784,1336.4984,30389.2114,646.9318,2260.438
46,2717.0005,676.0095,9954.718,2654.9573,1337.7349,1970.0192,2120.099,4806.005,1305.968,30464.097800000003,640.8071,2280.7793
47,2708.2788,674.6004,9957.617,2645.3696,1335.8177,1954.014,2121.3645,4811.4385,1300.2266,30440.243500000004,648.9529,2282.5635
48,2698.4597,675.7943,9965.088,2658.7705,1339.4146,1945.178,2137.6409,4805.953,1300.9753,30469.462599999995,648.848,2293.3403
49,2710.1133,680.7308,9985.985,2668.615,1333.1877,1938.8538,2121.004,4833.5625,1310.467,30547.928600000007,658.9949,2306.4146
50,2728.355,670.5618,9990.734,2669.261,1342.5264,1953.4635,2126.1514,4848.551,1328.8007,30624.8608,655.2036,2311.2524
51,2720.5166,671.5814,9998.479,2663.6907,1354.0758,1948.414,2150.0571,4841.083,1338.7131,30664.3144,658.8643,2318.8394
52,2722.9744,677.7049,9997.66,2642.7817,1344.8759,1946.391,2145.74,4861.293,1314.187,30658.8534,665.7025,2339.543
53,2723.7334,673.3658,10020.595,2611.9978,1344.2551,1955.165,2150.0068,4857.288,1320.3083,30648.244800000004,657.574,2333.9556
54,2719.8752,670.6858,10018.67,2613.9282,1352.2427,1954.0701,2148.2056,4874.942,1335.4006,30669.681999999997,658.3258,2323.336
55,2701.87,662.0176,10026.477,2621.0225,1345.5219,1966.2766,2168.5059,4862.2773,1326.8837,30685.4197,663.6336,2340.9336
56,2679.2878,675.5985,10029.013,2630.6921,1339.4304,1956.6431,2179.2034,4884.045,1341.6842,30707.7194,657.7362,2334.3857
