,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_midtown_peds
966,25.0,50.0,11.0
967,25.0,50.0,11.0
968,19.0,53.0,18.0
969,19.0,53.0,18.0
970,18.0,57.0,19.0
971,18.0,57.0,19.0
972,22.0,46.0,22.0
973,22.0,46.0,22.0
974,22.0,35.0,30.0
975,22.0,35.0,30.0
976,23.0,41.0,47.0
977,23.0,41.0,47.0
978,23.0,36.0,53.0
979,23.0,36.0,53.0
980,24.0,41.0,44.0
981,24.0,41.0,44.0
982,24.0,56.0,28.0
983,24.0,56.0,28.0
984,22.0,76.0,35.0
985,22.0,76.0,35.0
986,22.0,91.0,45.0
987,22.0,91.0,45.0
988,24.0,111.0,38.0
989,24.0,111.0,38.0
990,5.0,121.0,35.0
991,5.0,121.0,35.0
992,8.0,121.0,49.0
993,8.0,121.0,49.0
994,16.0,143.0,52.0
995,16.0,143.0,52.0
996,13.0,151.0,60.0
997,13.0,151.0,60.0
998,11.0,158.0,65.0
999,11.0,158.0,65.0
