,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level
0,36.0,21.0,21.0,36.0,27.0,28.0
1,37.0,22.0,21.0,37.0,27.0,26.0
2,36.0,22.0,21.0,36.0,28.0,27.0
3,41.0,22.0,22.0,41.0,30.0,30.0
4,40.0,21.0,21.0,40.0,27.0,28.0
5,35.0,21.0,21.0,35.0,29.0,29.0
6,36.0,21.0,20.0,36.0,27.0,27.0
7,32.0,21.0,20.0,33.0,28.0,28.0
8,32.0,21.0,21.0,32.0,30.0,30.0
9,33.0,22.0,23.0,33.0,30.0,30.0
10,34.0,20.0,20.0,34.0,27.0,28.0
11,29.0,19.0,18.0,30.0,29.0,28.0
12,29.0,19.0,19.0,29.0,30.0,30.0
13,30.0,18.0,19.0,31.0,30.0,31.0
14,32.0,19.0,18.0,33.0,29.0,28.0
15,33.0,19.0,18.0,33.0,29.0,29.0
16,31.0,18.0,18.0,32.0,27.0,27.0
17,30.0,16.0,16.0,30.0,26.0,26.0
18,28.0,17.0,17.0,28.0,24.0,24.0
19,26.0,18.0,17.0,27.0,24.0,23.0
20,24.0,17.0,18.0,24.0,23.0,23.0
21,26.0,18.0,19.0,26.0,21.0,22.0
22,28.0,18.0,20.0,27.0,21.0,23.0
23,26.0,15.0,17.0,25.0,17.0,18.0
24,23.0,16.0,18.0,22.0,17.0,19.0
25,24.0,16.0,18.0,23.0,16.0,18.0
26,21.0,15.0,16.0,20.0,15.0,17.0
27,23.0,17.0,19.0,22.0,17.0,18.0
28,18.0,19.0,19.0,18.0,18.0,18.0
29,19.0,17.0,18.0,19.0,16.0,16.0
30,18.0,18.0,18.0,18.0,16.0,16.0
31,18.0,19.0,19.0,18.0,18.0,18.0
32,17.0,17.0,18.0,16.0,17.0,18.0
33,17.0,17.0,19.0,16.0,17.0,18.0
34,15.0,18.0,19.0,14.0,17.0,18.0
35,13.0,18.0,17.0,13.0,17.0,17.0
36,14.0,18.0,19.0,13.0,17.0,17.0
37,12.0,18.0,18.0,13.0,16.0,16.0
38,13.0,18.0,19.0,12.0,16.0,17.0
39,13.0,18.0,20.0,12.0,15.0,17.0
40,13.0,17.0,18.0,12.0,15.0,15.0
41,13.0,18.0,19.0,13.0,16.0,16.0
42,14.0,16.0,18.0,13.0,14.0,15.0
43,14.0,14.0,15.0,13.0,13.0,14.0
44,14.0,13.0,15.0,13.0,13.0,15.0
45,14.0,13.0,13.0,14.0,14.0,14.0
46,14.0,13.0,13.0,14.0,14.0,14.0
47,13.0,13.0,13.0,14.0,14.0,14.0
48,13.0,12.0,13.0,13.0,13.0,13.0
49,13.0,12.0,12.0,13.0,15.0,15.0
50,13.0,11.0,12.0,12.0,15.0,15.0
51,12.0,11.0,12.0,12.0,13.0,13.0
52,12.0,11.0,12.0,12.0,12.0,13.0
53,12.0,11.0,11.0,11.0,12.0,12.0
54,12.0,11.0,12.0,11.0,12.0,13.0
55,11.0,11.0,11.0,11.0,12.0,12.0
56,11.0,11.0,11.0,11.0,12.0,12.0
57,11.0,11.0,11.0,11.0,12.0,12.0
58,11.0,11.0,11.0,11.0,12.0,12.0
59,11.0,11.0,11.0,11.0,14.0,14.0
60,11.0,11.0,11.0,11.0,13.0,13.0
61,11.0,11.0,11.0,11.0,12.0,12.0
62,11.0,11.0,11.0,11.0,12.0,12.0
63,12.0,11.0,12.0,11.0,13.0,13.0
64,12.0,11.0,12.0,11.0,12.0,13.0
65,12.0,11.0,12.0,11.0,12.0,13.0
66,12.0,11.0,11.0,11.0,12.0,13.0
67,12.0,11.0,11.0,11.0,12.0,13.0
68,12.0,11.0,12.0,11.0,12.0,13.0
69,11.0,11.0,11.0,11.0,12.0,12.0
70,12.0,11.0,12.0,11.0,12.0,13.0
71,11.0,11.0,11.0,11.0,12.0,12.0
72,12.0,11.0,12.0,11.0,12.0,14.0
73,14.0,11.0,14.0,11.0,12.0,15.0
74,11.0,11.0,11.0,11.0,12.0,12.0
