,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
314,159.0,298.0
315,158.0,271.0
316,176.0,321.0
317,139.0,221.0
318,153.0,285.0
319,164.0,280.0
320,166.0,272.0
321,148.0,320.0
322,169.0,278.0
323,175.0,275.0
324,165.0,300.0
325,170.0,279.0
326,156.0,295.0
327,161.0,294.0
328,152.0,261.0
329,170.0,332.0
330,156.0,288.0
331,169.0,306.0
332,167.0,268.0
333,168.0,279.0
334,178.0,310.0
335,163.0,283.0
336,167.0,282.0
337,158.0,310.0
338,139.0,309.0
339,164.0,276.0
340,165.0,269.0
341,186.0,287.0
342,178.0,297.0
343,190.0,285.0
344,189.0,298.0
345,191.0,250.0
346,178.0,271.0
347,163.0,315.0
348,186.0,308.0
349,169.0,292.0
350,174.0,304.0
351,178.0,288.0
352,186.0,294.0
353,170.0,287.0
354,174.0,281.0
355,191.0,260.0
356,173.0,259.0
357,159.0,266.0
358,157.0,251.0
359,204.0,398.0
360,152.0,306.0
361,169.0,299.0
362,184.0,352.0
363,162.0,313.0
364,172.0,347.0
365,185.0,346.0
366,182.0,304.0
367,173.0,341.0
368,155.0,284.0
369,159.0,308.0
370,167.0,319.0
371,148.0,292.0
372,178.0,334.0
373,146.0,300.0
374,161.0,307.0
375,163.0,312.0
376,164.0,308.0
377,168.0,307.0
378,182.0,302.0
379,173.0,294.0
380,164.0,297.0
381,171.0,327.0
382,170.0,314.0
383,160.0,312.0
384,170.0,321.0
385,155.0,327.0
386,189.0,282.0
387,184.0,280.0
388,187.0,310.0
389,187.0,283.0
390,211.0,306.0
391,186.0,271.0
392,174.0,281.0
393,183.0,288.0
394,179.0,302.0
395,176.0,316.0
396,152.0,307.0
397,173.0,342.0
398,145.0,276.0
399,172.0,293.0
400,166.0,300.0
401,151.0,285.0
402,151.0,268.0
403,175.0,301.0
404,162.0,299.0
405,140.0,252.0
406,165.0,286.0
407,156.0,283.0
408,143.0,272.0
409,175.0,299.0
410,141.0,281.0
411,165.0,313.0
412,153.0,281.0
413,155.0,294.0
414,149.0,297.0
415,160.0,294.0
416,165.0,320.0
417,150.0,306.0
418,191.0,288.0
419,177.0,359.0
420,165.0,335.0
421,168.0,320.0
422,172.0,337.0
423,154.0,327.0
424,173.0,336.0
425,168.0,345.0
426,165.0,284.0
427,150.0,296.0
428,162.0,274.0
429,156.0,339.0
430,187.0,299.0
431,144.0,317.0
432,184.0,315.0
433,186.0,316.0
434,172.0,293.0
435,169.0,334.0
436,169.0,273.0
437,152.0,278.0
438,171.0,341.0
439,147.0,281.0
440,177.0,316.0
441,170.0,317.0
442,165.0,315.0
443,146.0,293.0
444,150.0,312.0
445,160.0,302.0
446,158.0,329.0
447,150.0,327.0
448,144.0,336.0
449,155.0,322.0
450,182.0,314.0
451,185.0,307.0
452,138.0,295.0
453,167.0,282.0
454,158.0,307.0
455,149.0,303.0
456,155.0,310.0
457,167.0,272.0
458,144.0,297.0
459,150.0,276.0
460,162.0,289.0
461,166.0,309.0
462,146.0,317.0
463,161.0,270.0
464,169.0,285.0
465,161.0,305.0
466,164.0,285.0
467,179.0,293.0
468,179.0,317.0
469,147.0,319.0
470,155.0,311.0
471,166.0,321.0
472,169.0,283.0
473,161.0,315.0
474,167.0,280.0
475,170.0,253.0
476,170.0,276.0
477,170.0,300.0
478,155.0,299.0
479,180.0,355.0
480,186.0,297.0
481,161.0,327.0
482,184.0,324.0
483,182.0,286.0
484,169.0,278.0
485,135.0,288.0
486,147.0,284.0
487,152.0,278.0
488,151.0,292.0
489,135.0,278.0
490,162.0,290.0
491,158.0,297.0
492,176.0,278.0
493,152.0,269.0
494,180.0,279.0
495,145.0,291.0
496,159.0,264.0
497,180.0,274.0
498,153.0,318.0
499,162.0,284.0
500,143.0,306.0
501,147.0,285.0
502,164.0,296.0
503,157.0,283.0
504,161.0,271.0
505,155.0,280.0
506,148.0,294.0
