,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
981,29.0,95.0,42.0
982,16.0,22.0,57.0
983,16.0,22.0,57.0
984,12.0,28.0,73.0
985,12.0,28.0,73.0
986,2.0,47.0,78.0
987,2.0,47.0,78.0
988,0.0,50.0,83.0
989,0.0,50.0,83.0
990,2.0,50.0,47.0
991,2.0,50.0,47.0
992,2.0,66.0,27.0
993,2.0,66.0,27.0
994,5.0,75.0,25.0
995,5.0,75.0,25.0
996,10.0,87.0,26.0
997,10.0,87.0,26.0
998,21.0,109.0,15.0
999,21.0,109.0,15.0
