,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
223,1.0,77.0,80.0
224,9.0,73.0,66.0
225,9.0,73.0,66.0
226,8.0,76.0,62.0
227,8.0,76.0,62.0
228,12.0,51.0,76.0
229,12.0,51.0,76.0
230,13.0,52.0,79.0
231,13.0,52.0,79.0
232,14.0,83.0,81.0
233,14.0,83.0,81.0
234,15.0,103.0,76.0
235,15.0,103.0,76.0
236,12.0,78.0,60.0
237,12.0,78.0,60.0
238,17.0,218.0,31.0
239,17.0,218.0,31.0
240,25.0,331.0,24.0
241,25.0,331.0,24.0
242,22.0,230.0,18.0
243,22.0,230.0,18.0
244,19.0,83.0,16.0
245,19.0,83.0,16.0
246,16.0,96.0,16.0
247,16.0,96.0,16.0
248,15.0,141.0,10.0
249,15.0,141.0,10.0
250,17.0,86.0,9.0
251,17.0,86.0,9.0
252,26.0,64.0,7.0
253,26.0,64.0,7.0
254,0.0,73.0,6.0
255,0.0,73.0,6.0
256,4.0,70.0,7.0
257,4.0,70.0,7.0
258,3.0,88.0,11.0
259,3.0,88.0,11.0
260,2.0,106.0,15.0
261,2.0,106.0,15.0
262,5.0,99.0,13.0
263,5.0,99.0,13.0
264,5.0,89.0,15.0
265,5.0,89.0,15.0
266,5.0,70.0,19.0
267,5.0,70.0,19.0
268,7.0,64.0,10.0
269,7.0,64.0,10.0
270,15.0,66.0,10.0
271,15.0,66.0,10.0
272,38.0,85.0,18.0
273,38.0,85.0,18.0
274,38.0,96.0,32.0
275,38.0,96.0,32.0
276,38.0,96.0,32.0
277,0.0,87.0,28.0
278,0.0,87.0,28.0
279,0.0,66.0,24.0
280,0.0,66.0,24.0
281,0.0,104.0,20.0
282,0.0,104.0,20.0
283,0.0,76.0,19.0
284,0.0,76.0,19.0
285,0.0,91.0,20.0
286,0.0,91.0,20.0
287,4.0,93.0,20.0
288,4.0,93.0,20.0
289,10.0,83.0,22.0
290,10.0,83.0,22.0
291,12.0,69.0,33.0
292,12.0,69.0,33.0
293,16.0,128.0,36.0
294,16.0,128.0,36.0
295,11.0,104.0,20.0
296,11.0,104.0,20.0
297,1.0,82.0,9.0
298,1.0,82.0,9.0
299,0.0,64.0,10.0
300,0.0,64.0,10.0
301,0.0,68.0,16.0
302,0.0,68.0,16.0
303,5.0,75.0,24.0
304,5.0,75.0,24.0
305,4.0,77.0,30.0
306,4.0,77.0,30.0
307,6.0,77.0,33.0
308,6.0,77.0,33.0
309,6.0,77.0,33.0
310,11.0,70.0,32.0
311,11.0,70.0,32.0
312,16.0,65.0,36.0
313,16.0,65.0,36.0
314,16.0,67.0,40.0
315,16.0,67.0,40.0
316,3.0,63.0,19.0
317,3.0,63.0,19.0
318,8.0,63.0,14.0
319,8.0,63.0,14.0
320,16.0,68.0,19.0
321,16.0,68.0,19.0
322,16.0,68.0,19.0
323,24.0,64.0,18.0
324,24.0,64.0,18.0
325,29.0,62.0,17.0
326,29.0,62.0,17.0
327,27.0,78.0,18.0
328,27.0,78.0,18.0
329,33.0,102.0,22.0
330,33.0,102.0,22.0
331,33.0,102.0,22.0
332,33.0,102.0,22.0
333,33.0,102.0,22.0
334,5.0,70.0,18.0
335,5.0,70.0,18.0
336,10.0,71.0,11.0
337,10.0,71.0,11.0
338,10.0,58.0,9.0
339,10.0,58.0,9.0
340,9.0,63.0,11.0
341,9.0,63.0,11.0
342,9.0,63.0,11.0
343,10.0,95.0,21.0
344,10.0,95.0,21.0
345,10.0,95.0,21.0
346,10.0,95.0,21.0
347,12.0,130.0,25.0
348,12.0,130.0,25.0
349,12.0,130.0,25.0
350,12.0,130.0,25.0
351,12.0,94.0,25.0
352,12.0,94.0,25.0
353,13.0,84.0,25.0
354,13.0,84.0,25.0
355,13.0,83.0,22.0
356,13.0,83.0,22.0
357,13.0,83.0,22.0
358,13.0,83.0,22.0
359,12.0,85.0,21.0
360,12.0,85.0,21.0
361,12.0,85.0,21.0
362,12.0,85.0,21.0
363,12.0,94.0,23.0
364,12.0,94.0,23.0
365,16.0,105.0,13.0
366,16.0,105.0,13.0
367,16.0,105.0,13.0
368,16.0,105.0,13.0
369,14.0,78.0,10.0
370,14.0,78.0,10.0
371,12.0,64.0,7.0
372,12.0,64.0,7.0
373,12.0,64.0,7.0
374,13.0,75.0,2.0
375,13.0,75.0,2.0
376,0.0,84.0,3.0
377,0.0,84.0,3.0
378,0.0,84.0,3.0
379,2.0,75.0,3.0
380,2.0,75.0,3.0
381,2.0,91.0,0.0
382,2.0,91.0,0.0
383,2.0,91.0,0.0
384,2.0,91.0,0.0
385,2.0,91.0,0.0
386,1.0,54.0,0.0
387,1.0,54.0,0.0
388,3.0,17.0,1.0
389,3.0,17.0,1.0
390,3.0,17.0,1.0
391,6.0,21.0,1.0
392,6.0,21.0,1.0
393,8.0,24.0,1.0
394,8.0,24.0,1.0
395,0.0,25.0,1.0
396,0.0,25.0,1.0
397,0.0,25.0,1.0
398,0.0,25.0,1.0
399,0.0,25.0,1.0
400,0.0,32.0,15.0
401,0.0,32.0,15.0
402,0.0,32.0,15.0
403,0.0,32.0,15.0
404,6.0,31.0,24.0
405,6.0,31.0,24.0
406,10.0,40.0,20.0
407,10.0,40.0,20.0
408,10.0,40.0,20.0
409,10.0,40.0,20.0
410,10.0,26.0,11.0
411,10.0,26.0,11.0
412,10.0,29.0,8.0
413,10.0,29.0,8.0
414,10.0,29.0,8.0
415,10.0,29.0,8.0
416,10.0,29.0,8.0
417,10.0,33.0,15.0
418,10.0,33.0,15.0
419,7.0,25.0,24.0
420,7.0,25.0,24.0
421,7.0,22.0,18.0
422,7.0,22.0,18.0
423,7.0,22.0,18.0
424,7.0,22.0,18.0
425,6.0,21.0,13.0
426,6.0,21.0,13.0
427,6.0,21.0,13.0
428,1.0,21.0,13.0
429,1.0,21.0,13.0
430,4.0,26.0,19.0
431,4.0,26.0,19.0
432,5.0,29.0,15.0
433,5.0,29.0,15.0
434,8.0,28.0,22.0
435,8.0,28.0,22.0
436,8.0,28.0,22.0
437,8.0,28.0,22.0
438,11.0,38.0,26.0
439,11.0,38.0,26.0
440,8.0,73.0,25.0
441,8.0,73.0,25.0
442,8.0,73.0,25.0
443,5.0,83.0,26.0
444,5.0,83.0,26.0
445,5.0,83.0,26.0
446,4.0,90.0,27.0
447,4.0,90.0,27.0
448,4.0,95.0,30.0
449,4.0,95.0,30.0
450,6.0,91.0,49.0
451,6.0,91.0,49.0
452,6.0,91.0,49.0
453,6.0,83.0,77.0
454,6.0,83.0,77.0
455,6.0,83.0,77.0
456,6.0,83.0,77.0
457,6.0,94.0,88.0
458,6.0,94.0,88.0
459,8.0,121.0,106.0
460,8.0,121.0,106.0
461,8.0,121.0,106.0
462,11.0,116.0,118.0
463,11.0,116.0,118.0
464,11.0,116.0,118.0
465,11.0,113.0,134.0
466,11.0,113.0,134.0
467,7.0,127.0,152.0
468,7.0,127.0,152.0
469,10.0,88.0,147.0
470,10.0,88.0,147.0
471,11.0,67.0,105.0
472,11.0,67.0,105.0
473,11.0,67.0,105.0
474,11.0,70.0,96.0
475,11.0,70.0,96.0
476,11.0,39.0,102.0
477,11.0,39.0,102.0
478,12.0,37.0,77.0
479,12.0,37.0,77.0
480,12.0,37.0,77.0
481,19.0,28.0,77.0
482,19.0,28.0,77.0
483,19.0,34.0,94.0
484,19.0,34.0,94.0
485,17.0,42.0,33.0
486,17.0,42.0,33.0
487,24.0,55.0,2.0
488,24.0,55.0,2.0
489,28.0,64.0,3.0
490,28.0,64.0,3.0
491,25.0,80.0,10.0
492,25.0,80.0,10.0
493,19.0,81.0,10.0
494,19.0,81.0,10.0
495,13.0,63.0,13.0
496,13.0,63.0,13.0
497,10.0,102.0,19.0
498,10.0,102.0,19.0
499,10.0,102.0,19.0
500,14.0,193.0,19.0
501,14.0,193.0,19.0
502,14.0,116.0,11.0
503,14.0,116.0,11.0
504,10.0,125.0,16.0
505,10.0,125.0,16.0
506,10.0,135.0,16.0
507,10.0,135.0,16.0
508,6.0,121.0,0.0
509,6.0,121.0,0.0
510,6.0,157.0,0.0
511,6.0,157.0,0.0
512,0.0,90.0,5.0
513,0.0,90.0,5.0
514,0.0,64.0,7.0
515,0.0,64.0,7.0
516,0.0,64.0,7.0
517,0.0,45.0,23.0
518,0.0,45.0,23.0
519,0.0,36.0,23.0
520,0.0,36.0,23.0
521,4.0,35.0,3.0
522,4.0,35.0,3.0
523,9.0,26.0,12.0
524,9.0,26.0,12.0
525,11.0,26.0,16.0
526,11.0,26.0,16.0
527,5.0,21.0,18.0
528,5.0,21.0,18.0
529,5.0,15.0,14.0
530,5.0,15.0,14.0
531,14.0,18.0,22.0
532,14.0,18.0,22.0
533,14.0,18.0,22.0
534,19.0,32.0,43.0
535,19.0,32.0,43.0
536,16.0,38.0,33.0
537,16.0,38.0,33.0
538,16.0,38.0,33.0
539,11.0,53.0,30.0
540,11.0,53.0,30.0
541,7.0,64.0,31.0
542,7.0,64.0,31.0
543,2.0,58.0,43.0
544,2.0,58.0,43.0
545,2.0,58.0,43.0
546,2.0,58.0,43.0
547,5.0,64.0,53.0
548,5.0,64.0,53.0
549,8.0,77.0,54.0
550,8.0,77.0,54.0
551,10.0,76.0,36.0
552,10.0,76.0,36.0
553,10.0,77.0,29.0
554,10.0,77.0,29.0
555,12.0,88.0,29.0
556,12.0,88.0,29.0
557,6.0,89.0,25.0
558,6.0,89.0,25.0
559,4.0,94.0,22.0
560,4.0,94.0,22.0
561,4.0,94.0,22.0
562,4.0,94.0,22.0
563,11.0,92.0,27.0
564,11.0,92.0,27.0
565,15.0,82.0,29.0
566,15.0,82.0,29.0
567,19.0,92.0,38.0
568,19.0,92.0,38.0
569,4.0,102.0,35.0
570,4.0,102.0,35.0
571,4.0,102.0,35.0
572,13.0,89.0,38.0
573,13.0,89.0,38.0
574,10.0,113.0,50.0
575,10.0,113.0,50.0
576,7.0,120.0,53.0
577,7.0,120.0,53.0
578,5.0,92.0,48.0
579,5.0,92.0,48.0
580,9.0,91.0,58.0
581,9.0,91.0,58.0
582,14.0,102.0,52.0
583,14.0,102.0,52.0
584,14.0,102.0,52.0
585,12.0,137.0,63.0
586,12.0,137.0,63.0
587,13.0,150.0,95.0
588,13.0,150.0,95.0
589,17.0,101.0,90.0
590,17.0,101.0,90.0
591,18.0,108.0,92.0
592,18.0,108.0,92.0
593,18.0,108.0,92.0
594,16.0,101.0,94.0
595,16.0,101.0,94.0
596,23.0,156.0,91.0
597,23.0,156.0,91.0
598,27.0,149.0,73.0
599,27.0,149.0,73.0
600,25.0,72.0,96.0
601,25.0,72.0,96.0
602,21.0,78.0,149.0
603,21.0,78.0,149.0
604,13.0,116.0,119.0
605,13.0,116.0,119.0
606,9.0,142.0,97.0
607,9.0,142.0,97.0
608,8.0,110.0,84.0
609,8.0,110.0,84.0
610,1.0,101.0,45.0
611,1.0,101.0,45.0
612,1.0,121.0,27.0
613,1.0,121.0,27.0
614,0.0,62.0,18.0
615,0.0,62.0,18.0
616,0.0,64.0,31.0
617,0.0,64.0,31.0
618,12.0,69.0,31.0
619,12.0,69.0,31.0
620,9.0,0.0,10.0
621,9.0,0.0,10.0
622,9.0,0.0,10.0
623,14.0,20.0,10.0
624,14.0,20.0,10.0
625,21.0,19.0,0.0
626,21.0,19.0,0.0
627,0.0,21.0,0.0
628,0.0,21.0,0.0
629,0.0,22.0,0.0
630,0.0,22.0,0.0
631,0.0,28.0,23.0
632,0.0,28.0,23.0
633,4.0,38.0,23.0
634,4.0,38.0,23.0
635,19.0,46.0,21.0
636,19.0,46.0,21.0
637,20.0,42.0,9.0
638,20.0,42.0,9.0
639,22.0,37.0,4.0
640,22.0,37.0,4.0
641,19.0,38.0,6.0
642,19.0,38.0,6.0
643,19.0,38.0,6.0
644,9.0,46.0,11.0
645,9.0,46.0,11.0
646,10.0,60.0,25.0
647,10.0,60.0,25.0
648,13.0,73.0,32.0
649,13.0,73.0,32.0
650,10.0,98.0,26.0
651,10.0,98.0,26.0
652,17.0,110.0,18.0
653,17.0,110.0,18.0
654,17.0,113.0,18.0
655,17.0,113.0,18.0
656,14.0,130.0,27.0
657,14.0,130.0,27.0
658,13.0,122.0,33.0
659,13.0,122.0,33.0
660,12.0,119.0,33.0
661,12.0,119.0,33.0
662,10.0,130.0,35.0
663,10.0,130.0,35.0
664,9.0,128.0,37.0
665,9.0,128.0,37.0
666,25.0,102.0,40.0
667,25.0,102.0,40.0
668,22.0,78.0,38.0
669,22.0,78.0,38.0
670,24.0,94.0,32.0
671,24.0,94.0,32.0
672,24.0,94.0,32.0
673,23.0,55.0,34.0
