,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
315,18.0,46.0
316,27.0,48.0
317,18.0,37.0
318,14.0,61.0
319,22.0,47.0
320,12.0,47.0
321,24.0,55.0
322,16.0,48.0
323,21.0,45.0
324,18.0,45.0
325,15.0,49.0
326,15.0,50.0
327,22.0,60.0
328,24.0,50.0
329,24.0,52.0
330,25.0,50.0
331,20.0,52.0
332,13.0,44.0
333,14.0,44.0
334,21.0,52.0
335,14.0,39.0
336,17.0,55.0
337,17.0,45.0
338,27.0,56.0
339,15.0,59.0
340,20.0,39.0
341,16.0,49.0
342,18.0,50.0
343,20.0,57.0
344,25.0,47.0
345,20.0,47.0
346,22.0,50.0
347,18.0,47.0
348,32.0,53.0
349,18.0,48.0
350,12.0,52.0
351,19.0,62.0
352,17.0,63.0
353,18.0,42.0
354,20.0,55.0
355,19.0,56.0
356,21.0,45.0
357,23.0,46.0
358,20.0,46.0
359,21.0,56.0
360,26.0,47.0
361,21.0,47.0
362,17.0,49.0
363,17.0,41.0
364,18.0,53.0
365,18.0,58.0
366,11.0,61.0
367,19.0,48.0
368,25.0,55.0
369,29.0,51.0
370,28.0,35.0
371,11.0,39.0
372,16.0,48.0
373,18.0,55.0
374,17.0,55.0
375,17.0,58.0
376,17.0,41.0
377,16.0,54.0
378,8.0,52.0
379,27.0,49.0
380,15.0,43.0
381,18.0,59.0
382,19.0,38.0
383,25.0,49.0
384,18.0,50.0
385,28.0,51.0
386,19.0,42.0
387,23.0,46.0
388,22.0,52.0
389,23.0,37.0
390,23.0,45.0
391,13.0,47.0
392,23.0,43.0
393,14.0,40.0
394,17.0,47.0
395,17.0,52.0
396,24.0,54.0
397,20.0,52.0
398,17.0,49.0
399,18.0,54.0
400,14.0,48.0
401,20.0,49.0
402,21.0,41.0
403,23.0,54.0
404,26.0,52.0
405,14.0,43.0
406,17.0,60.0
407,23.0,56.0
408,17.0,45.0
409,19.0,58.0
410,14.0,31.0
411,27.0,47.0
412,18.0,44.0
413,25.0,47.0
414,12.0,48.0
415,21.0,50.0
416,17.0,47.0
417,21.0,57.0
418,19.0,51.0
419,16.0,43.0
420,12.0,65.0
421,10.0,43.0
422,19.0,43.0
423,21.0,44.0
424,14.0,48.0
425,26.0,43.0
426,17.0,55.0
427,21.0,32.0
428,29.0,51.0
429,23.0,47.0
430,13.0,48.0
431,23.0,47.0
432,18.0,46.0
433,23.0,36.0
434,29.0,40.0
435,14.0,40.0
436,15.0,41.0
437,18.0,47.0
438,13.0,50.0
439,13.0,33.0
440,15.0,38.0
441,23.0,42.0
442,21.0,38.0
443,18.0,29.0
444,28.0,45.0
445,18.0,42.0
446,15.0,53.0
447,13.0,39.0
448,17.0,36.0
449,23.0,62.0
450,15.0,40.0
451,15.0,51.0
452,11.0,39.0
453,14.0,61.0
454,20.0,38.0
455,25.0,43.0
456,12.0,38.0
457,18.0,39.0
458,17.0,32.0
459,21.0,42.0
460,14.0,48.0
461,19.0,43.0
462,16.0,32.0
463,28.0,47.0
464,11.0,45.0
465,15.0,46.0
466,20.0,47.0
467,12.0,46.0
468,14.0,44.0
469,23.0,48.0
470,14.0,47.0
471,15.0,48.0
472,14.0,37.0
473,12.0,33.0
474,19.0,49.0
475,17.0,40.0
476,14.0,36.0
477,21.0,39.0
478,12.0,47.0
479,18.0,45.0
480,15.0,44.0
481,17.0,45.0
482,12.0,40.0
483,19.0,33.0
484,11.0,40.0
485,12.0,46.0
486,9.0,36.0
487,16.0,35.0
488,24.0,43.0
489,12.0,43.0
490,20.0,54.0
491,16.0,36.0
492,16.0,38.0
493,17.0,37.0
494,22.0,49.0
495,17.0,42.0
496,24.0,42.0
497,9.0,39.0
498,16.0,50.0
499,19.0,37.0
500,11.0,35.0
501,20.0,33.0
502,25.0,49.0
503,13.0,38.0
504,18.0,29.0
505,14.0,44.0
506,19.0,39.0
507,16.0,41.0
508,14.0,38.0
509,17.0,46.0
510,14.0,42.0
511,18.0,39.0
512,24.0,49.0
513,10.0,48.0
514,16.0,34.0
515,20.0,40.0
516,16.0,37.0
517,16.0,39.0
518,16.0,28.0
519,12.0,32.0
520,16.0,46.0
521,14.0,45.0
522,16.0,51.0
523,12.0,53.0
524,16.0,52.0
525,20.0,41.0
526,21.0,27.0
527,16.0,36.0
528,11.0,45.0
529,20.0,33.0
530,20.0,44.0
531,12.0,36.0
532,14.0,43.0
533,17.0,41.0
534,18.0,41.0
535,19.0,37.0
536,23.0,50.0
537,10.0,43.0
538,16.0,38.0
539,13.0,32.0
540,8.0,36.0
541,25.0,31.0
542,18.0,35.0
543,14.0,42.0
544,21.0,48.0
545,16.0,33.0
546,18.0,45.0
547,13.0,50.0
548,26.0,31.0
549,20.0,42.0
550,16.0,31.0
551,16.0,34.0
552,10.0,45.0
553,18.0,39.0
554,22.0,47.0
555,19.0,42.0
556,17.0,34.0
557,21.0,40.0
558,18.0,33.0
559,22.0,37.0
560,20.0,40.0
561,9.0,45.0
562,24.0,39.0
563,15.0,39.0
564,7.0,39.0
565,13.0,40.0
566,14.0,35.0
567,12.0,31.0
568,14.0,36.0
569,16.0,26.0
570,15.0,41.0
571,12.0,56.0
572,24.0,38.0
573,18.0,35.0
574,11.0,37.0
575,15.0,44.0
576,14.0,37.0
577,16.0,34.0
578,7.0,40.0
579,19.0,34.0
580,14.0,33.0
581,12.0,38.0
582,18.0,28.0
583,14.0,40.0
584,14.0,43.0
585,18.0,38.0
586,18.0,36.0
587,12.0,37.0
588,17.0,32.0
589,15.0,32.0
590,18.0,29.0
591,16.0,32.0
