,traffic-nj511-minutes-ny_side_to_nj_turnpike_exit_14c,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_local_lanes,traffic-nj511-minutes-nj_turnpike_exit_18w_to_nj_turnpike_exit_14,traffic-nj511-minutes-nj_turnpike_from_exit_14c_to_the_ny_side,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_18w,traffic-nj511-minutes-i-95_from_the_delaware_side_to_nj_turnpike_exit_1,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_express_lanes,traffic-nj511-minutes-nj_turnpike_from_exit_1_to_delaware,traffic-nj511-minutes-nj_turnpike_exit_1_to_nj_turnpike_exit_6,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_local_lanes,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_express_lanes
60,13.0,14.0,16.0,9.0,22.0,8.0,13.0,8.0,49.0,13.0,16.0
61,13.0,15.0,17.0,10.0,23.0,8.0,12.0,8.0,49.0,12.0,16.0
62,13.0,15.0,16.0,10.0,23.0,8.0,12.0,8.0,49.0,12.0,16.0
63,14.0,16.0,16.0,11.0,25.0,8.0,14.0,8.0,49.0,14.0,16.0
64,13.0,16.0,15.0,11.0,23.0,8.0,14.0,8.0,49.0,14.0,17.0
65,13.0,16.0,15.0,11.0,23.0,8.0,14.0,8.0,47.0,14.0,17.0
66,14.0,16.0,15.0,13.0,23.0,8.0,16.0,8.0,46.0,16.0,19.0
67,14.0,17.0,15.0,12.0,23.0,8.0,15.0,8.0,46.0,15.0,20.0
68,14.0,17.0,16.0,12.0,23.0,8.0,13.0,8.0,46.0,13.0,19.0
69,14.0,17.0,14.0,13.0,20.0,8.0,15.0,8.0,46.0,15.0,19.0
70,14.0,17.0,14.0,13.0,17.0,8.0,13.0,8.0,46.0,14.0,19.0
71,12.0,17.0,15.0,12.0,19.0,8.0,13.0,8.0,46.0,13.0,19.0
72,13.0,17.0,15.0,12.0,18.0,8.0,13.0,8.0,46.0,14.0,18.0
73,13.0,17.0,15.0,12.0,16.0,8.0,15.0,8.0,46.0,15.0,17.0
74,13.0,17.0,15.0,11.0,16.0,8.0,14.0,8.0,46.0,14.0,17.0
75,13.0,17.0,14.0,11.0,16.0,8.0,15.0,8.0,46.0,15.0,18.0
76,14.0,18.0,13.0,10.0,16.0,8.0,14.0,8.0,46.0,14.0,18.0
77,13.0,18.0,14.0,10.0,17.0,8.0,14.0,8.0,46.0,14.0,19.0
78,14.0,18.0,13.0,10.0,17.0,8.0,12.0,8.0,46.0,12.0,19.0
79,15.0,18.0,14.0,10.0,16.0,8.0,11.0,8.0,46.0,11.0,19.0
80,15.0,18.0,14.0,10.0,16.0,8.0,12.0,8.0,46.0,12.0,20.0
81,15.0,19.0,15.0,10.0,16.0,8.0,13.0,8.0,46.0,13.0,20.0
82,15.0,20.0,14.0,11.0,16.0,8.0,14.0,8.0,46.0,14.0,21.0
83,14.0,20.0,13.0,12.0,15.0,8.0,13.0,8.0,46.0,13.0,20.0
84,14.0,22.0,13.0,12.0,15.0,8.0,14.0,8.0,46.0,14.0,21.0
85,14.0,22.0,13.0,12.0,15.0,8.0,12.0,8.0,46.0,12.0,21.0
86,14.0,22.0,14.0,14.0,14.0,8.0,12.0,8.0,46.0,12.0,22.0
87,14.0,21.0,15.0,14.0,14.0,8.0,11.0,8.0,46.0,11.0,21.0
88,15.0,21.0,14.0,14.0,13.0,8.0,11.0,8.0,46.0,11.0,20.0
89,15.0,20.0,15.0,18.0,13.0,8.0,10.0,8.0,46.0,10.0,20.0
90,15.0,20.0,16.0,14.0,12.0,8.0,10.0,8.0,46.0,10.0,19.0
91,14.0,18.0,14.0,16.0,12.0,8.0,10.0,9.0,46.0,10.0,19.0
92,14.0,19.0,14.0,16.0,12.0,8.0,10.0,10.0,46.0,10.0,20.0
93,14.0,18.0,13.0,14.0,14.0,8.0,10.0,12.0,46.0,10.0,20.0
94,14.0,18.0,12.0,16.0,13.0,8.0,10.0,11.0,46.0,10.0,20.0
95,14.0,18.0,11.0,15.0,12.0,8.0,10.0,13.0,46.0,10.0,20.0
96,14.0,18.0,10.0,12.0,13.0,8.0,10.0,13.0,46.0,10.0,20.0
97,13.0,18.0,9.0,11.0,15.0,8.0,10.0,14.0,46.0,10.0,21.0
98,14.0,18.0,8.0,11.0,14.0,8.0,10.0,13.0,46.0,10.0,21.0
99,14.0,19.0,8.0,11.0,15.0,8.0,10.0,13.0,46.0,10.0,21.0
100,14.0,19.0,8.0,11.0,15.0,8.0,10.0,13.0,46.0,10.0,22.0
101,14.0,19.0,8.0,10.0,15.0,8.0,10.0,13.0,46.0,10.0,21.0
102,14.0,19.0,8.0,9.0,14.0,8.0,10.0,14.0,46.0,10.0,21.0
103,14.0,19.0,8.0,9.0,14.0,8.0,10.0,13.0,46.0,10.0,21.0
104,14.0,19.0,8.0,9.0,14.0,8.0,10.0,13.0,46.0,10.0,21.0
105,13.0,16.0,8.0,8.0,14.0,8.0,10.0,13.0,46.0,10.0,19.0
106,12.0,15.0,8.0,9.0,13.0,8.0,10.0,11.0,46.0,10.0,18.0
107,11.0,15.0,8.0,9.0,12.0,8.0,10.0,11.0,46.0,10.0,18.0
108,10.0,15.0,8.0,8.0,12.0,8.0,10.0,10.0,46.0,10.0,17.0
109,9.0,15.0,8.0,9.0,11.0,8.0,10.0,10.0,46.0,10.0,17.0
110,9.0,15.0,8.0,9.0,11.0,8.0,10.0,9.0,46.0,10.0,17.0
111,9.0,15.0,8.0,8.0,11.0,8.0,10.0,8.0,46.0,10.0,16.0
112,8.0,15.0,8.0,9.0,11.0,8.0,10.0,8.0,46.0,10.0,15.0
113,8.0,14.0,8.0,9.0,11.0,8.0,10.0,8.0,46.0,10.0,14.0
114,8.0,13.0,8.0,9.0,11.0,8.0,10.0,8.0,46.0,10.0,13.0
115,7.0,12.0,8.0,9.0,11.0,8.0,10.0,8.0,46.0,10.0,13.0
116,7.0,12.0,8.0,9.0,11.0,8.0,10.0,8.0,46.0,10.0,13.0
117,8.0,13.0,8.0,9.0,11.0,8.0,10.0,8.0,46.0,10.0,14.0
118,8.0,13.0,8.0,9.0,11.0,8.0,10.0,8.0,46.0,10.0,14.0
119,8.0,13.0,8.0,9.0,11.0,8.0,10.0,8.0,46.0,10.0,14.0
120,8.0,13.0,8.0,9.0,11.0,8.0,10.0,8.0,46.0,10.0,14.0
121,8.0,13.0,8.0,8.0,11.0,8.0,10.0,8.0,46.0,10.0,14.0
122,8.0,16.0,8.0,8.0,11.0,8.0,10.0,8.0,46.0,10.0,15.0
123,8.0,13.0,8.0,8.0,11.0,8.0,10.0,8.0,46.0,10.0,14.0
124,8.0,13.0,8.0,9.0,11.0,8.0,10.0,8.0,46.0,10.0,15.0
125,8.0,13.0,8.0,8.0,11.0,8.0,10.0,8.0,46.0,10.0,15.0
