,electricity-load-nyiso-west,electricity-load-nyiso-centrl,electricity-load-nyiso-hud_valley,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-north,electricity-load-nyiso-longil,electricity-load-nyiso-overall,electricity-load-nyiso-capitl,electricity-load-nyiso-dunwod,electricity-load-nyiso-millwd,electricity-load-nyiso-nyc,electricity-load-nyiso-genese
698,1838.2671,1839.067,1056.9304,841.936,594.7737,2374.8345,17705.3165,1364.2509,650.2312,339.5823,5567.742,1237.7014
699,1848.356,1773.7313,1046.8296,853.1469,584.1959,2385.745,17594.854000000003,1343.5546,630.33,339.6095,5558.1455,1231.2097
700,1838.676,1779.9602,1072.4319,826.2327,599.2091,2371.4346,17551.128900000003,1335.2153,626.6429,334.1301,5544.0723,1223.1238
701,1809.5399,1792.6442,1069.7235,832.4169,590.2694,2365.4048,17480.5191,1320.8068,627.1167,330.1783,5517.6514,1224.7672
702,1827.2383,1782.6962,1091.488,830.033,597.9209,2351.9487,17504.9894,1336.5144,659.2487,317.8273,5498.6514,1211.4225
703,1798.3923,1786.3912,1046.0698,829.6734,582.2533,2321.222,17326.5485,1310.5999,637.7654,328.5007,5482.13,1203.5505
704,1794.3541,1718.6283,1055.5347,833.9982,591.494,2302.856,17242.2746,1301.7616,638.3508,325.6429,5481.75,1197.904
705,1768.2289,1741.6731,1040.7743,816.3066,573.8185,2298.8657,17137.9911,1319.3551,634.7261,338.8268,5412.181,1193.235
706,1782.794,1722.9418,1041.7808,825.4503,582.7536,2288.856,17118.356,1294.6775,632.579,324.7164,5444.0273,1177.7793
707,1770.4395,1753.2859,1007.6898,803.8222,581.5068,2283.1191,17062.8697,1293.7184,630.7316,321.3222,5441.451,1175.7832
708,1770.7008,1742.5964,1025.546,799.5861,591.3424,2261.565,16996.6421,1288.1049,626.7487,326.5988,5393.027,1170.826
709,1752.9152,1682.3456,1008.1614,799.8032,593.6434,2237.7905,16818.5182,1273.1099,624.3109,324.5435,5360.8687,1161.0259
