,electricity-load-nyiso-dunwod,electricity-load-nyiso-hud_valley,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-centrl,electricity-load-nyiso-nyc,electricity-load-nyiso-north,electricity-load-nyiso-overall,electricity-load-nyiso-genese,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-capitl
43,786.0227,1441.1685,1780.5403,472.7037,2298.285,6380.3926,799.5823,20991.895299999996,1320.3259,2750.631,1205.1233,1757.12
44,775.9242,1448.5775,1785.1067,468.55,2309.0876,6392.5435,807.7558,21001.872699999996,1325.7665,2760.5085,1183.9939,1744.0585
45,779.7952,1459.2306,1778.088,451.9296,2258.877,6407.0684,787.6332,20963.6348,1317.3655,2773.0068,1196.3495,1754.291
46,778.7465,1450.4735,1791.46,465.0226,2278.531,6439.0586,800.7664,21052.2065,1315.0662,2779.5386,1194.7595,1758.7836
47,778.7465,1450.4735,1791.46,465.0226,2278.531,6439.0586,800.7664,21052.2065,1315.0662,2779.5386,1194.7595,1758.7836
48,776.9597,1465.4487,1777.5797,474.3122,2277.0093,6422.1147,820.2566,21037.8802,1303.995,2783.7651,1176.4316,1760.0076
49,776.9597,1465.4487,1777.5797,474.3122,2277.0093,6422.1147,820.2566,21037.8802,1303.995,2783.7651,1176.4316,1760.0076
50,779.7451,1421.8293,1751.4532,475.8942,2250.9944,6448.8057,813.9908,20951.8826,1309.9137,2782.124,1170.3981,1746.7341
51,782.0167,1440.9923,1771.1202,479.1524,2270.1838,6425.291,811.6276,21004.7582,1300.299,2798.9197,1173.4438,1751.7117
52,771.9155,1435.0298,1746.9287,475.0727,2262.8833,6449.581,818.6279,20966.3597,1299.5935,2794.8442,1155.8816,1756.0015
53,783.3566,1442.6703,1752.7649,459.5527,2262.089,6433.962,821.0428,20955.9197,1300.6223,2790.6824,1160.7806,1748.3961
54,782.5995,1416.3271,1747.3342,470.6524,2204.091,6419.1514,808.2005,20881.186100000003,1295.5239,2802.2886,1173.54,1761.4775
55,779.6736,1420.7782,1762.6587,476.2166,2225.6582,6419.663,813.9573,20920.5089,1287.6968,2802.6948,1175.0862,1756.4255
56,779.6736,1420.7782,1762.6587,476.2166,2225.6582,6419.663,813.9573,20920.5089,1287.6968,2802.6948,1175.0862,1756.4255
57,790.4518,1428.0548,1759.616,486.2579,2221.4282,6424.2,819.4609,20925.808000000005,1291.4048,2784.768,1175.5334,1744.6322
58,780.8277,1438.2937,1720.0975,468.6119,2219.473,6446.6387,815.8865,20866.7056,1288.0455,2784.1965,1171.5929,1733.0417
59,780.8277,1438.2937,1720.0975,468.6119,2219.473,6446.6387,815.8865,20866.7056,1288.0455,2784.1965,1171.5929,1733.0417
60,784.0173,1423.8755,1738.866,482.4554,2231.2366,6437.7617,817.2827,20921.932699999998,1287.2446,2790.2036,1193.3873,1735.602
61,778.4935,1422.6964,1740.3118,481.2906,2219.4788,6438.292,827.5487,20913.680699999997,1281.4963,2796.5388,1185.9286,1741.6052
