,cat,goog,jnj
0,0.0,-21.48271714032468,0.0
1,0.0,-5.723931041856645,0.0
2,13.409480627154302,0.0,0.0
3,0.0,0.0,0.0
4,0.0,5.139048897977894,0.0
5,0.0,11.106032116846798,0.0
6,0.0,-22.659372650148057,0.0
7,0.0,-22.659372650148057,0.0
8,0.0,0.0,4.194978446269815
9,0.0,0.0,-4.194978446269815
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,-22.659372650148057,0.0
13,0.0,31.002718320612743,0.0
14,0.0,17.49947198604751,0.0
15,0.0,0.0,0.0
16,0.0,0.0,-4.506000594803439
17,0.0,0.0,0.0
18,-3.1810978881949836,-0.24336183013673462,0.0
