,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-millwd,electricity-lbmp-nyiso-hud_valley
949,58.17,35.96,141.44,35.85,45.58,111.7,111.93,50.6,79.85,50.89,30.71,112.45,123.9,111.55,107.6
950,218.72,211.53,322.9,211.12,223.72,301.9,302.62,234.15,261.03,230.18,210.89,305.11,307.14,300.67,295.94
951,217.47,208.96,327.72,208.55,221.76,304.13,305.06,232.39,261.64,228.41,209.26,307.52,310.46,303.13,298.13
952,30.07,17.53,130.37,17.51,27.61,97.32,97.46,32.36,64.08,31.23,28.68,97.8,111.27,97.29,93.08
953,26.95,13.49,133.43,13.49,24.14,98.0,98.13,29.04,62.86,27.91,25.63,98.48,113.05,98.0,93.54
954,25.44,8.9,154.76,8.9,21.74,111.25,111.39,27.46,68.8,26.58,24.07,111.69,129.91,111.3,105.94
955,28.41,22.14,81.39,22.16,27.65,64.87,65.01,30.51,46.85,29.92,27.24,65.41,71.59,64.78,62.57
956,30.15,14.85,151.66,14.87,26.97,111.28,111.46,32.56,71.17,31.64,28.63,111.85,128.47,111.29,106.26
957,30.05,24.93,74.29,24.93,29.58,60.98,61.1,32.17,45.72,31.62,28.75,61.59,66.22,60.87,58.99
958,25.46,8.77,155.7,8.78,21.71,111.89,112.04,27.47,69.15,26.61,24.07,112.37,130.68,111.95,106.54
959,23.79,11.77,118.27,11.77,21.26,86.86,86.99,25.54,55.68,24.86,22.61,87.3,100.22,86.86,82.93
960,26.77,21.8,69.77,21.8,26.31,56.65,56.76,28.69,41.9,28.18,25.74,57.14,61.89,56.55,54.74
961,29.9,26.99,58.7,26.99,30.12,50.8,50.9,32.08,40.5,31.59,28.8,51.35,53.69,50.65,49.42
962,22.15,16.61,66.38,16.63,21.33,53.04,53.14,23.61,37.83,23.12,21.26,53.46,58.31,53.0,51.33
963,18.94,12.57,69.23,12.57,17.78,53.67,53.77,20.25,36.58,19.75,18.13,54.02,59.94,53.67,51.79
964,25.21,19.46,73.39,19.44,24.45,59.0,85.34,27.05,42.39,26.47,24.21,59.53,64.65,58.94,57.1
965,25.18,19.61,73.55,19.55,24.49,59.16,59.31,27.16,42.44,26.52,24.21,59.72,64.8,59.09,57.26
966,23.66,17.64,74.34,17.6,22.76,59.04,59.16,25.4,41.63,24.81,22.71,59.58,65.13,59.01,57.15
967,23.62,17.71,73.16,17.69,22.75,58.24,58.36,25.33,41.21,24.73,22.69,58.75,64.16,58.21,56.37
968,28.31,25.26,58.68,25.2,28.37,50.47,50.6,30.42,39.6,29.81,27.3,51.08,53.43,50.38,49.19
969,29.83,27.86,53.34,27.8,30.27,47.52,47.66,32.16,38.86,31.53,28.81,48.15,49.45,47.42,46.46
970,26.74,23.6,56.49,23.56,26.7,48.33,48.44,28.65,37.73,28.1,25.76,48.86,51.31,48.23,47.09
971,26.73,23.71,55.17,23.66,26.71,47.45,47.57,28.59,37.3,28.07,25.76,47.98,50.23,47.37,46.28
972,26.73,23.49,56.48,23.47,26.67,48.3,48.42,28.57,37.72,28.04,25.76,48.83,51.29,48.22,47.08
973,26.73,22.78,62.11,22.76,26.48,52.07,52.17,28.6,39.62,28.05,25.75,52.62,55.88,52.0,50.66
974,25.17,20.87,63.45,20.87,24.81,52.37,52.49,27.01,39.02,26.48,-45.67,52.86,56.64,52.32,50.87
975,26.7,22.89,62.11,22.87,26.54,52.08,52.21,28.68,39.62,28.11,-44.15,52.59,55.85,51.99,50.66
976,30.49,27.97,58.59,27.94,30.83,51.26,51.43,32.85,41.07,32.25,-40.44,51.87,53.82,51.16,50.04
977,39.2,39.21,50.83,39.18,40.45,49.5,49.67,42.17,44.47,41.56,37.9,50.16,49.33,49.28,48.74
978,33.95,31.81,60.25,31.81,34.48,53.72,53.91,36.6,44.01,35.86,32.82,54.24,55.9,53.56,52.52
979,81.97,84.3,91.54,84.3,85.33,93.78,94.29,88.52,88.09,87.14,79.38,94.99,91.28,93.34,92.66
980,42.77,43.93,47.62,34.0,44.47,48.83,49.05,46.09,36.03,45.42,41.42,49.5,37.55,48.56,48.25
981,42.77,43.93,47.62,34.0,44.47,48.83,49.05,46.09,36.03,45.37,41.47,49.5,37.59,48.56,48.25
982,39.21,39.56,50.67,29.63,40.61,49.51,49.68,42.45,34.65,41.7,38.02,50.1,39.36,49.28,48.75
983,34.04,32.56,55.73,32.56,34.74,50.77,50.91,36.72,42.59,36.01,32.96,51.28,52.22,50.59,49.71
984,34.07,32.53,55.4,32.56,34.68,50.55,50.74,36.68,42.49,35.98,32.96,51.07,51.97,50.38,49.51
985,33.11,31.24,56.36,31.27,33.64,50.79,50.97,35.65,42.13,34.98,32.05,51.29,52.52,50.63,49.69
986,30.3,27.68,58.78,27.7,30.52,51.31,51.45,32.68,41.03,31.99,29.3,51.8,53.92,51.21,50.07
987,29.85,28.1,50.45,28.1,30.25,45.44,45.55,32.04,37.82,31.45,28.87,45.89,47.03,45.32,44.49
988,33.96,33.34,50.09,33.34,34.87,47.02,47.14,36.72,40.65,35.99,32.91,47.8,47.72,46.87,46.19
989,44.64,45.73,56.12,45.73,46.41,55.52,55.71,48.69,50.25,47.7,43.29,56.7,54.94,55.3,54.71
990,39.94,41.25,44.54,41.29,41.55,45.8,45.97,43.23,42.93,42.47,38.76,46.81,44.49,45.55,45.21
991,39.74,41.26,44.54,41.3,41.38,45.72,45.93,43.15,42.86,42.35,38.52,46.81,44.46,45.51,45.17
992,39.66,41.22,44.5,41.26,41.3,45.72,45.92,43.07,42.82,42.27,38.48,46.77,44.45,45.46,45.17
993,2.23,-6.38,66.52,-6.38,-0.02,45.33,45.36,2.7,24.11,2.13,1.87,45.33,54.34,45.45,43.15
994,28.32,26.12,53.37,26.12,28.54,46.87,47.0,30.48,37.81,29.82,27.4,47.54,49.15,46.77,45.74
995,28.31,25.49,58.59,25.49,28.36,50.38,50.48,30.55,39.56,29.82,27.38,51.02,53.39,50.26,49.08
996,28.31,25.49,58.59,25.49,28.36,50.38,50.48,30.55,39.56,29.82,27.38,51.02,53.39,50.26,49.08
997,28.31,25.49,58.59,25.49,28.36,50.38,50.48,30.55,39.56,29.82,27.38,51.02,53.39,50.26,49.08
998,25.18,22.93,49.33,22.9,25.24,42.91,43.03,27.01,34.19,26.41,24.37,43.46,45.21,42.81,41.85
999,22.01,18.73,52.36,18.73,21.73,43.68,43.8,23.63,33.02,23.04,21.3,44.15,46.99,43.6,42.43
