,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-millwd,electricity-lbmp-nyiso-hud_valley
786,30.18,26.82,53.93,26.85,29.76,47.01,47.17,31.02,37.81,30.58,29.48,47.55,49.69,46.88,45.83
787,31.28,28.18,53.92,28.21,30.97,47.47,47.64,32.28,38.64,31.83,30.54,48.04,49.93,47.31,46.34
788,30.21,26.73,55.17,26.76,29.75,47.89,48.05,31.13,38.24,30.64,29.48,48.44,50.75,47.77,46.67
789,31.25,28.07,54.5,28.1,30.92,47.89,48.05,32.26,38.83,31.77,30.51,48.45,50.44,47.73,46.73
790,31.25,28.21,53.89,28.21,30.94,47.5,47.66,32.25,38.64,31.8,30.51,48.07,49.93,47.37,46.37
791,31.19,28.15,53.83,28.12,30.91,47.38,47.57,32.16,38.55,31.68,30.51,47.97,49.84,47.25,46.27
792,31.19,28.28,53.86,28.28,30.98,47.47,47.66,32.28,38.59,31.77,30.51,48.09,49.91,47.34,46.37
793,31.25,28.48,53.85,28.48,31.11,47.56,47.72,32.5,38.69,31.98,30.51,48.18,49.94,47.43,46.43
794,32.36,29.76,53.84,29.73,32.27,47.99,48.16,33.63,39.48,33.14,31.6,48.61,50.16,47.85,46.9
795,32.29,29.72,53.84,29.66,32.2,47.89,48.05,33.56,39.39,33.04,31.56,48.5,50.12,47.74,46.82
796,35.05,32.19,53.7,32.22,34.89,48.69,48.83,35.91,41.19,35.45,34.29,49.28,50.52,48.53,47.71
797,34.12,30.91,53.77,31.0,33.84,48.39,48.54,34.85,40.53,34.45,33.31,48.97,50.36,48.24,47.37
798,34.35,29.58,67.32,29.67,33.7,57.46,57.64,35.22,44.88,34.8,33.49,58.1,61.39,57.33,55.93
799,35.36,32.47,54.84,32.54,35.25,49.75,49.93,36.34,41.86,35.93,34.56,50.42,51.51,49.6,48.72
800,35.43,31.22,67.14,31.28,35.01,57.87,58.09,36.67,45.67,36.18,34.55,58.54,61.49,57.74,56.4
801,36.55,32.57,66.44,32.6,36.21,57.83,58.02,37.81,46.28,37.35,35.63,58.56,61.13,57.69,56.42
