,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountside_ellijay
301,9.0,17.0,4.0,94.0,47.0,98.0,67.0,68.0,25.0,17.0
302,5.0,26.0,5.0,111.0,75.0,98.0,55.0,78.0,29.0,29.0
303,5.0,26.0,5.0,111.0,75.0,98.0,55.0,78.0,29.0,29.0
304,4.0,26.0,7.0,138.0,155.0,87.0,58.0,70.0,32.0,0.0
305,4.0,26.0,7.0,138.0,155.0,87.0,58.0,70.0,32.0,0.0
306,5.0,19.0,11.0,126.0,103.0,61.0,75.0,55.0,36.0,0.0
307,5.0,19.0,11.0,126.0,103.0,61.0,75.0,55.0,36.0,0.0
308,5.0,5.0,10.0,109.0,90.0,64.0,86.0,53.0,37.0,5.0
309,5.0,5.0,10.0,109.0,90.0,64.0,86.0,53.0,37.0,5.0
310,2.0,18.0,11.0,118.0,77.0,63.0,42.0,61.0,21.0,20.0
311,2.0,18.0,11.0,118.0,77.0,63.0,42.0,61.0,21.0,20.0
312,2.0,19.0,12.0,131.0,85.0,65.0,46.0,55.0,32.0,17.0
313,2.0,19.0,12.0,131.0,85.0,65.0,46.0,55.0,32.0,17.0
314,3.0,12.0,12.0,109.0,120.0,76.0,56.0,51.0,39.0,11.0
315,3.0,12.0,12.0,109.0,120.0,76.0,56.0,51.0,39.0,11.0
316,3.0,13.0,19.0,120.0,132.0,82.0,58.0,43.0,47.0,23.0
317,3.0,13.0,19.0,120.0,132.0,82.0,58.0,43.0,47.0,23.0
318,5.0,19.0,20.0,83.0,101.0,94.0,50.0,45.0,49.0,53.0
319,5.0,19.0,20.0,83.0,101.0,94.0,50.0,45.0,49.0,53.0
320,3.0,16.0,21.0,81.0,120.0,113.0,67.0,50.0,35.0,29.0
321,3.0,16.0,21.0,81.0,120.0,113.0,67.0,50.0,35.0,29.0
322,2.0,20.0,22.0,71.0,115.0,96.0,78.0,56.0,31.0,16.0
323,2.0,20.0,22.0,71.0,115.0,96.0,78.0,56.0,31.0,16.0
324,2.0,32.0,22.0,91.0,123.0,92.0,80.0,67.0,34.0,0.0
325,2.0,32.0,22.0,91.0,123.0,92.0,80.0,67.0,34.0,0.0
326,3.0,50.0,23.0,92.0,114.0,123.0,54.0,88.0,33.0,0.0
327,3.0,50.0,23.0,92.0,114.0,123.0,54.0,88.0,33.0,0.0
328,3.0,68.0,24.0,104.0,108.0,170.0,51.0,122.0,26.0,0.0
329,3.0,68.0,24.0,104.0,108.0,170.0,51.0,122.0,26.0,0.0
330,5.0,48.0,27.0,133.0,61.0,167.0,52.0,100.0,35.0,0.0
331,5.0,48.0,27.0,133.0,61.0,167.0,52.0,100.0,35.0,0.0
332,7.0,36.0,30.0,129.0,69.0,169.0,70.0,89.0,46.0,3.0
333,7.0,36.0,30.0,129.0,69.0,169.0,70.0,89.0,46.0,3.0
334,6.0,24.0,14.0,126.0,85.0,188.0,98.0,102.0,50.0,3.0
335,6.0,24.0,14.0,126.0,85.0,188.0,98.0,102.0,50.0,3.0
336,8.0,22.0,31.0,122.0,71.0,158.0,116.0,129.0,69.0,12.0
337,8.0,22.0,31.0,122.0,71.0,158.0,116.0,129.0,69.0,12.0
338,8.0,22.0,54.0,124.0,88.0,141.0,188.0,136.0,90.0,12.0
339,8.0,22.0,54.0,124.0,88.0,141.0,188.0,136.0,90.0,12.0
340,9.0,10.0,78.0,77.0,177.0,164.0,95.0,90.0,76.0,2.0
341,9.0,10.0,78.0,77.0,177.0,164.0,95.0,90.0,76.0,2.0
342,11.0,31.0,69.0,84.0,177.0,144.0,172.0,38.0,71.0,2.0
343,11.0,31.0,69.0,84.0,177.0,144.0,172.0,38.0,71.0,2.0
344,14.0,31.0,85.0,121.0,166.0,145.0,177.0,54.0,83.0,0.0
345,14.0,31.0,85.0,121.0,166.0,145.0,177.0,54.0,83.0,0.0
346,2.0,20.0,109.0,101.0,178.0,167.0,155.0,71.0,92.0,10.0
347,2.0,20.0,109.0,101.0,178.0,167.0,155.0,71.0,92.0,10.0
348,3.0,20.0,156.0,99.0,176.0,136.0,168.0,100.0,53.0,10.0
349,3.0,20.0,156.0,99.0,176.0,136.0,168.0,100.0,53.0,10.0
350,8.0,0.0,200.0,63.0,236.0,127.0,144.0,75.0,14.0,0.0
351,8.0,0.0,200.0,63.0,236.0,127.0,144.0,75.0,14.0,0.0
352,11.0,0.0,206.0,73.0,100.0,128.0,203.0,64.0,14.0,0.0
353,11.0,0.0,206.0,73.0,100.0,128.0,203.0,64.0,14.0,0.0
354,0.0,6.0,160.0,73.0,100.0,118.0,194.0,96.0,19.0,0.0
355,0.0,6.0,160.0,73.0,100.0,118.0,194.0,96.0,19.0,0.0
356,1.0,6.0,214.0,61.0,44.0,131.0,185.0,98.0,18.0,0.0
357,1.0,6.0,214.0,61.0,44.0,131.0,185.0,98.0,18.0,0.0
358,3.0,0.0,306.0,48.0,72.0,147.0,189.0,58.0,5.0,0.0
359,3.0,0.0,306.0,48.0,72.0,147.0,189.0,58.0,5.0,0.0
360,3.0,0.0,182.0,64.0,83.0,156.0,125.0,63.0,5.0,0.0
361,3.0,0.0,182.0,64.0,83.0,156.0,125.0,63.0,5.0,0.0
362,0.0,0.0,142.0,79.0,87.0,192.0,99.0,21.0,6.0,0.0
363,0.0,0.0,142.0,79.0,87.0,192.0,99.0,21.0,6.0,0.0
364,10.0,18.0,63.0,87.0,110.0,197.0,248.0,28.0,9.0,0.0
365,10.0,18.0,63.0,87.0,110.0,197.0,248.0,28.0,9.0,0.0
366,12.0,23.0,86.0,69.0,124.0,169.0,135.0,35.0,3.0,22.0
367,12.0,23.0,86.0,69.0,124.0,169.0,135.0,35.0,3.0,22.0
368,11.0,22.0,59.0,46.0,145.0,151.0,102.0,42.0,2.0,27.0
369,11.0,22.0,59.0,46.0,145.0,151.0,102.0,42.0,2.0,27.0
370,6.0,17.0,52.0,29.0,131.0,61.0,59.0,35.0,3.0,18.0
371,6.0,17.0,52.0,29.0,131.0,61.0,59.0,35.0,3.0,18.0
372,11.0,22.0,11.0,23.0,53.0,48.0,41.0,28.0,5.0,13.0
373,11.0,22.0,11.0,23.0,53.0,48.0,41.0,28.0,5.0,13.0
374,9.0,33.0,11.0,30.0,42.0,52.0,42.0,31.0,5.0,30.0
375,9.0,33.0,11.0,30.0,42.0,52.0,42.0,31.0,5.0,30.0
376,9.0,26.0,17.0,26.0,50.0,43.0,23.0,32.0,4.0,30.0
377,9.0,26.0,17.0,26.0,50.0,43.0,23.0,32.0,4.0,30.0
378,7.0,30.0,20.0,22.0,69.0,35.0,21.0,26.0,5.0,8.0
379,7.0,30.0,20.0,22.0,69.0,35.0,21.0,26.0,5.0,8.0
380,2.0,32.0,28.0,26.0,94.0,40.0,4.0,33.0,11.0,11.0
381,2.0,32.0,28.0,26.0,94.0,40.0,4.0,33.0,11.0,11.0
382,2.0,32.0,31.0,27.0,68.0,40.0,6.0,45.0,9.0,19.0
383,2.0,32.0,31.0,27.0,68.0,40.0,6.0,45.0,9.0,19.0
384,3.0,45.0,46.0,29.0,81.0,31.0,9.0,53.0,6.0,30.0
385,3.0,45.0,46.0,29.0,81.0,31.0,9.0,53.0,6.0,30.0
386,6.0,48.0,54.0,27.0,124.0,36.0,9.0,56.0,12.0,30.0
387,6.0,48.0,54.0,27.0,124.0,36.0,9.0,56.0,12.0,30.0
388,8.0,43.0,47.0,33.0,67.0,43.0,11.0,68.0,19.0,26.0
389,8.0,43.0,47.0,33.0,67.0,43.0,11.0,68.0,19.0,26.0
390,7.0,58.0,59.0,31.0,76.0,38.0,13.0,108.0,26.0,27.0
391,7.0,58.0,59.0,31.0,76.0,38.0,13.0,108.0,26.0,27.0
392,4.0,83.0,65.0,29.0,110.0,48.0,28.0,102.0,29.0,26.0
393,4.0,83.0,65.0,29.0,110.0,48.0,28.0,102.0,29.0,26.0
394,2.0,70.0,69.0,51.0,136.0,44.0,37.0,89.0,30.0,28.0
395,2.0,70.0,69.0,51.0,136.0,44.0,37.0,89.0,30.0,28.0
396,4.0,83.0,73.0,40.0,144.0,44.0,36.0,86.0,23.0,11.0
397,4.0,83.0,73.0,40.0,144.0,44.0,36.0,86.0,23.0,11.0
398,5.0,78.0,73.0,40.0,150.0,46.0,30.0,71.0,26.0,20.0
399,5.0,78.0,73.0,40.0,150.0,46.0,30.0,71.0,26.0,20.0
400,2.0,143.0,69.0,57.0,132.0,53.0,27.0,80.0,34.0,18.0
401,2.0,143.0,69.0,57.0,132.0,53.0,27.0,80.0,34.0,18.0
402,2.0,143.0,83.0,65.0,68.0,56.0,25.0,94.0,35.0,13.0
403,2.0,143.0,83.0,65.0,68.0,56.0,25.0,94.0,35.0,13.0
404,3.0,72.0,93.0,59.0,49.0,66.0,37.0,87.0,40.0,16.0
405,3.0,72.0,93.0,59.0,49.0,66.0,37.0,87.0,40.0,16.0
406,3.0,70.0,80.0,65.0,68.0,64.0,44.0,92.0,39.0,16.0
407,3.0,70.0,80.0,65.0,68.0,64.0,44.0,92.0,39.0,16.0
408,1.0,85.0,93.0,68.0,85.0,66.0,38.0,100.0,45.0,16.0
409,1.0,85.0,93.0,68.0,85.0,66.0,38.0,100.0,45.0,16.0
410,2.0,134.0,157.0,62.0,105.0,74.0,37.0,97.0,34.0,0.0
411,2.0,134.0,157.0,62.0,105.0,74.0,37.0,97.0,34.0,0.0
412,2.0,154.0,130.0,76.0,140.0,70.0,48.0,102.0,35.0,13.0
413,2.0,154.0,130.0,76.0,140.0,70.0,48.0,102.0,35.0,13.0
414,2.0,147.0,110.0,94.0,131.0,51.0,59.0,69.0,40.0,23.0
415,2.0,147.0,110.0,94.0,131.0,51.0,59.0,69.0,40.0,23.0
416,2.0,109.0,98.0,111.0,127.0,58.0,54.0,59.0,35.0,34.0
417,2.0,109.0,98.0,111.0,127.0,58.0,54.0,59.0,35.0,34.0
418,2.0,51.0,26.0,130.0,147.0,54.0,45.0,46.0,27.0,19.0
419,2.0,51.0,26.0,130.0,147.0,54.0,45.0,46.0,27.0,19.0
420,2.0,35.0,28.0,88.0,122.0,63.0,42.0,45.0,35.0,31.0
421,2.0,35.0,28.0,88.0,122.0,63.0,42.0,45.0,35.0,31.0
422,3.0,37.0,41.0,100.0,156.0,73.0,28.0,47.0,38.0,68.0
423,3.0,37.0,41.0,100.0,156.0,73.0,28.0,47.0,38.0,68.0
424,6.0,49.0,39.0,108.0,191.0,81.0,35.0,44.0,37.0,85.0
425,6.0,49.0,39.0,108.0,191.0,81.0,35.0,44.0,37.0,85.0
426,7.0,142.0,47.0,96.0,158.0,86.0,51.0,44.0,30.0,101.0
427,7.0,142.0,47.0,96.0,158.0,86.0,51.0,44.0,30.0,101.0
428,2.0,116.0,51.0,94.0,174.0,93.0,61.0,32.0,34.0,101.0
429,2.0,116.0,51.0,94.0,174.0,93.0,61.0,32.0,34.0,101.0
430,2.0,86.0,61.0,88.0,279.0,102.0,67.0,26.0,29.0,0.0
431,2.0,86.0,61.0,88.0,279.0,102.0,67.0,26.0,29.0,0.0
432,0.0,80.0,79.0,77.0,247.0,106.0,89.0,36.0,24.0,0.0
433,0.0,80.0,79.0,77.0,247.0,106.0,89.0,36.0,24.0,0.0
434,1.0,81.0,79.0,114.0,147.0,119.0,108.0,57.0,30.0,0.0
435,1.0,81.0,79.0,114.0,147.0,119.0,108.0,57.0,30.0,0.0
436,3.0,85.0,112.0,54.0,115.0,134.0,113.0,53.0,40.0,28.0
437,3.0,85.0,112.0,54.0,115.0,134.0,113.0,53.0,40.0,28.0
438,3.0,59.0,140.0,72.0,180.0,161.0,112.0,46.0,45.0,55.0
439,3.0,59.0,140.0,72.0,180.0,161.0,112.0,46.0,45.0,55.0
440,0.0,47.0,95.0,99.0,155.0,176.0,124.0,27.0,47.0,55.0
441,0.0,47.0,95.0,99.0,155.0,176.0,124.0,27.0,47.0,55.0
442,0.0,39.0,125.0,127.0,128.0,183.0,168.0,11.0,43.0,0.0
443,0.0,39.0,125.0,127.0,128.0,183.0,168.0,11.0,43.0,0.0
444,0.0,47.0,138.0,150.0,83.0,184.0,169.0,11.0,25.0,0.0
445,0.0,47.0,138.0,150.0,83.0,184.0,169.0,11.0,25.0,0.0
446,1.0,54.0,142.0,157.0,18.0,222.0,179.0,15.0,7.0,0.0
447,1.0,54.0,142.0,157.0,18.0,222.0,179.0,15.0,7.0,0.0
448,1.0,0.0,80.0,163.0,27.0,227.0,233.0,8.0,3.0,0.0
449,1.0,0.0,80.0,163.0,27.0,227.0,233.0,8.0,3.0,0.0
450,11.0,16.0,95.0,142.0,32.0,252.0,264.0,4.0,3.0,0.0
451,11.0,16.0,95.0,142.0,32.0,252.0,264.0,4.0,3.0,0.0
452,13.0,13.0,100.0,64.0,29.0,267.0,263.0,7.0,0.0,5.0
453,13.0,13.0,100.0,64.0,29.0,267.0,263.0,7.0,0.0,5.0
454,13.0,11.0,190.0,25.0,29.0,295.0,194.0,10.0,6.0,35.0
455,13.0,11.0,190.0,25.0,29.0,295.0,194.0,10.0,6.0,35.0
456,0.0,0.0,175.0,36.0,73.0,259.0,210.0,10.0,11.0,52.0
457,0.0,0.0,175.0,36.0,73.0,259.0,210.0,10.0,11.0,52.0
458,0.0,0.0,96.0,75.0,88.0,240.0,289.0,13.0,14.0,52.0
459,0.0,0.0,96.0,75.0,88.0,240.0,289.0,13.0,14.0,52.0
460,12.0,0.0,65.0,64.0,38.0,235.0,311.0,16.0,16.0,0.0
461,12.0,0.0,65.0,64.0,38.0,235.0,311.0,16.0,16.0,0.0
462,12.0,0.0,71.0,44.0,14.0,195.0,508.0,16.0,10.0,0.0
463,12.0,0.0,71.0,44.0,14.0,195.0,508.0,16.0,10.0,0.0
464,10.0,12.0,77.0,16.0,18.0,171.0,275.0,20.0,11.0,0.0
465,10.0,12.0,77.0,16.0,18.0,171.0,275.0,20.0,11.0,0.0
466,1.0,12.0,38.0,12.0,18.0,56.0,260.0,27.0,7.0,0.0
467,1.0,12.0,38.0,12.0,18.0,56.0,260.0,27.0,7.0,0.0
468,1.0,8.0,11.0,22.0,14.0,42.0,266.0,36.0,9.0,16.0
469,1.0,8.0,11.0,22.0,14.0,42.0,266.0,36.0,9.0,16.0
470,0.0,18.0,8.0,37.0,11.0,46.0,103.0,50.0,11.0,17.0
471,0.0,18.0,8.0,37.0,11.0,46.0,103.0,50.0,11.0,17.0
472,3.0,17.0,6.0,29.0,16.0,51.0,117.0,39.0,12.0,26.0
473,3.0,17.0,6.0,29.0,16.0,51.0,117.0,39.0,12.0,26.0
474,3.0,15.0,7.0,19.0,22.0,62.0,52.0,22.0,17.0,24.0
475,3.0,15.0,7.0,19.0,22.0,62.0,52.0,22.0,17.0,24.0
476,4.0,19.0,9.0,22.0,19.0,61.0,39.0,20.0,24.0,16.0
477,4.0,19.0,9.0,22.0,19.0,61.0,39.0,20.0,24.0,16.0
478,1.0,30.0,8.0,34.0,28.0,62.0,39.0,29.0,29.0,4.0
479,1.0,30.0,8.0,34.0,28.0,62.0,39.0,29.0,29.0,4.0
480,5.0,32.0,12.0,37.0,36.0,70.0,39.0,44.0,29.0,8.0
481,5.0,32.0,12.0,37.0,36.0,70.0,39.0,44.0,29.0,8.0
482,10.0,47.0,15.0,26.0,52.0,76.0,39.0,55.0,38.0,16.0
483,10.0,47.0,15.0,26.0,52.0,76.0,39.0,55.0,38.0,16.0
484,12.0,80.0,15.0,34.0,52.0,75.0,37.0,72.0,60.0,16.0
485,12.0,80.0,15.0,34.0,52.0,75.0,37.0,72.0,60.0,16.0
486,15.0,68.0,19.0,49.0,57.0,89.0,46.0,80.0,61.0,0.0
487,15.0,68.0,19.0,49.0,57.0,89.0,46.0,80.0,61.0,0.0
488,3.0,65.0,29.0,57.0,65.0,107.0,57.0,72.0,35.0,9.0
489,3.0,65.0,29.0,57.0,65.0,107.0,57.0,72.0,35.0,9.0
490,3.0,92.0,32.0,66.0,70.0,91.0,74.0,72.0,32.0,9.0
491,3.0,92.0,32.0,66.0,70.0,91.0,74.0,72.0,32.0,9.0
492,2.0,67.0,28.0,85.0,78.0,95.0,88.0,79.0,26.0,9.0
493,2.0,67.0,28.0,85.0,78.0,95.0,88.0,79.0,26.0,9.0
494,2.0,55.0,28.0,104.0,83.0,102.0,82.0,93.0,22.0,12.0
495,2.0,55.0,28.0,104.0,83.0,102.0,82.0,93.0,22.0,12.0
496,2.0,40.0,29.0,96.0,87.0,94.0,84.0,108.0,21.0,21.0
497,2.0,40.0,29.0,96.0,87.0,94.0,84.0,108.0,21.0,21.0
498,1.0,21.0,40.0,93.0,101.0,88.0,79.0,103.0,20.0,20.0
499,1.0,21.0,40.0,93.0,101.0,88.0,79.0,103.0,20.0,20.0
500,1.0,16.0,39.0,81.0,134.0,102.0,90.0,92.0,23.0,19.0
501,1.0,16.0,39.0,81.0,134.0,102.0,90.0,92.0,23.0,19.0
502,2.0,32.0,30.0,81.0,147.0,93.0,85.0,85.0,33.0,0.0
503,2.0,32.0,30.0,81.0,147.0,93.0,85.0,85.0,33.0,0.0
504,2.0,40.0,15.0,100.0,154.0,98.0,68.0,74.0,46.0,7.0
505,2.0,40.0,15.0,100.0,154.0,98.0,68.0,74.0,46.0,7.0
506,2.0,41.0,18.0,92.0,154.0,114.0,81.0,61.0,42.0,8.0
507,2.0,41.0,18.0,92.0,154.0,114.0,81.0,61.0,42.0,8.0
508,1.0,34.0,19.0,121.0,133.0,121.0,120.0,47.0,42.0,14.0
509,1.0,34.0,19.0,121.0,133.0,121.0,120.0,47.0,42.0,14.0
510,2.0,40.0,14.0,112.0,156.0,116.0,90.0,44.0,32.0,17.0
511,2.0,40.0,14.0,112.0,156.0,116.0,90.0,44.0,32.0,17.0
512,3.0,38.0,16.0,120.0,101.0,91.0,91.0,41.0,32.0,24.0
513,3.0,38.0,16.0,120.0,101.0,91.0,91.0,41.0,32.0,24.0
514,3.0,55.0,15.0,142.0,60.0,96.0,114.0,40.0,47.0,0.0
515,3.0,55.0,15.0,142.0,60.0,96.0,114.0,40.0,47.0,0.0
516,4.0,63.0,23.0,138.0,32.0,135.0,144.0,46.0,54.0,0.0
517,4.0,63.0,23.0,138.0,32.0,135.0,144.0,46.0,54.0,0.0
518,6.0,49.0,29.0,155.0,16.0,171.0,173.0,64.0,42.0,0.0
519,6.0,49.0,29.0,155.0,16.0,171.0,173.0,64.0,42.0,0.0
520,9.0,54.0,30.0,191.0,17.0,151.0,149.0,67.0,19.0,12.0
521,9.0,54.0,30.0,191.0,17.0,151.0,149.0,67.0,19.0,12.0
522,1.0,69.0,32.0,187.0,31.0,157.0,149.0,63.0,22.0,25.0
523,1.0,69.0,32.0,187.0,31.0,157.0,149.0,63.0,22.0,25.0
524,2.0,64.0,21.0,165.0,37.0,168.0,172.0,48.0,25.0,19.0
525,2.0,64.0,21.0,165.0,37.0,168.0,172.0,48.0,25.0,19.0
526,4.0,37.0,16.0,191.0,40.0,173.0,177.0,54.0,32.0,17.0
527,4.0,37.0,16.0,191.0,40.0,173.0,177.0,54.0,32.0,17.0
528,6.0,33.0,28.0,244.0,39.0,187.0,178.0,62.0,54.0,0.0
529,6.0,33.0,28.0,244.0,39.0,187.0,178.0,62.0,54.0,0.0
530,11.0,22.0,41.0,291.0,39.0,200.0,228.0,50.0,51.0,0.0
531,11.0,22.0,41.0,291.0,39.0,200.0,228.0,50.0,51.0,0.0
532,8.0,27.0,31.0,239.0,40.0,185.0,315.0,64.0,46.0,0.0
533,8.0,27.0,31.0,239.0,40.0,185.0,315.0,64.0,46.0,0.0
534,1.0,27.0,29.0,170.0,62.0,168.0,335.0,74.0,15.0,28.0
535,1.0,27.0,29.0,170.0,62.0,168.0,335.0,74.0,15.0,28.0
536,10.0,27.0,41.0,253.0,79.0,180.0,336.0,117.0,6.0,43.0
537,10.0,27.0,41.0,253.0,79.0,180.0,336.0,117.0,6.0,43.0
538,5.0,34.0,48.0,177.0,73.0,235.0,309.0,131.0,8.0,43.0
539,5.0,34.0,48.0,177.0,73.0,235.0,309.0,131.0,8.0,43.0
540,2.0,0.0,17.0,167.0,34.0,262.0,250.0,98.0,8.0,0.0
541,2.0,0.0,17.0,167.0,34.0,262.0,250.0,98.0,8.0,0.0
542,3.0,0.0,15.0,110.0,52.0,205.0,245.0,87.0,6.0,0.0
543,3.0,0.0,15.0,110.0,52.0,205.0,245.0,87.0,6.0,0.0
544,2.0,0.0,18.0,123.0,45.0,242.0,410.0,100.0,3.0,0.0
545,2.0,0.0,18.0,123.0,45.0,242.0,410.0,100.0,3.0,0.0
546,2.0,0.0,17.0,176.0,24.0,236.0,322.0,122.0,0.0,0.0
547,2.0,0.0,17.0,176.0,24.0,236.0,322.0,122.0,0.0,0.0
548,8.0,12.0,15.0,174.0,24.0,233.0,314.0,192.0,4.0,6.0
549,8.0,12.0,15.0,174.0,24.0,233.0,314.0,192.0,4.0,6.0
550,8.0,16.0,4.0,191.0,12.0,264.0,328.0,165.0,16.0,18.0
551,8.0,16.0,4.0,191.0,12.0,264.0,328.0,165.0,16.0,18.0
552,0.0,16.0,22.0,190.0,12.0,267.0,331.0,104.0,25.0,18.0
553,0.0,16.0,22.0,190.0,12.0,267.0,331.0,104.0,25.0,18.0
554,2.0,0.0,11.0,198.0,21.0,291.0,365.0,116.0,28.0,29.0
555,2.0,0.0,11.0,198.0,21.0,291.0,365.0,116.0,28.0,29.0
556,2.0,0.0,1.0,198.0,21.0,299.0,344.0,141.0,15.0,29.0
557,2.0,0.0,1.0,198.0,21.0,299.0,344.0,141.0,15.0,29.0
558,2.0,2.0,5.0,43.0,22.0,226.0,305.0,56.0,11.0,29.0
559,2.0,2.0,5.0,43.0,22.0,226.0,305.0,56.0,11.0,29.0
560,2.0,2.0,9.0,43.0,28.0,135.0,300.0,17.0,8.0,29.0
561,2.0,2.0,9.0,43.0,28.0,135.0,300.0,17.0,8.0,29.0
562,2.0,6.0,13.0,19.0,34.0,60.0,213.0,12.0,7.0,17.0
563,2.0,6.0,13.0,19.0,34.0,60.0,213.0,12.0,7.0,17.0
564,2.0,23.0,10.0,32.0,24.0,62.0,154.0,17.0,9.0,17.0
565,2.0,23.0,10.0,32.0,24.0,62.0,154.0,17.0,9.0,17.0
566,2.0,20.0,16.0,38.0,23.0,67.0,115.0,15.0,7.0,0.0
567,2.0,20.0,16.0,38.0,23.0,67.0,115.0,15.0,7.0,0.0
568,2.0,16.0,22.0,36.0,30.0,69.0,130.0,11.0,3.0,6.0
569,2.0,16.0,22.0,36.0,30.0,69.0,130.0,11.0,3.0,6.0
570,2.0,18.0,27.0,36.0,49.0,74.0,161.0,9.0,6.0,9.0
571,2.0,18.0,27.0,36.0,49.0,74.0,161.0,9.0,6.0,9.0
572,3.0,38.0,29.0,41.0,47.0,78.0,143.0,10.0,13.0,12.0
573,3.0,38.0,29.0,41.0,47.0,78.0,143.0,10.0,13.0,12.0
574,3.0,64.0,22.0,43.0,39.0,57.0,141.0,13.0,22.0,13.0
575,3.0,64.0,22.0,43.0,39.0,57.0,141.0,13.0,22.0,13.0
576,2.0,86.0,11.0,41.0,23.0,56.0,175.0,16.0,28.0,11.0
577,2.0,86.0,11.0,41.0,23.0,56.0,175.0,16.0,28.0,11.0
578,4.0,96.0,10.0,49.0,27.0,58.0,163.0,19.0,32.0,14.0
579,4.0,96.0,10.0,49.0,27.0,58.0,163.0,19.0,32.0,14.0
580,4.0,101.0,13.0,64.0,39.0,53.0,154.0,21.0,37.0,11.0
581,4.0,101.0,13.0,64.0,39.0,53.0,154.0,21.0,37.0,11.0
582,4.0,56.0,12.0,72.0,54.0,58.0,138.0,25.0,32.0,6.0
583,4.0,56.0,12.0,72.0,54.0,58.0,138.0,25.0,32.0,6.0
584,4.0,31.0,10.0,89.0,67.0,62.0,121.0,22.0,28.0,6.0
585,4.0,31.0,10.0,89.0,67.0,62.0,121.0,22.0,28.0,6.0
586,0.0,49.0,12.0,98.0,84.0,67.0,126.0,18.0,19.0,4.0
587,0.0,49.0,12.0,98.0,84.0,67.0,126.0,18.0,19.0,4.0
588,3.0,59.0,15.0,84.0,86.0,79.0,174.0,17.0,17.0,12.0
589,3.0,59.0,15.0,84.0,86.0,79.0,174.0,17.0,17.0,12.0
590,4.0,54.0,10.0,90.0,81.0,82.0,167.0,17.0,12.0,45.0
591,4.0,54.0,10.0,90.0,81.0,82.0,167.0,17.0,12.0,45.0
592,4.0,45.0,9.0,109.0,95.0,84.0,154.0,16.0,17.0,32.0
593,4.0,45.0,9.0,109.0,95.0,84.0,154.0,16.0,17.0,32.0
594,5.0,60.0,12.0,87.0,95.0,97.0,237.0,20.0,27.0,22.0
595,5.0,60.0,12.0,87.0,95.0,97.0,237.0,20.0,27.0,22.0
596,5.0,83.0,14.0,75.0,121.0,84.0,208.0,24.0,31.0,34.0
597,5.0,83.0,14.0,75.0,121.0,84.0,208.0,24.0,31.0,34.0
598,2.0,83.0,15.0,68.0,143.0,80.0,128.0,20.0,41.0,47.0
599,2.0,83.0,15.0,68.0,143.0,80.0,128.0,20.0,41.0,47.0
600,2.0,33.0,15.0,64.0,135.0,88.0,160.0,15.0,76.0,57.0
601,2.0,33.0,15.0,64.0,135.0,88.0,160.0,15.0,76.0,57.0
602,2.0,37.0,15.0,38.0,130.0,88.0,202.0,20.0,67.0,37.0
603,2.0,37.0,15.0,38.0,130.0,88.0,202.0,20.0,67.0,37.0
604,1.0,44.0,16.0,51.0,121.0,96.0,192.0,22.0,67.0,52.0
605,1.0,44.0,16.0,51.0,121.0,96.0,192.0,22.0,67.0,52.0
606,2.0,39.0,14.0,69.0,99.0,61.0,163.0,19.0,67.0,77.0
607,2.0,39.0,14.0,69.0,99.0,61.0,163.0,19.0,67.0,77.0
608,1.0,39.0,12.0,70.0,102.0,61.0,190.0,25.0,31.0,102.0
609,1.0,39.0,12.0,70.0,102.0,61.0,190.0,25.0,31.0,102.0
610,1.0,29.0,12.0,63.0,106.0,69.0,224.0,32.0,41.0,111.0
611,1.0,29.0,12.0,63.0,106.0,69.0,224.0,32.0,41.0,111.0
612,3.0,21.0,17.0,76.0,117.0,73.0,242.0,32.0,51.0,70.0
613,3.0,21.0,17.0,76.0,117.0,73.0,242.0,32.0,51.0,70.0
614,3.0,24.0,20.0,101.0,84.0,80.0,181.0,31.0,35.0,71.0
615,3.0,24.0,20.0,101.0,84.0,80.0,181.0,31.0,35.0,71.0
616,2.0,40.0,19.0,94.0,54.0,74.0,187.0,39.0,30.0,100.0
617,2.0,40.0,19.0,94.0,54.0,74.0,187.0,39.0,30.0,100.0
618,1.0,64.0,12.0,86.0,30.0,69.0,196.0,38.0,23.0,241.0
619,1.0,64.0,12.0,86.0,30.0,69.0,196.0,38.0,23.0,241.0
620,3.0,42.0,12.0,65.0,52.0,71.0,210.0,43.0,19.0,241.0
621,3.0,42.0,12.0,65.0,52.0,71.0,210.0,43.0,19.0,241.0
622,2.0,44.0,13.0,102.0,74.0,97.0,209.0,60.0,20.0,139.0
623,2.0,44.0,13.0,102.0,74.0,97.0,209.0,60.0,20.0,139.0
624,1.0,66.0,22.0,111.0,49.0,87.0,209.0,54.0,31.0,154.0
625,1.0,66.0,22.0,111.0,49.0,87.0,209.0,54.0,31.0,154.0
626,3.0,71.0,22.0,126.0,32.0,69.0,254.0,59.0,30.0,217.0
627,3.0,71.0,22.0,126.0,32.0,69.0,254.0,59.0,30.0,217.0
