,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountside_ellijay
70,1.0,5.0,0.0,113.0,10.0,120.0,40.0,30.0,6.0,32.0
71,1.0,5.0,0.0,113.0,10.0,120.0,40.0,30.0,6.0,32.0
72,7.0,5.0,13.0,181.0,0.0,127.0,18.0,32.0,25.0,60.0
73,7.0,5.0,13.0,181.0,0.0,127.0,18.0,32.0,25.0,60.0
74,6.0,9.0,12.0,161.0,0.0,184.0,29.0,20.0,27.0,60.0
75,6.0,9.0,12.0,161.0,0.0,184.0,29.0,20.0,27.0,60.0
76,4.0,9.0,14.0,161.0,10.0,143.0,33.0,12.0,19.0,8.0
77,4.0,9.0,14.0,161.0,10.0,143.0,33.0,12.0,19.0,8.0
78,12.0,0.0,18.0,76.0,24.0,127.0,39.0,14.0,19.0,8.0
79,12.0,0.0,18.0,76.0,24.0,127.0,39.0,14.0,19.0,8.0
80,12.0,0.0,16.0,94.0,21.0,135.0,39.0,18.0,21.0,7.0
81,12.0,0.0,16.0,94.0,21.0,135.0,39.0,18.0,21.0,7.0
82,12.0,0.0,22.0,92.0,13.0,84.0,37.0,17.0,19.0,7.0
83,12.0,0.0,22.0,92.0,13.0,84.0,37.0,17.0,19.0,7.0
84,5.0,8.0,39.0,85.0,18.0,69.0,27.0,18.0,24.0,0.0
85,5.0,8.0,39.0,85.0,18.0,69.0,27.0,18.0,24.0,0.0
86,4.0,14.0,8.0,108.0,20.0,51.0,23.0,28.0,25.0,0.0
87,4.0,14.0,8.0,108.0,20.0,51.0,23.0,28.0,25.0,0.0
88,4.0,23.0,11.0,116.0,20.0,41.0,29.0,32.0,21.0,0.0
89,4.0,23.0,11.0,116.0,20.0,41.0,29.0,32.0,21.0,0.0
90,4.0,27.0,17.0,78.0,26.0,44.0,37.0,24.0,21.0,0.0
91,4.0,27.0,17.0,78.0,26.0,44.0,37.0,24.0,21.0,0.0
92,3.0,36.0,26.0,76.0,34.0,49.0,43.0,28.0,30.0,11.0
93,3.0,36.0,26.0,76.0,34.0,49.0,43.0,28.0,30.0,11.0
94,1.0,49.0,32.0,90.0,50.0,55.0,35.0,35.0,29.0,11.0
95,1.0,49.0,32.0,90.0,50.0,55.0,35.0,35.0,29.0,11.0
96,1.0,96.0,38.0,105.0,75.0,57.0,38.0,40.0,31.0,4.0
97,1.0,96.0,38.0,105.0,75.0,57.0,38.0,40.0,31.0,4.0
