,sox_unlimited_vegetable_salad,sox_unlimited_cilantro_salad,sox_unlimited_gram_salad
167,44.925,12.86,14.27
168,44.925,12.86,14.27
169,44.925,12.86,14.27
170,44.925,12.86,14.27
171,44.925,12.86,14.27
172,44.925,12.86,14.27
173,44.925,12.86,14.27
174,44.925,12.82,14.27
175,44.925,12.82,14.27
176,50.362815000000005,16.7943745,14.8987755
177,50.362815000000005,16.7943745,14.8987755
178,50.362815000000005,16.7943745,14.8987755
179,50.362815000000005,16.7943745,14.8987755
180,50.362815000000005,16.7943745,14.8987755
181,50.362815000000005,16.7943745,14.8987755
182,50.362815000000005,16.7943745,14.8987755
183,50.362815000000005,16.7943745,14.8987755
184,50.362815000000005,16.7943745,14.8987755
185,50.362815000000005,16.7943745,14.8987755
186,50.362815000000005,16.7943745,14.8987755
187,50.362815000000005,16.7943745,14.8987755
188,50.362845,16.7943745,14.8987755
189,50.362845,16.7943745,14.8987755
190,50.362845,16.7943745,14.8987755
191,50.362845,16.7943745,14.8987755
192,50.362845,16.7943745,14.8987755
193,50.362845,16.7943745,14.8987755
194,50.362845,16.7943745,14.8987755
195,50.362845,16.7943745,14.8987755
196,50.362845,16.7943745,14.8987755
197,50.362845,16.7943745,14.8987755
198,50.362845,16.7943745,14.8987755
199,50.362845,16.7943745,14.8987755
200,50.362845,16.7943745,14.8987755
201,50.362845,16.7943745,14.8987755
202,50.362845,16.7943745,14.8987755
203,50.362845,16.7943745,14.8987755
204,50.362845,16.7943745,14.8987755
205,50.362845,16.7943745,14.8987755
206,50.362845,16.7943745,14.8987755
207,50.362845,16.7943745,14.8987755
208,50.362845,16.7943745,14.8987755
209,50.362845,16.7943745,14.8987755
210,50.362845,16.7943745,14.8987755
211,50.362845,16.7943745,14.8987755
212,50.362845,16.7943745,14.8987755
213,50.362845,16.7943745,14.8987755
214,50.362845,16.7943745,14.8987755
215,50.362845,16.7943745,14.8987755
216,50.362845,16.7943745,14.8987755
217,50.362845,16.7943745,14.8987755
218,50.362845,16.7943745,14.8987755
219,50.362845,16.7943745,14.8987755
220,50.362845,16.7943745,14.8987755
221,50.362845,16.7943745,14.8987755
222,50.362845,16.7943745,14.8987755
223,50.362845,16.7943745,14.8987755
224,50.362845,16.7943745,14.8987755
225,50.362845,16.7943745,14.8987755
226,50.362845,16.7943745,14.8987755
227,50.362845,16.7943745,14.8987755
228,50.362845,16.7943745,14.8987755
229,50.362845,16.7943745,14.8987755
230,50.362845,16.7943745,14.8987755
231,50.362845,16.7943745,14.8987755
232,50.362845,16.7943745,14.8987755
233,42.595,12.085,13.77
234,42.88,11.875,13.995000000000001
235,42.8,12.030000000000001,13.92
236,43.445,12.16,14.385
237,43.394999999999996,12.145,14.280000000000001
238,43.285,12.175,14.24
239,43.14,11.94,14.129999999999999
240,43.05,12.35,14.115
241,42.825,12.4,14.155
242,42.69,12.425,14.195
243,41.17,12.325,14.14
244,42.74,12.525,14.18
245,43.0,12.4,14.004999999999999
246,43.065,12.535,13.885000000000002
247,42.995,12.52,13.875
248,43.03,12.43,13.945
249,43.08,12.7,13.895
250,43.015,12.614999999999998,13.895
251,43.015,12.614999999999998,13.895
252,43.39,13.16,13.785
253,43.11,12.845,13.775
254,43.2,12.9,13.915
255,43.175,13.015,13.780000000000001
256,43.18,13.01,13.68
257,42.935,13.315000000000001,13.760000000000002
258,42.915,13.17,13.780000000000001
259,42.97,12.915,13.665
260,43.085,12.985,13.615
261,42.95,12.92,13.600000000000001
262,42.91,12.335,13.735
263,42.925,12.365,13.594999999999999
264,42.82,11.495000000000001,13.555
265,42.78,11.635,13.48
266,42.59,11.845,13.445
267,42.635000000000005,11.74,13.465
