,pandemic_susceptible,pandemic_recovered,pandemic_infected
134,0.84493625,0.054275,0.05694625
135,0.83265,0.061575,0.05767125
136,0.82061375,0.06916625,0.05809375
137,0.808945,0.07689750000000001,0.05811125
138,0.7977875,0.085025,0.05772875
139,0.7871275,0.0934075,0.057065
140,0.7769175,0.10177625,0.056054999999999994
141,0.76735,0.11017,0.05485875
142,0.758275,0.11868499999999998,0.05337000000000001
143,0.74956875,0.12712,0.05175
144,0.74143125,0.1356925,0.049765
145,0.73413625,0.144155,0.047375
146,0.72728375,0.1527175,0.04517
147,0.72080375,0.16079625,0.04285625
148,0.714935,0.168935,0.04058375
149,0.7097074999999999,0.17691875,0.03804625
150,0.70496125,0.18445625,0.03558125
151,0.7005,0.19185375,0.03320875
152,0.6963699999999999,0.19923,0.030875
153,0.692635,0.20628000000000002,0.02873375
154,0.68921625,0.21305375,0.02660875
155,0.68619625,0.2194475,0.02459875
156,0.683395,0.22571125,0.02285625
157,0.6809375,0.23162,0.02101375
158,0.6786725,0.23740250000000002,0.01931875
159,0.67645875,0.24295125,0.0179075
160,0.67450875,0.24805875,0.01648625
161,0.6727850000000001,0.25306125,0.01512875
162,0.6712100000000001,0.2577125,0.013867500000000001
163,0.66972375,0.26225,0.0127575
164,0.66836625,0.26652125,0.01170125
165,0.66719,0.27068125,0.0106225
166,0.66615,0.2747025,0.009595000000000001
167,0.66514,0.27855875,0.00873125
168,0.664275,0.282115,0.00791875
169,0.6635449999999999,0.28536125,0.00721125
170,0.662795,0.28845625,0.00665
171,0.662165,0.29151875,0.005975
172,0.66162375,0.29428125,0.00542875
173,0.66105875,0.29685875,0.00495125
174,0.66056125,0.29939499999999997,0.0045075
175,0.66011375,0.30175875,0.00411
176,0.65971125,0.30404499999999995,0.00373875
177,0.65932,0.30609875,0.00342625
178,0.6589775,0.3081125,0.00311625
179,0.65867125,0.30996,0.00284875
180,0.65841375,0.31175,0.00254125
181,0.65813625,0.31344375,0.00232375
182,0.65790625,0.3150425,0.00208875
183,0.6576825,0.316475,0.00191125
184,0.6575025,0.31787125,0.00172625
185,0.6573375,0.31913875,0.00160125
186,0.65720125,0.32038249999999996,0.00143375
187,0.6570375,0.32161625,0.00128375
188,0.65692625,0.32271375,0.0011300000000000001
189,0.6568225000000001,0.32376875,0.0010475
190,0.65672125,0.3247275,0.00095625
191,0.65664125,0.3256125,0.0008625
192,0.65658125,0.32648375,0.00077875
193,0.6565075,0.327225,0.00071375
194,0.656445,0.32794625,0.00064625
195,0.6563875,0.328685,0.00056375
196,0.65634125,0.32934375,0.00050375
197,0.65629875,0.32993625,0.00044249999999999997
198,0.6562475,0.33051375,0.00038625
199,0.6562100000000001,0.33105625,0.000335
200,0.65618625,0.33152625,0.00030375
201,0.6561600000000001,0.33199875,0.00027375
202,0.656135,0.332405,0.00025875
203,0.656105,0.332825,0.0002375
