,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-wind
0,5601.0,3292.0,6967.0,29.0,4034.0,262.0,125.0
1,5612.0,3291.0,6964.0,20.0,4037.0,263.0,117.0
2,5600.0,3292.0,6934.0,20.0,4007.0,265.0,115.0
3,5551.0,3292.0,6911.0,20.0,4014.0,257.0,117.0
4,5550.0,3293.0,6885.0,20.0,3993.0,259.0,120.0
5,5542.0,3293.0,6886.0,20.0,3987.0,257.0,124.0
6,5532.0,3293.0,6844.0,20.0,4000.0,255.0,124.0
7,5533.0,3291.0,6823.0,20.0,3995.0,253.0,124.0
8,5560.0,3290.0,6831.0,20.0,3882.0,254.0,127.0
9,5584.0,3288.0,6813.0,20.0,3658.0,259.0,122.0
10,5560.0,3288.0,6792.0,20.0,3578.0,257.0,128.0
11,5531.0,3287.0,6775.0,20.0,3559.0,254.0,126.0
12,5520.0,3287.0,6755.0,20.0,3559.0,252.0,127.0
13,5507.0,3286.0,6723.0,20.0,3547.0,250.0,139.0
14,5464.0,3287.0,6685.0,20.0,3540.0,254.0,158.0
15,5420.0,3286.0,6632.0,20.0,3553.0,255.0,168.0
16,5415.0,3285.0,6551.0,20.0,3553.0,254.0,173.0
17,5409.0,3286.0,6485.0,20.0,3564.0,247.0,186.0
18,5324.0,3291.0,6476.0,20.0,3560.0,243.0,202.0
19,5295.0,3287.0,6511.0,20.0,3547.0,248.0,215.0
20,5292.0,3290.0,6419.0,20.0,3540.0,251.0,235.0
21,5276.0,3288.0,6144.0,20.0,3559.0,252.0,249.0
22,5243.0,3287.0,6047.0,20.0,3573.0,253.0,264.0
23,5159.0,3289.0,6043.0,20.0,3568.0,246.0,285.0
24,5078.0,3287.0,6118.0,20.0,3532.0,250.0,184.0
25,5009.0,3287.0,6011.0,20.0,3536.0,249.0,247.0
26,5055.0,3287.0,6029.0,20.0,3564.0,250.0,329.0
27,5046.0,3289.0,6137.0,6.0,3539.0,247.0,348.0
28,5032.0,3290.0,6127.0,2.0,3547.0,248.0,359.0
29,5038.0,3288.0,6080.0,2.0,3532.0,250.0,363.0
30,5040.0,3289.0,6037.0,2.0,3533.0,252.0,369.0
31,5041.0,3288.0,6018.0,2.0,3541.0,251.0,378.0
32,5018.0,3287.0,6010.0,2.0,3524.0,247.0,381.0
33,4942.0,3288.0,5966.0,2.0,3523.0,249.0,389.0
34,4910.0,3286.0,5928.0,2.0,3517.0,247.0,394.0
35,4880.0,3286.0,5888.0,2.0,3506.0,247.0,391.0
36,4903.0,3286.0,5838.0,2.0,3508.0,248.0,388.0
37,4923.0,3284.0,5799.0,2.0,3511.0,246.0,381.0
38,4927.0,3286.0,5738.0,3.0,3501.0,247.0,377.0
39,4903.0,3284.0,5686.0,2.0,3507.0,250.0,369.0
40,4871.0,3284.0,5660.0,2.0,3497.0,249.0,363.0
41,4808.0,3283.0,5607.0,2.0,3510.0,253.0,366.0
42,4732.0,3286.0,5545.0,2.0,3504.0,250.0,364.0
43,4714.0,3284.0,5489.0,2.0,3508.0,244.0,361.0
44,4692.0,3286.0,5458.0,2.0,3449.0,241.0,368.0
